['2', ' 0', ' 2', ' 9', ' 7', ' 127']
['2', ' 0', ' 1', ' 9', ' 44', ' 118']
['2', ' 18', ' 1', ' 9', ' 44', ' 0']
['2', ' 240', ' 1', ' 9', ' 44', ' 118']
['2', ' 258', ' 1', ' 9', ' 44', ' 0']
['2', ' 480', ' 1', ' 9', ' 44', ' 118']
['2', ' 498', ' 1', ' 9', ' 44', ' 0']
['2', ' 600', ' 1', ' 9', ' 44', ' 118']
['2', ' 618', ' 1', ' 9', ' 44', ' 0']
['2', ' 720', ' 1', ' 9', ' 44', ' 118']
['2', ' 738', ' 1', ' 9', ' 44', ' 0']
['2', ' 840', ' 1', ' 9', ' 44', ' 118']
['2', ' 858', ' 1', ' 9', ' 44', ' 0']
['2', ' 960', ' 1', ' 9', ' 35', ' 94']
['2', ' 978', ' 1', ' 9', ' 35', ' 0']
['2', ' 1080', ' 1', ' 9', ' 54', ' 80']
['2', ' 1080', ' 1', ' 9', ' 40', ' 94']
['2', ' 1080', ' 1', ' 9', ' 44', ' 127']
['2', ' 1093', ' 1', ' 9', ' 44', ' 0']
['2', ' 1093', ' 1', ' 9', ' 40', ' 0']
['2', ' 1098', ' 1', ' 9', ' 54', ' 0']
['2', ' 1200', ' 1', ' 9', ' 35', ' 94']
['2', ' 1218', ' 1', ' 9', ' 35', ' 0']
['2', ' 1320', ' 1', ' 9', ' 54', ' 80']
['2', ' 1320', ' 1', ' 9', ' 40', ' 94']
['2', ' 1320', ' 1', ' 9', ' 44', ' 127']
['2', ' 1333', ' 1', ' 9', ' 44', ' 0']
['2', ' 1333', ' 1', ' 9', ' 40', ' 0']
['2', ' 1338', ' 1', ' 9', ' 54', ' 0']
['2', ' 1440', ' 1', ' 9', ' 35', ' 94']
['2', ' 1458', ' 1', ' 9', ' 35', ' 0']
['2', ' 1560', ' 1', ' 9', ' 54', ' 80']
['2', ' 1560', ' 1', ' 9', ' 40', ' 94']
['2', ' 1560', ' 1', ' 9', ' 44', ' 127']
['2', ' 1573', ' 1', ' 9', ' 44', ' 0']
['2', ' 1573', ' 1', ' 9', ' 40', ' 0']
['2', ' 1578', ' 1', ' 9', ' 54', ' 0']
['2', ' 1680', ' 1', ' 9', ' 35', ' 94']
['2', ' 1698', ' 1', ' 9', ' 35', ' 0']
['2', ' 1800', ' 1', ' 9', ' 54', ' 80']
['2', ' 1800', ' 1', ' 9', ' 40', ' 94']
['2', ' 1800', ' 1', ' 9', ' 44', ' 127']
['2', ' 1813', ' 1', ' 9', ' 44', ' 0']
['2', ' 1813', ' 1', ' 9', ' 40', ' 0']
['2', ' 1818', ' 1', ' 9', ' 54', ' 0']
['2', ' 1920', ' 1', ' 9', ' 35', ' 94']
['2', ' 1938', ' 1', ' 9', ' 35', ' 0']
['2', ' 2040', ' 1', ' 9', ' 54', ' 80']
['2', ' 2040', ' 1', ' 9', ' 40', ' 94']
['2', ' 2040', ' 1', ' 9', ' 44', ' 127']
['2', ' 2053', ' 1', ' 9', ' 44', ' 0']
['2', ' 2053', ' 1', ' 9', ' 40', ' 0']
['2', ' 2058', ' 1', ' 9', ' 54', ' 0']
['2', ' 2160', ' 1', ' 9', ' 35', ' 94']
['2', ' 2178', ' 1', ' 9', ' 35', ' 0']
['2', ' 2280', ' 1', ' 9', ' 54', ' 80']
['2', ' 2280', ' 1', ' 9', ' 40', ' 94']
['2', ' 2280', ' 1', ' 9', ' 44', ' 127']
