['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 28']
['2', ' 0', ' 3', ' 0', ' 28']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 104']
['2', ' 0', ' 2', ' 0', ' 7', ' 104']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 15360', ' 1', ' 0', ' 56', ' 76']
['2', ' 15540', ' 0', ' 0', ' 56', ' 80']
['2', ' 15600', ' 1', ' 0', ' 56', ' 76']
['2', ' 15780', ' 0', ' 0', ' 56', ' 80']
['2', ' 15840', ' 1', ' 0', ' 56', ' 76']
['2', ' 16020', ' 0', ' 0', ' 56', ' 80']
['2', ' 16080', ' 1', ' 0', ' 56', ' 76']
['2', ' 16260', ' 0', ' 0', ' 56', ' 80']
['2', ' 16320', ' 1', ' 0', ' 56', ' 76']
['2', ' 16500', ' 0', ' 0', ' 56', ' 80']
['2', ' 16560', ' 1', ' 0', ' 56', ' 76']
['2', ' 16740', ' 0', ' 0', ' 56', ' 80']
['2', ' 16800', ' 1', ' 0', ' 56', ' 76']
['2', ' 16980', ' 0', ' 0', ' 56', ' 80']
['2', ' 17040', ' 1', ' 0', ' 56', ' 76']
['2', ' 17220', ' 0', ' 0', ' 56', ' 80']
['2', ' 17280', ' 1', ' 0', ' 56', ' 76']
['2', ' 17460', ' 0', ' 0', ' 56', ' 80']
['2', ' 17520', ' 1', ' 0', ' 56', ' 76']
['2', ' 17700', ' 0', ' 0', ' 56', ' 80']
['2', ' 17760', ' 1', ' 0', ' 56', ' 76']
['2', ' 17940', ' 0', ' 0', ' 56', ' 80']
['2', ' 18000', ' 1', ' 0', ' 56', ' 76']
['2', ' 18180', ' 0', ' 0', ' 56', ' 80']
['2', ' 18240', ' 1', ' 0', ' 56', ' 76']
['2', ' 18420', ' 0', ' 0', ' 56', ' 80']
['2', ' 18480', ' 1', ' 0', ' 56', ' 76']
['2', ' 18660', ' 0', ' 0', ' 56', ' 80']
