['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 25']
['2', ' 0', ' 3', ' 0', ' 25']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 80']
['2', ' 0', ' 2', ' 0', ' 7', ' 80']
['2', ' 0', ' 2', ' 1', ' 10', ' 48']
['2', ' 0', ' 2', ' 0', ' 10', ' 48']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 0', ' 1', ' 0', ' 50', ' 95']
['2', ' 10', ' 1', ' 0', ' 57', ' 95']
['2', ' 20', ' 1', ' 0', ' 62', ' 95']
['2', ' 30', ' 1', ' 0', ' 65', ' 95']
['2', ' 3840', ' 0', ' 0', ' 50', ' 80']
['2', ' 3840', ' 0', ' 0', ' 57', ' 80']
['2', ' 3840', ' 0', ' 0', ' 62', ' 80']
['2', ' 3840', ' 0', ' 0', ' 65', ' 80']
['2', ' 3840', ' 1', ' 0', ' 43', ' 95']
['2', ' 3850', ' 1', ' 0', ' 50', ' 95']
['2', ' 4080', ' 0', ' 0', ' 50', ' 80']
['2', ' 4080', ' 1', ' 0', ' 50', ' 95']
['2', ' 4090', ' 1', ' 0', ' 55', ' 95']
['2', ' 4100', ' 1', ' 0', ' 62', ' 95']
['2', ' 4320', ' 0', ' 0', ' 50', ' 80']
['2', ' 4320', ' 0', ' 0', ' 55', ' 80']
['2', ' 4320', ' 0', ' 0', ' 62', ' 80']
['2', ' 4320', ' 1', ' 0', ' 50', ' 95']
['2', ' 4330', ' 1', ' 0', ' 55', ' 95']
['2', ' 4340', ' 1', ' 0', ' 62', ' 95']
['2', ' 4560', ' 0', ' 0', ' 50', ' 80']
['2', ' 4560', ' 0', ' 0', ' 55', ' 80']
['2', ' 4560', ' 0', ' 0', ' 62', ' 80']
['2', ' 4560', ' 1', ' 0', ' 50', ' 95']
['2', ' 4570', ' 1', ' 0', ' 55', ' 95']
['2', ' 4580', ' 1', ' 0', ' 62', ' 95']
['2', ' 4800', ' 0', ' 0', ' 43', ' 80']
['2', ' 4800', ' 0', ' 0', ' 50', ' 80']
['2', ' 4800', ' 0', ' 0', ' 55', ' 80']
