['2', ' 0', ' 2', ' 9', ' 7', ' 127']
['2', ' 0', ' 2', ' 9', ' 10', ' 66']
['2', ' 0', ' 3', ' 9', ' 0']
['2', ' 0', ' 2', ' 9', ' 93', ' 0']
['2', ' 0', ' 2', ' 9', ' 91', ' 119']
['2', ' 1244', ' 1', ' 9', ' 35', ' 127']
['2', ' 1300', ' 0', ' 9', ' 35', ' 64']
['2', ' 1329', ' 1', ' 9', ' 40', ' 127']
['2', ' 1368', ' 0', ' 9', ' 40', ' 64']
['2', ' 1420', ' 1', ' 9', ' 35', ' 127']
['2', ' 1456', ' 0', ' 9', ' 35', ' 64']
['2', ' 1523', ' 1', ' 9', ' 35', ' 127']
['2', ' 1524', ' 1', ' 9', ' 42', ' 127']
['2', ' 1552', ' 0', ' 9', ' 42', ' 64']
['2', ' 1593', ' 0', ' 9', ' 35', ' 64']
['2', ' 1616', ' 1', ' 9', ' 42', ' 127']
['2', ' 1643', ' 0', ' 9', ' 42', ' 64']
['2', ' 1710', ' 1', ' 9', ' 42', ' 127']
['2', ' 1713', ' 1', ' 9', ' 40', ' 127']
['2', ' 1736', ' 0', ' 9', ' 42', ' 64']
['2', ' 1747', ' 0', ' 9', ' 40', ' 64']
['2', ' 1801', ' 1', ' 9', ' 42', ' 127']
['2', ' 1814', ' 1', ' 9', ' 35', ' 127']
['2', ' 1827', ' 0', ' 9', ' 42', ' 64']
['2', ' 1848', ' 0', ' 9', ' 35', ' 64']
['2', ' 1899', ' 1', ' 9', ' 42', ' 127']
['2', ' 1912', ' 1', ' 9', ' 35', ' 127']
['2', ' 1923', ' 0', ' 9', ' 42', ' 64']
['2', ' 1963', ' 0', ' 9', ' 35', ' 64']
['2', ' 1995', ' 1', ' 9', ' 42', ' 127']
['2', ' 2022', ' 0', ' 9', ' 42', ' 64']
['2', ' 2099', ' 1', ' 9', ' 42', ' 127']
['2', ' 2105', ' 1', ' 9', ' 40', ' 127']
['2', ' 2126', ' 0', ' 9', ' 42', ' 64']
['2', ' 2140', ' 0', ' 9', ' 40', ' 64']
['2', ' 2206', ' 1', ' 9', ' 42', ' 127']
['2', ' 2208', ' 1', ' 9', ' 35', ' 127']
['2', ' 2232', ' 0', ' 9', ' 42', ' 64']
['2', ' 2246', ' 0', ' 9', ' 35', ' 64']
['2', ' 2304', ' 1', ' 9', ' 42', ' 127']
['2', ' 2308', ' 1', ' 9', ' 35', ' 127']
['2', ' 2332', ' 0', ' 9', ' 42', ' 64']
['2', ' 2356', ' 0', ' 9', ' 35', ' 64']
['2', ' 2400', ' 1', ' 9', ' 42', ' 127']
['2', ' 2427', ' 0', ' 9', ' 42', ' 64']
['2', ' 2496', ' 1', ' 9', ' 42', ' 127']
['2', ' 2497', ' 1', ' 9', ' 40', ' 127']
['2', ' 2523', ' 0', ' 9', ' 42', ' 64']
['2', ' 2531', ' 0', ' 9', ' 40', ' 64']
['2', ' 2587', ' 1', ' 9', ' 35', ' 127']
['2', ' 2596', ' 1', ' 9', ' 42', ' 127']
['2', ' 2617', ' 0', ' 9', ' 42', ' 64']
['2', ' 2622', ' 0', ' 9', ' 35', ' 64']
['2', ' 2689', ' 1', ' 9', ' 35', ' 127']
['2', ' 2694', ' 1', ' 9', ' 42', ' 127']
['2', ' 2718', ' 0', ' 9', ' 42', ' 64']
['2', ' 2737', ' 0', ' 9', ' 35', ' 64']
['2', ' 2788', ' 1', ' 9', ' 42', ' 127']
['2', ' 2812', ' 0', ' 9', ' 42', ' 64']
['2', ' 2868', ' 1', ' 9', ' 40', ' 127']
['2', ' 2889', ' 1', ' 9', ' 42', ' 127']
['2', ' 2900', ' 0', ' 9', ' 40', ' 64']
['2', ' 2912', ' 0', ' 9', ' 42', ' 64']
['2', ' 2968', ' 1', ' 9', ' 35', ' 127']
['2', ' 2974', ' 1', ' 9', ' 42', ' 127']
['2', ' 2995', ' 0', ' 9', ' 42', ' 64']
['2', ' 2998', ' 0', ' 9', ' 35', ' 64']
['2', ' 3068', ' 1', ' 9', ' 42', ' 127']
['2', ' 3072', ' 1', ' 9', ' 35', ' 127']
['2', ' 3092', ' 0', ' 9', ' 42', ' 64']
['2', ' 3123', ' 0', ' 9', ' 35', ' 64']
['2', ' 3158', ' 1', ' 9', ' 42', ' 127']
['2', ' 3177', ' 0', ' 9', ' 42', ' 64']
['2', ' 3254', ' 1', ' 9', ' 42', ' 127']
['2', ' 3256', ' 1', ' 9', ' 40', ' 127']
['2', ' 3276', ' 0', ' 9', ' 42', ' 64']
