['2', ' 0', ' 3', ' 9', ' 0']
['2', ' 0', ' 2', ' 9', ' 7', ' 114']
['2', ' 0', ' 2', ' 9', ' 10', ' 64']
['2', ' 0', ' 2', ' 9', ' 93', ' 21']
['2', ' 0', ' 2', ' 9', ' 91', ' 89']
['2', ' 0', ' 1', ' 9', ' 40', ' 127']
['2', ' 29', ' 1', ' 9', ' 40', ' 0']
['2', ' 30', ' 1', ' 9', ' 40', ' 125']
['2', ' 59', ' 1', ' 9', ' 40', ' 0']
['2', ' 60', ' 1', ' 9', ' 40', ' 106']
['2', ' 89', ' 1', ' 9', ' 40', ' 0']
['2', ' 90', ' 1', ' 9', ' 40', ' 114']
['2', ' 119', ' 1', ' 9', ' 40', ' 0']
['2', ' 120', ' 1', ' 9', ' 40', ' 125']
['2', ' 149', ' 1', ' 9', ' 40', ' 0']
['2', ' 240', ' 2', ' 9', ' 93', ' 21']
['2', ' 240', ' 2', ' 9', ' 91', ' 89']
['2', ' 240', ' 1', ' 9', ' 40', ' 127']
['2', ' 269', ' 1', ' 9', ' 40', ' 0']
['2', ' 270', ' 1', ' 9', ' 40', ' 125']
['2', ' 299', ' 1', ' 9', ' 40', ' 0']
['2', ' 300', ' 1', ' 9', ' 40', ' 106']
['2', ' 329', ' 1', ' 9', ' 40', ' 0']
['2', ' 330', ' 1', ' 9', ' 40', ' 114']
['2', ' 359', ' 1', ' 9', ' 40', ' 0']
['2', ' 360', ' 1', ' 9', ' 40', ' 125']
['2', ' 389', ' 1', ' 9', ' 40', ' 0']
['2', ' 480', ' 2', ' 9', ' 93', ' 21']
['2', ' 480', ' 2', ' 9', ' 91', ' 89']
['2', ' 480', ' 1', ' 9', ' 40', ' 127']
['2', ' 509', ' 1', ' 9', ' 40', ' 0']
['2', ' 510', ' 1', ' 9', ' 40', ' 125']
['2', ' 539', ' 1', ' 9', ' 40', ' 0']
['2', ' 540', ' 1', ' 9', ' 40', ' 106']
['2', ' 569', ' 1', ' 9', ' 40', ' 0']
['2', ' 570', ' 1', ' 9', ' 40', ' 114']
['2', ' 599', ' 1', ' 9', ' 40', ' 0']
['2', ' 600', ' 1', ' 9', ' 40', ' 125']
['2', ' 629', ' 1', ' 9', ' 40', ' 0']
['2', ' 720', ' 2', ' 9', ' 93', ' 21']
['2', ' 720', ' 2', ' 9', ' 91', ' 89']
['2', ' 720', ' 1', ' 9', ' 40', ' 127']
['2', ' 749', ' 1', ' 9', ' 40', ' 0']
['2', ' 750', ' 1', ' 9', ' 40', ' 125']
['2', ' 779', ' 1', ' 9', ' 40', ' 0']
['2', ' 780', ' 1', ' 9', ' 40', ' 106']
['2', ' 809', ' 1', ' 9', ' 40', ' 0']
['2', ' 810', ' 1', ' 9', ' 40', ' 114']
['2', ' 839', ' 1', ' 9', ' 40', ' 0']
['2', ' 840', ' 1', ' 9', ' 40', ' 125']
['2', ' 869', ' 1', ' 9', ' 40', ' 0']
['2', ' 960', ' 1', ' 9', ' 40', ' 125']
['2', ' 989', ' 1', ' 9', ' 40', ' 0']
['2', ' 1080', ' 1', ' 9', ' 36', ' 127']
['2', ' 1200', ' 1', ' 9', ' 40', ' 127']
['2', ' 1230', ' 1', ' 9', ' 36', ' 0']
['2', ' 1320', ' 1', ' 9', ' 40', ' 0']
['2', ' 1320', ' 1', ' 9', ' 36', ' 127']
['2', ' 1440', ' 1', ' 9', ' 36', ' 0']
['2', ' 1440', ' 1', ' 9', ' 40', ' 127']
['2', ' 1530', ' 1', ' 9', ' 40', ' 0']
['2', ' 1560', ' 1', ' 9', ' 36', ' 127']
['2', ' 1680', ' 1', ' 9', ' 36', ' 0']
['2', ' 1680', ' 1', ' 9', ' 40', ' 127']
['2', ' 1770', ' 1', ' 9', ' 40', ' 0']
['2', ' 1800', ' 1', ' 9', ' 36', ' 127']
['2', ' 1920', ' 1', ' 9', ' 36', ' 0']
['2', ' 1920', ' 1', ' 9', ' 40', ' 127']
['2', ' 2010', ' 1', ' 9', ' 40', ' 0']
['2', ' 2040', ' 1', ' 9', ' 36', ' 127']
['2', ' 2160', ' 1', ' 9', ' 40', ' 127']
['2', ' 2190', ' 1', ' 9', ' 36', ' 0']
['2', ' 2280', ' 1', ' 9', ' 40', ' 0']
['2', ' 2280', ' 1', ' 9', ' 36', ' 127']
['2', ' 2400', ' 1', ' 9', ' 36', ' 0']
['2', ' 2400', ' 1', ' 9', ' 40', ' 127']
['2', ' 2490', ' 1', ' 9', ' 40', ' 0']
['2', ' 2520', ' 1', ' 9', ' 36', ' 127']
['2', ' 2640', ' 1', ' 9', ' 36', ' 0']
['2', ' 2640', ' 1', ' 9', ' 40', ' 127']
['2', ' 2730', ' 1', ' 9', ' 40', ' 0']
['2', ' 2760', ' 1', ' 9', ' 36', ' 127']
['2', ' 2880', ' 1', ' 9', ' 36', ' 0']
['2', ' 2880', ' 1', ' 9', ' 40', ' 127']
['2', ' 2970', ' 1', ' 9', ' 40', ' 0']
['2', ' 3000', ' 1', ' 9', ' 36', ' 127']
['2', ' 3120', ' 1', ' 9', ' 36', ' 0']
['2', ' 3120', ' 1', ' 9', ' 40', ' 127']
['2', ' 3210', ' 1', ' 9', ' 40', ' 0']
['2', ' 3240', ' 1', ' 9', ' 36', ' 125']
['2', ' 3360', ' 1', ' 9', ' 40', ' 127']
['2', ' 3390', ' 1', ' 9', ' 36', ' 0']
['2', ' 3450', ' 1', ' 9', ' 40', ' 0']
['2', ' 3480', ' 1', ' 9', ' 36', ' 127']
['2', ' 3600', ' 1', ' 9', ' 36', ' 0']
['2', ' 3600', ' 1', ' 9', ' 40', ' 127']
['2', ' 3690', ' 1', ' 9', ' 40', ' 0']
['2', ' 3720', ' 1', ' 9', ' 36', ' 127']
['2', ' 3840', ' 1', ' 9', ' 40', ' 127']
['2', ' 3870', ' 1', ' 9', ' 36', ' 0']
['2', ' 3930', ' 1', ' 9', ' 40', ' 0']
['2', ' 3960', ' 1', ' 9', ' 36', ' 127']
['2', ' 4080', ' 1', ' 9', ' 36', ' 0']
['2', ' 4080', ' 1', ' 9', ' 40', ' 127']
['2', ' 4170', ' 1', ' 9', ' 40', ' 0']
['2', ' 4200', ' 1', ' 9', ' 36', ' 127']
['2', ' 4320', ' 1', ' 9', ' 36', ' 0']
['2', ' 4320', ' 1', ' 9', ' 40', ' 127']
['2', ' 4410', ' 1', ' 9', ' 40', ' 0']
['2', ' 4440', ' 1', ' 9', ' 36', ' 127']
['2', ' 4560', ' 1', ' 9', ' 40', ' 127']
['2', ' 4590', ' 1', ' 9', ' 36', ' 0']
['2', ' 4650', ' 1', ' 9', ' 40', ' 0']
['2', ' 4680', ' 1', ' 9', ' 36', ' 125']
['2', ' 4800', ' 1', ' 9', ' 36', ' 0']
['2', ' 4800', ' 1', ' 9', ' 40', ' 127']
['2', ' 4890', ' 1', ' 9', ' 40', ' 0']
['2', ' 4920', ' 1', ' 9', ' 36', ' 125']
['2', ' 5040', ' 1', ' 9', ' 36', ' 0']
['2', ' 5040', ' 1', ' 9', ' 40', ' 127']
['2', ' 5130', ' 1', ' 9', ' 40', ' 0']
['2', ' 5160', ' 1', ' 9', ' 36', ' 125']
['2', ' 5280', ' 1', ' 9', ' 36', ' 0']
['2', ' 5280', ' 1', ' 9', ' 40', ' 127']
['2', ' 5370', ' 1', ' 9', ' 40', ' 0']
['2', ' 5400', ' 1', ' 9', ' 36', ' 125']
['2', ' 5520', ' 1', ' 9', ' 36', ' 0']
['2', ' 5520', ' 1', ' 9', ' 40', ' 127']
['2', ' 5610', ' 1', ' 9', ' 40', ' 0']
['2', ' 5640', ' 1', ' 9', ' 36', ' 125']
['2', ' 5730', ' 1', ' 9', ' 36', ' 0']
['2', ' 5760', ' 1', ' 9', ' 40', ' 127']
['2', ' 5850', ' 1', ' 9', ' 40', ' 0']
['2', ' 5880', ' 1', ' 9', ' 36', ' 125']
['2', ' 6000', ' 1', ' 9', ' 40', ' 127']
['2', ' 6030', ' 1', ' 9', ' 36', ' 0']
['2', ' 6060', ' 1', ' 9', ' 40', ' 0']
['2', ' 6120', ' 1', ' 9', ' 36', ' 125']
['2', ' 6240', ' 1', ' 9', ' 36', ' 0']
['2', ' 6240', ' 1', ' 9', ' 40', ' 127']
['2', ' 6330', ' 1', ' 9', ' 40', ' 0']
['2', ' 6360', ' 1', ' 9', ' 36', ' 127']
['2', ' 6480', ' 1', ' 9', ' 36', ' 0']
['2', ' 6480', ' 1', ' 9', ' 40', ' 127']
['2', ' 6570', ' 1', ' 9', ' 40', ' 0']
['2', ' 6600', ' 1', ' 9', ' 36', ' 125']
['2', ' 6720', ' 1', ' 9', ' 36', ' 0']
['2', ' 6720', ' 1', ' 9', ' 40', ' 127']
['2', ' 6810', ' 1', ' 9', ' 40', ' 0']
['2', ' 6840', ' 1', ' 9', ' 36', ' 127']
['2', ' 6960', ' 1', ' 9', ' 36', ' 0']
['2', ' 6960', ' 1', ' 9', ' 40', ' 127']
['2', ' 7050', ' 1', ' 9', ' 40', ' 0']
['2', ' 7080', ' 1', ' 9', ' 36', ' 125']
['2', ' 7200', ' 1', ' 9', ' 40', ' 125']
['2', ' 7230', ' 1', ' 9', ' 36', ' 0']
['2', ' 7290', ' 1', ' 9', ' 40', ' 0']
['2', ' 7320', ' 1', ' 9', ' 36', ' 127']
['2', ' 7440', ' 1', ' 9', ' 36', ' 0']
['2', ' 7440', ' 1', ' 9', ' 40', ' 127']
['2', ' 7530', ' 1', ' 9', ' 40', ' 0']
['2', ' 7560', ' 1', ' 9', ' 36', ' 125']
['2', ' 7680', ' 1', ' 9', ' 36', ' 0']
['2', ' 7680', ' 1', ' 9', ' 40', ' 125']
['2', ' 7770', ' 1', ' 9', ' 40', ' 0']
['2', ' 7800', ' 1', ' 9', ' 36', ' 127']
['2', ' 7920', ' 1', ' 9', ' 36', ' 0']
['2', ' 7920', ' 1', ' 9', ' 40', ' 127']
['2', ' 8040', ' 1', ' 9', ' 40', ' 0']
['2', ' 8040', ' 1', ' 9', ' 36', ' 125']
['2', ' 8160', ' 1', ' 9', ' 40', ' 127']
['2', ' 8190', ' 1', ' 9', ' 36', ' 0']
['2', ' 8250', ' 1', ' 9', ' 40', ' 0']
['2', ' 8280', ' 1', ' 9', ' 36', ' 127']
['2', ' 8400', ' 1', ' 9', ' 36', ' 0']
['2', ' 8400', ' 1', ' 9', ' 40', ' 127']
['2', ' 8490', ' 1', ' 9', ' 40', ' 0']
['2', ' 8520', ' 1', ' 9', ' 36', ' 127']
['2', ' 8610', ' 1', ' 9', ' 36', ' 0']
['2', ' 8640', ' 1', ' 9', ' 40', ' 127']
['2', ' 8700', ' 1', ' 9', ' 40', ' 0']
['2', ' 8760', ' 1', ' 9', ' 36', ' 125']
['2', ' 8820', ' 1', ' 9', ' 36', ' 0']
['2', ' 8880', ' 1', ' 9', ' 40', ' 127']
['2', ' 9000', ' 1', ' 9', ' 40', ' 0']
['2', ' 9060', ' 1', ' 9', ' 36', ' 127']
['2', ' 9089', ' 1', ' 9', ' 36', ' 0']
['2', ' 9120', ' 1', ' 9', ' 40', ' 127']
['2', ' 9180', ' 1', ' 9', ' 40', ' 0']
['2', ' 9240', ' 1', ' 9', ' 36', ' 127']
['2', ' 9330', ' 1', ' 9', ' 36', ' 0']
['2', ' 9360', ' 1', ' 9', ' 40', ' 127']
['2', ' 9480', ' 1', ' 9', ' 40', ' 0']
['2', ' 9540', ' 1', ' 9', ' 36', ' 127']
['2', ' 9600', ' 1', ' 9', ' 36', ' 0']
['2', ' 9600', ' 1', ' 9', ' 40', ' 127']
['2', ' 9660', ' 1', ' 9', ' 40', ' 0']
['2', ' 9720', ' 1', ' 9', ' 36', ' 127']
['2', ' 9810', ' 1', ' 9', ' 36', ' 0']
['2', ' 9840', ' 1', ' 9', ' 40', ' 127']
['2', ' 9960', ' 1', ' 9', ' 40', ' 0']
['2', ' 10020', ' 1', ' 9', ' 36', ' 127']
['2', ' 10080', ' 1', ' 9', ' 36', ' 0']
['2', ' 10080', ' 1', ' 9', ' 40', ' 127']
['2', ' 10140', ' 1', ' 9', ' 40', ' 0']
['2', ' 10200', ' 1', ' 9', ' 36', ' 127']
['2', ' 10290', ' 1', ' 9', ' 36', ' 0']
['2', ' 10320', ' 1', ' 9', ' 40', ' 127']
['2', ' 10410', ' 1', ' 9', ' 40', ' 0']
['2', ' 10500', ' 1', ' 9', ' 36', ' 127']
['2', ' 10560', ' 1', ' 9', ' 36', ' 0']
['2', ' 10560', ' 1', ' 9', ' 40', ' 127']
['2', ' 10620', ' 1', ' 9', ' 40', ' 0']
['2', ' 10680', ' 1', ' 9', ' 36', ' 127']
['2', ' 10800', ' 1', ' 9', ' 40', ' 127']
['2', ' 10830', ' 1', ' 9', ' 36', ' 0']
['2', ' 10920', ' 1', ' 9', ' 40', ' 0']
['2', ' 10920', ' 1', ' 9', ' 36', ' 127']
['2', ' 11040', ' 1', ' 9', ' 36', ' 0']
['2', ' 11040', ' 1', ' 9', ' 40', ' 127']
['2', ' 11130', ' 1', ' 9', ' 40', ' 0']
['2', ' 11160', ' 1', ' 9', ' 36', ' 127']
['2', ' 11280', ' 1', ' 9', ' 36', ' 0']
['2', ' 11280', ' 1', ' 9', ' 40', ' 127']
['2', ' 11370', ' 1', ' 9', ' 40', ' 0']
['2', ' 11400', ' 1', ' 9', ' 36', ' 127']
['2', ' 11520', ' 1', ' 9', ' 36', ' 0']
['2', ' 11520', ' 1', ' 9', ' 40', ' 127']
['2', ' 11610', ' 1', ' 9', ' 40', ' 0']
['2', ' 11640', ' 1', ' 9', ' 36', ' 127']
['2', ' 11760', ' 1', ' 9', ' 40', ' 127']
['2', ' 11790', ' 1', ' 9', ' 36', ' 0']
['2', ' 11880', ' 1', ' 9', ' 40', ' 0']
['2', ' 11880', ' 1', ' 9', ' 36', ' 127']
['2', ' 12000', ' 1', ' 9', ' 36', ' 0']
['2', ' 12000', ' 1', ' 9', ' 40', ' 127']
['2', ' 12090', ' 1', ' 9', ' 40', ' 0']
['2', ' 12120', ' 1', ' 9', ' 36', ' 127']
['2', ' 12240', ' 1', ' 9', ' 36', ' 0']
['2', ' 12240', ' 1', ' 9', ' 40', ' 127']
['2', ' 12330', ' 1', ' 9', ' 40', ' 0']
['2', ' 12360', ' 1', ' 9', ' 36', ' 127']
['2', ' 12480', ' 1', ' 9', ' 36', ' 0']
