0, 0, Header, 1, 6, 192
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 437956
1, 96, Tempo, 500000
1, 1152, Tempo, 504202
1, 1200, Tempo, 500000
1, 1344, Tempo, 504202
1, 1392, Tempo, 500000
1, 2448, Tempo, 504202
1, 2496, Tempo, 500000
1, 3840, Tempo, 504202
1, 3888, Tempo, 500000
1, 4032, Tempo, 512821
1, 4080, Tempo, 491803
1, 4128, Tempo, 500000
1, 4176, Tempo, 504202
1, 4224, Tempo, 500000
1, 4560, Tempo, 504202
1, 4608, Tempo, 500000
1, 5184, Tempo, 504202
1, 5232, Tempo, 500000
1, 6576, Tempo, 504202
1, 6624, Tempo, 500000
1, 6720, Tempo, 504202
1, 6768, Tempo, 500000
1, 7152, Tempo, 504202
1, 7200, Tempo, 500000
1, 7872, Tempo, 504202
1, 7920, Tempo, 500000
1, 9216, Tempo, 504202
1, 9264, Tempo, 500000
1, 10560, Tempo, 504202
1, 10608, Tempo, 500000
1, 11952, Tempo, 504202
1, 12000, Tempo, 500000
1, 13296, Tempo, 504202
1, 13344, Tempo, 500000
1, 13584, Tempo, 504202
1, 13632, Tempo, 500000
1, 14640, Tempo, 504202
1, 14688, Tempo, 500000
1, 15984, Tempo, 504202
1, 16032, Tempo, 500000
1, 17328, Tempo, 504202
1, 17376, Tempo, 500000
1, 18672, Tempo, 504202
1, 18720, Tempo, 500000
1, 20016, Tempo, 504202
1, 20064, Tempo, 500000
1, 21360, Tempo, 504202
1, 21408, Tempo, 500000
1, 22704, Tempo, 504202
1, 22752, Tempo, 500000
1, 24048, Tempo, 504202
1, 24096, Tempo, 500000
1, 25440, Tempo, 504202
1, 25488, Tempo, 500000
1, 25728, Tempo, 517241
1, 25776, Tempo, 487805
1, 25824, Tempo, 500000
1, 26928, Tempo, 504202
1, 26976, Tempo, 500000
1, 28128, Tempo, 504202
1, 28176, Tempo, 500000
1, 29280, Tempo, 504202
1, 29328, Tempo, 500000
1, 29472, Tempo, 508475
1, 29520, Tempo, 500000
1, 30816, Tempo, 504202
1, 30864, Tempo, 500000
1, 31440, Tempo, 491803
1, 31488, Tempo, 512821
1, 31536, Tempo, 500000
1, 32208, Tempo, 504202
1, 32256, Tempo, 500000
1, 33504, Tempo, 504202
1, 33552, Tempo, 500000
1, 33936, Tempo, 504202
1, 33984, Tempo, 500000
1, 34848, Tempo, 504202
1, 34896, Tempo, 500000
1, 36240, Tempo, 504202
1, 36288, Tempo, 500000
1, 37152, Tempo, 504202
1, 37200, Tempo, 500000
1, 37584, Tempo, 504202
1, 37632, Tempo, 500000
1, 37776, Tempo, 504202
1, 37824, Tempo, 500000
1, 38928, Tempo, 504202
1, 38976, Tempo, 500000
1, 40272, Tempo, 504202
1, 40320, Tempo, 500000
1, 41616, Tempo, 504202
1, 41664, Tempo, 500000
1, 42960, Tempo, 504202
1, 43008, Tempo, 500000
1, 43584, Tempo, 517241
1, 43632, Tempo, 487805
1, 43680, Tempo, 500000
1, 44304, Tempo, 504202
1, 44352, Tempo, 500000
1, 45648, Tempo, 504202
1, 45696, Tempo, 500000
1, 48384, Tempo, 504202
1, 48432, Tempo, 500000
1, 49728, Tempo, 504202
1, 49776, Tempo, 500000
1, 50544, Tempo, 495868
1, 50592, Tempo, 508475
1, 50640, Tempo, 500000
1, 51072, Tempo, 504202
1, 51120, Tempo, 500000
1, 51168, Tempo, 504202
1, 51216, Tempo, 495868
1, 51264, Tempo, 500000
1, 52416, Tempo, 504202
1, 52464, Tempo, 500000
1, 53760, Tempo, 504202
1, 53808, Tempo, 500000
1, 55104, Tempo, 504202
1, 55152, Tempo, 500000
1, 55728, Tempo, 508475
1, 55776, Tempo, 495868
1, 55824, Tempo, 500000
1, 56496, Tempo, 504202
1, 56544, Tempo, 500000
1, 57840, Tempo, 504202
1, 57888, Tempo, 500000
1, 59184, Tempo, 504202
1, 59232, Tempo, 500000
1, 60528, Tempo, 504202
1, 60576, Tempo, 500000
1, 61872, Tempo, 504202
1, 61920, Tempo, 500000
1, 62688, Tempo, 508475
1, 62736, Tempo, 495868
1, 62784, Tempo, 500000
1, 63216, Tempo, 504202
1, 63264, Tempo, 500000
1, 64560, Tempo, 504202
1, 64608, Tempo, 500000
1, 65904, Tempo, 504202
1, 65952, Tempo, 500000
1, 67296, Tempo, 504202
1, 67344, Tempo, 500000
1, 67344, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "REMIXED             "
2, 0, Program_c, 0, 37
2, 717, Note_on_c, 0, 31, 99
2, 717, Control_c, 0, 7, 90
2, 893, Note_on_c, 0, 31, 0
2, 895, Note_on_c, 0, 35, 88
2, 981, Note_on_c, 0, 36, 71
2, 1001, Note_on_c, 0, 35, 0
2, 1059, Note_on_c, 0, 36, 0
2, 1075, Note_on_c, 0, 38, 71
2, 1247, Note_on_c, 0, 38, 0
2, 1251, Note_on_c, 0, 42, 88
2, 1320, Note_on_c, 0, 42, 0
2, 1341, Note_on_c, 0, 43, 88
2, 1415, Note_on_c, 0, 43, 0
2, 1431, Note_on_c, 0, 29, 88
2, 1599, Note_on_c, 0, 29, 0
2, 1609, Note_on_c, 0, 31, 71
2, 1697, Note_on_c, 0, 33, 60
2, 1701, Note_on_c, 0, 31, 0
2, 1787, Note_on_c, 0, 34, 56
2, 1789, Note_on_c, 0, 33, 0
2, 1949, Note_on_c, 0, 34, 0
2, 1967, Note_on_c, 0, 38, 64
2, 2057, Note_on_c, 0, 41, 71
2, 2067, Note_on_c, 0, 38, 0
2, 2115, Note_on_c, 0, 41, 0
2, 2145, Note_on_c, 0, 27, 99
