['1', ' 0', ' 3', ' 0', ' 33']
['1', ' 24', ' 2', ' 0', ' 1', ' 0']
['1', ' 48', ' 2', ' 0', ' 7', ' 100']
['1', ' 72', ' 2', ' 0', ' 10', ' 65']
['1', ' 96', ' 2', ' 0', ' 11', ' 127']
['1', ' 120', ' 2', ' 0', ' 91', ' 0']
['1', ' 168', ' 2', ' 0', ' 100', ' 0']
['1', ' 192', ' 2', ' 0', ' 101', ' 0']
['1', ' 216', ' 2', ' 0', ' 6', ' 12']
['1', ' 240', ' 2', ' 0', ' 38', ' 0']
['1', ' 672', ' 1', ' 0', ' 45', ' 127']
['1', ' 747', ' 0', ' 0', ' 45', ' 99']
['1', ' 768', ' 1', ' 0', ' 28', ' 120']
['1', ' 816', ' 1', ' 0', ' 33', ' 120']
['1', ' 821', ' 0', ' 0', ' 28', ' 108']
['1', ' 840', ' 0', ' 0', ' 33', ' 103']
['1', ' 864', ' 1', ' 0', ' 33', ' 120']
['1', ' 914', ' 0', ' 0', ' 33', ' 54']
['1', ' 1152', ' 1', ' 0', ' 33', ' 120']
['1', ' 1200', ' 1', ' 0', ' 30', ' 120']
['1', ' 1205', ' 0', ' 0', ' 33', ' 88']
['1', ' 1220', ' 0', ' 0', ' 30', ' 113']
['1', ' 1248', ' 1', ' 0', ' 30', ' 120']
['1', ' 1299', ' 0', ' 0', ' 30', ' 88']
['1', ' 1536', ' 1', ' 0', ' 28', ' 115']
['1', ' 1584', ' 1', ' 0', ' 33', ' 120']
['1', ' 1590', ' 0', ' 0', ' 28', ' 108']
['1', ' 1607', ' 0', ' 0', ' 33', ' 86']
['1', ' 1632', ' 1', ' 0', ' 33', ' 120']
['1', ' 1681', ' 0', ' 0', ' 33', ' 39']
['1', ' 1920', ' 1', ' 0', ' 33', ' 120']
['1', ' 1968', ' 1', ' 0', ' 30', ' 120']
['1', ' 1971', ' 0', ' 0', ' 33', ' 56']
['1', ' 1986', ' 0', ' 0', ' 30', ' 120']
['1', ' 2016', ' 1', ' 0', ' 30', ' 120']
['1', ' 2066', ' 0', ' 0', ' 30', ' 63']
['1', ' 2304', ' 1', ' 0', ' 28', ' 120']
['1', ' 2352', ' 1', ' 0', ' 33', ' 120']
['1', ' 2355', ' 0', ' 0', ' 28', ' 113']
['1', ' 2372', ' 0', ' 0', ' 33', ' 84']
['1', ' 2400', ' 1', ' 0', ' 33', ' 120']
['1', ' 2453', ' 0', ' 0', ' 33', ' 35']
['1', ' 2688', ' 1', ' 0', ' 33', ' 120']
['1', ' 2736', ' 1', ' 0', ' 30', ' 120']
['1', ' 2744', ' 0', ' 0', ' 33', ' 58']
['1', ' 2755', ' 0', ' 0', ' 30', ' 108']
['1', ' 2784', ' 1', ' 0', ' 30', ' 120']
