['2', ' 0', ' 2', ' 1', ' 7', ' 120']
['2', ' 0', ' 3', ' 1', ' 32']
['2', ' 412', ' 3', ' 1', ' 32']
['2', ' 416', ' 2', ' 1', ' 7', ' 120']
['2', ' 416', ' 2', ' 1', ' 10', ' 64']
['2', ' 416', ' 2', ' 1', ' 11', ' 127']
['2', ' 420', ' 2', ' 1', ' 91', ' 80']
['2', ' 420', ' 2', ' 1', ' 93', ' 0']
['2', ' 13824', ' 1', ' 1', ' 40', ' 96']
['2', ' 13968', ' 0', ' 1', ' 40', ' 64']
['2', ' 14016', ' 1', ' 1', ' 40', ' 77']
['2', ' 14188', ' 0', ' 1', ' 40', ' 64']
['2', ' 14208', ' 1', ' 1', ' 35', ' 89']
['2', ' 14380', ' 0', ' 1', ' 35', ' 64']
['2', ' 14400', ' 1', ' 1', ' 40', ' 92']
['2', ' 14724', ' 0', ' 1', ' 40', ' 64']
['2', ' 14784', ' 1', ' 1', ' 40', ' 84']
['2', ' 14976', ' 0', ' 1', ' 40', ' 64']
['2', ' 14976', ' 1', ' 1', ' 35', ' 92']
['2', ' 15168', ' 1', ' 1', ' 40', ' 85']
['2', ' 15204', ' 0', ' 1', ' 35', ' 64']
['2', ' 15484', ' 0', ' 1', ' 40', ' 64']
['2', ' 15552', ' 1', ' 1', ' 40', ' 77']
['2', ' 15744', ' 0', ' 1', ' 40', ' 64']
['2', ' 15744', ' 1', ' 1', ' 35', ' 88']
['2', ' 15936', ' 1', ' 1', ' 40', ' 87']
['2', ' 15968', ' 0', ' 1', ' 35', ' 64']
['2', ' 16260', ' 0', ' 1', ' 40', ' 64']
['2', ' 16320', ' 1', ' 1', ' 40', ' 75']
['2', ' 16504', ' 0', ' 1', ' 40', ' 64']
['2', ' 16512', ' 1', ' 1', ' 35', ' 89']
['2', ' 16704', ' 1', ' 1', ' 40', ' 85']
['2', ' 16744', ' 0', ' 1', ' 35', ' 64']
['2', ' 17024', ' 0', ' 1', ' 40', ' 64']
['2', ' 17088', ' 1', ' 1', ' 40', ' 76']
['2', ' 17280', ' 1', ' 1', ' 35', ' 85']
['2', ' 17292', ' 0', ' 1', ' 40', ' 64']
['2', ' 17472', ' 1', ' 1', ' 40', ' 83']
['2', ' 17516', ' 0', ' 1', ' 35', ' 64']
['2', ' 17760', ' 0', ' 1', ' 40', ' 64']
['2', ' 17856', ' 1', ' 1', ' 40', ' 85']
['2', ' 18048', ' 1', ' 1', ' 35', ' 87']
['2', ' 18068', ' 0', ' 1', ' 40', ' 64']
['2', ' 18240', ' 1', ' 1', ' 40', ' 83']
['2', ' 18272', ' 0', ' 1', ' 35', ' 64']
['2', ' 18532', ' 0', ' 1', ' 40', ' 64']
['2', ' 18624', ' 1', ' 1', ' 40', ' 84']
['2', ' 18816', ' 1', ' 1', ' 35', ' 87']
['2', ' 18832', ' 0', ' 1', ' 40', ' 64']
['2', ' 19008', ' 1', ' 1', ' 40', ' 83']
['2', ' 19064', ' 0', ' 1', ' 35', ' 64']
