['2', ' 0', ' 2', ' 0', ' 7', ' 127']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 3', ' 0', ' 2']
['2', ' 768', ' 1', ' 0', ' 36', ' 124']
['2', ' 864', ' 1', ' 0', ' 41', ' 123']
['2', ' 880', ' 0', ' 0', ' 36', ' 64']
['2', ' 960', ' 1', ' 0', ' 43', ' 127']
['2', ' 976', ' 0', ' 0', ' 41', ' 64']
['2', ' 1822', ' 0', ' 0', ' 43', ' 64']
['2', ' 1824', ' 1', ' 0', ' 36', ' 120']
['2', ' 2008', ' 0', ' 0', ' 36', ' 64']
['2', ' 2016', ' 1', ' 0', ' 41', ' 120']
['2', ' 2112', ' 1', ' 0', ' 43', ' 125']
['2', ' 2121', ' 0', ' 0', ' 41', ' 64']
['2', ' 2243', ' 0', ' 0', ' 43', ' 64']
['2', ' 2304', ' 1', ' 0', ' 31', ' 124']
['2', ' 2400', ' 1', ' 0', ' 36', ' 119']
['2', ' 2408', ' 0', ' 0', ' 31', ' 64']
['2', ' 2496', ' 1', ' 0', ' 38', ' 123']
['2', ' 2512', ' 0', ' 0', ' 36', ' 64']
['2', ' 3360', ' 1', ' 0', ' 31', ' 122']
['2', ' 3369', ' 0', ' 0', ' 38', ' 64']
['2', ' 3552', ' 1', ' 0', ' 36', ' 120']
['2', ' 3556', ' 0', ' 0', ' 31', ' 64']
['2', ' 3648', ' 1', ' 0', ' 38', ' 124']
['2', ' 3665', ' 0', ' 0', ' 36', ' 64']
['2', ' 3795', ' 0', ' 0', ' 38', ' 64']
['2', ' 3840', ' 1', ' 0', ' 36', ' 121']
['2', ' 3936', ' 1', ' 0', ' 41', ' 122']
['2', ' 3960', ' 0', ' 0', ' 36', ' 64']
['2', ' 4032', ' 1', ' 0', ' 43', ' 125']
['2', ' 4051', ' 0', ' 0', ' 41', ' 64']
['2', ' 4896', ' 0', ' 0', ' 43', ' 64']
['2', ' 4896', ' 1', ' 0', ' 36', ' 121']
['2', ' 5080', ' 0', ' 0', ' 36', ' 64']
['2', ' 5088', ' 1', ' 0', ' 41', ' 121']
['2', ' 5184', ' 1', ' 0', ' 43', ' 123']
['2', ' 5209', ' 0', ' 0', ' 41', ' 64']
['2', ' 5289', ' 0', ' 0', ' 43', ' 64']
['2', ' 5376', ' 1', ' 0', ' 31', ' 124']
['2', ' 5472', ' 1', ' 0', ' 36', ' 120']
['2', ' 5475', ' 0', ' 0', ' 31', ' 64']
['2', ' 5568', ' 1', ' 0', ' 38', ' 125']
['2', ' 5590', ' 0', ' 0', ' 36', ' 64']
['2', ' 6432', ' 1', ' 0', ' 31', ' 121']
['2', ' 6459', ' 0', ' 0', ' 38', ' 64']
['2', ' 6620', ' 0', ' 0', ' 31', ' 64']
['2', ' 6624', ' 1', ' 0', ' 36', ' 118']
['2', ' 6720', ' 1', ' 0', ' 38', ' 126']
['2', ' 6737', ' 0', ' 0', ' 36', ' 64']
['2', ' 6886', ' 0', ' 0', ' 38', ' 64']
['2', ' 6912', ' 2', ' 0', ' 7', ' 100']
['2', ' 6912', ' 1', ' 0', ' 36', ' 124']
['2', ' 7008', ' 1', ' 0', ' 41', ' 123']
['2', ' 7024', ' 0', ' 0', ' 36', ' 64']
['2', ' 7104', ' 1', ' 0', ' 43', ' 127']
['2', ' 7120', ' 0', ' 0', ' 41', ' 64']
['2', ' 7966', ' 0', ' 0', ' 43', ' 64']
['2', ' 7968', ' 1', ' 0', ' 36', ' 120']
['2', ' 8152', ' 0', ' 0', ' 36', ' 64']
['2', ' 8160', ' 1', ' 0', ' 41', ' 120']
['2', ' 8256', ' 1', ' 0', ' 43', ' 125']
['2', ' 8265', ' 0', ' 0', ' 41', ' 64']
