['2', ' 0', ' 2', ' 5', ' 7', ' 127']
['2', ' 15574', ' 1', ' 5', ' 69', ' 100']
['2', ' 15734', ' 1', ' 5', ' 72', ' 100']
['2', ' 15766', ' 0', ' 5', ' 69', ' 100']
['2', ' 16118', ' 0', ' 5', ' 72', ' 100']
['2', ' 16121', ' 1', ' 5', ' 69', ' 100']
['2', ' 16313', ' 0', ' 5', ' 69', ' 100']
['2', ' 16313', ' 1', ' 5', ' 67', ' 100']
['2', ' 16502', ' 1', ' 5', ' 69', ' 100']
['2', ' 16505', ' 0', ' 5', ' 67', ' 100']
['2', ' 16886', ' 0', ' 5', ' 69', ' 100']
['2', ' 16896', ' 1', ' 5', ' 69', ' 100']
['2', ' 17078', ' 1', ' 5', ' 67', ' 100']
['2', ' 17088', ' 0', ' 5', ' 69', ' 100']
['2', ' 17270', ' 0', ' 5', ' 67', ' 100']
['2', ' 17270', ' 1', ' 5', ' 69', ' 100']
['2', ' 17462', ' 0', ' 5', ' 69', ' 100']
['2', ' 17472', ' 1', ' 5', ' 69', ' 100']
['2', ' 18048', ' 0', ' 5', ' 69', ' 100']
['2', ' 18614', ' 1', ' 5', ' 72', ' 100']
['2', ' 18806', ' 0', ' 5', ' 72', ' 100']
['2', ' 18806', ' 1', ' 5', ' 69', ' 100']
['2', ' 18998', ' 0', ' 5', ' 69', ' 100']
['2', ' 19008', ' 1', ' 5', ' 67', ' 100']
['2', ' 19200', ' 0', ' 5', ' 67', ' 100']
['2', ' 19206', ' 1', ' 5', ' 69', ' 100']
['2', ' 19382', ' 1', ' 5', ' 67', ' 100']
['2', ' 19398', ' 0', ' 5', ' 69', ' 100']
['2', ' 19574', ' 0', ' 5', ' 67', ' 100']
['2', ' 19574', ' 1', ' 5', ' 69', ' 100']
['2', ' 19766', ' 0', ' 5', ' 69', ' 100']
['2', ' 19769', ' 1', ' 5', ' 67', ' 100']
['2', ' 19961', ' 0', ' 5', ' 67', ' 100']
['2', ' 20160', ' 1', ' 5', ' 69', ' 100']
['2', ' 20320', ' 1', ' 5', ' 67', ' 100']
['2', ' 20352', ' 0', ' 5', ' 69', ' 100']
['2', ' 20512', ' 0', ' 5', ' 67', ' 100']
['2', ' 20544', ' 1', ' 5', ' 69', ' 100']
['2', ' 21120', ' 0', ' 5', ' 69', ' 100']
['2', ' 21673', ' 1', ' 5', ' 69', ' 100']
['2', ' 21865', ' 0', ' 5', ' 69', ' 100']
['2', ' 21881', ' 1', ' 5', ' 69', ' 100']
['2', ' 22265', ' 0', ' 5', ' 69', ' 100']
['2', ' 22288', ' 1', ' 5', ' 69', ' 100']
['2', ' 22640', ' 1', ' 5', ' 69', ' 100']
['2', ' 22672', ' 0', ' 5', ' 69', ' 100']
['2', ' 22832', ' 0', ' 5', ' 69', ' 100']
['2', ' 22841', ' 1', ' 5', ' 67', ' 100']
['2', ' 23033', ' 0', ' 5', ' 67', ' 100']
['2', ' 23081', ' 1', ' 5', ' 69', ' 100']
['2', ' 23241', ' 1', ' 5', ' 69', ' 100']
['2', ' 23273', ' 0', ' 5', ' 69', ' 100']
['2', ' 23616', ' 1', ' 5', ' 69', ' 100']
['2', ' 23625', ' 0', ' 5', ' 69', ' 100']
['2', ' 24192', ' 0', ' 5', ' 69', ' 100']
['2', ' 24969', ' 1', ' 5', ' 76', ' 100']
['2', ' 25318', ' 1', ' 5', ' 76', ' 100']
['2', ' 25353', ' 0', ' 5', ' 76', ' 100']
['2', ' 25510', ' 0', ' 5', ' 76', ' 100']
['2', ' 25536', ' 1', ' 5', ' 69', ' 100']
['2', ' 25718', ' 1', ' 5', ' 69', ' 100']
['2', ' 25728', ' 0', ' 5', ' 69', ' 100']
['2', ' 25910', ' 0', ' 5', ' 69', ' 100']
['2', ' 25920', ' 1', ' 5', ' 67', ' 100']
['2', ' 26112', ' 0', ' 5', ' 67', ' 100']
['2', ' 26112', ' 1', ' 5', ' 69', ' 100']
['2', ' 26304', ' 0', ' 5', ' 69', ' 100']
['2', ' 26313', ' 1', ' 5', ' 69', ' 100']
['2', ' 26678', ' 1', ' 5', ' 69', ' 100']
['2', ' 26697', ' 0', ' 5', ' 69', ' 100']
['2', ' 27254', ' 0', ' 5', ' 69', ' 100']
['2', ' 28416', ' 1', ' 5', ' 72', ' 64']
['2', ' 28598', ' 1', ' 5', ' 72', ' 64']
['2', ' 28608', ' 0', ' 5', ' 72', ' 64']
['2', ' 28790', ' 0', ' 5', ' 72', ' 64']
['2', ' 28800', ' 1', ' 5', ' 72', ' 64']
['2', ' 28992', ' 0', ' 5', ' 72', ' 64']
['2', ' 28992', ' 1', ' 5', ' 72', ' 64']
['2', ' 29184', ' 0', ' 5', ' 72', ' 64']
['2', ' 29974', ' 1', ' 5', ' 71', ' 64']
['2', ' 30137', ' 1', ' 5', ' 71', ' 64']
['2', ' 30166', ' 0', ' 5', ' 71', ' 64']
