['2', ' 0', ' 3', ' 0', ' 1']
['2', ' 0', ' 2', ' 0', ' 7', ' 100']
['2', ' 0', ' 2', ' 0', ' 10', ' 0']
['2', ' 0', ' 1', ' 0', ' 50', ' 100']
['2', ' 120', ' 1', ' 0', ' 64', ' 100']
['2', ' 240', ' 1', ' 0', ' 64', ' 0']
['2', ' 240', ' 1', ' 0', ' 64', ' 100']
['2', ' 240', ' 1', ' 0', ' 57', ' 50']
['2', ' 240', ' 1', ' 0', ' 62', ' 100']
['2', ' 360', ' 1', ' 0', ' 62', ' 0']
['2', ' 360', ' 1', ' 0', ' 50', ' 0']
['2', ' 360', ' 1', ' 0', ' 64', ' 0']
['2', ' 360', ' 1', ' 0', ' 57', ' 0']
['2', ' 360', ' 1', ' 0', ' 57', ' 50']
['2', ' 360', ' 1', ' 0', ' 61', ' 100']
['2', ' 420', ' 1', ' 0', ' 61', ' 0']
['2', ' 420', ' 1', ' 0', ' 57', ' 0']
['2', ' 420', ' 1', ' 0', ' 56', ' 30']
['2', ' 420', ' 1', ' 0', ' 59', ' 100']
['2', ' 420', ' 1', ' 0', ' 64', ' 50']
['2', ' 480', ' 1', ' 0', ' 64', ' 0']
['2', ' 480', ' 1', ' 0', ' 59', ' 0']
['2', ' 480', ' 1', ' 0', ' 56', ' 0']
['2', ' 540', ' 1', ' 0', ' 56', ' 30']
['2', ' 540', ' 1', ' 0', ' 59', ' 100']
['2', ' 540', ' 1', ' 0', ' 64', ' 100']
['2', ' 600', ' 1', ' 0', ' 64', ' 0']
['2', ' 600', ' 1', ' 0', ' 59', ' 0']
['2', ' 600', ' 1', ' 0', ' 56', ' 0']
['2', ' 660', ' 1', ' 0', ' 52', ' 100']
['2', ' 720', ' 1', ' 0', ' 61', ' 100']
['2', ' 780', ' 1', ' 0', ' 61', ' 0']
['2', ' 780', ' 1', ' 0', ' 59', ' 100']
['2', ' 840', ' 1', ' 0', ' 56', ' 100']
['2', ' 870', ' 1', ' 0', ' 59', ' 0']
['2', ' 900', ' 1', ' 0', ' 52', ' 100']
['2', ' 930', ' 1', ' 0', ' 56', ' 0']
['2', ' 960', ' 1', ' 0', ' 52', ' 0']
['2', ' 960', ' 1', ' 0', ' 52', ' 0']
['2', ' 960', ' 1', ' 0', ' 50', ' 100']
['2', ' 1080', ' 1', ' 0', ' 64', ' 100']
['2', ' 1200', ' 1', ' 0', ' 64', ' 0']
['2', ' 1200', ' 1', ' 0', ' 64', ' 100']
['2', ' 1200', ' 1', ' 0', ' 57', ' 50']
['2', ' 1200', ' 1', ' 0', ' 62', ' 100']
['2', ' 1320', ' 1', ' 0', ' 62', ' 0']
['2', ' 1320', ' 1', ' 0', ' 50', ' 0']
['2', ' 1320', ' 1', ' 0', ' 64', ' 0']
['2', ' 1320', ' 1', ' 0', ' 57', ' 0']
['2', ' 1320', ' 1', ' 0', ' 57', ' 50']
['2', ' 1320', ' 1', ' 0', ' 61', ' 100']
['2', ' 1380', ' 1', ' 0', ' 61', ' 0']
['2', ' 1380', ' 1', ' 0', ' 57', ' 0']
['2', ' 1380', ' 1', ' 0', ' 56', ' 30']
['2', ' 1380', ' 1', ' 0', ' 59', ' 100']
['2', ' 1380', ' 1', ' 0', ' 64', ' 50']
['2', ' 1440', ' 1', ' 0', ' 64', ' 0']
['2', ' 1440', ' 1', ' 0', ' 59', ' 0']
['2', ' 1440', ' 1', ' 0', ' 56', ' 0']
['2', ' 1500', ' 1', ' 0', ' 56', ' 30']
['2', ' 1500', ' 1', ' 0', ' 59', ' 100']
['2', ' 1500', ' 1', ' 0', ' 64', ' 100']
['2', ' 1560', ' 1', ' 0', ' 64', ' 0']
['2', ' 1560', ' 1', ' 0', ' 59', ' 0']
['2', ' 1560', ' 1', ' 0', ' 56', ' 0']
['2', ' 1620', ' 1', ' 0', ' 52', ' 100']
['2', ' 1680', ' 1', ' 0', ' 61', ' 100']
['2', ' 1740', ' 1', ' 0', ' 61', ' 0']
['2', ' 1740', ' 1', ' 0', ' 59', ' 100']
['2', ' 1800', ' 1', ' 0', ' 56', ' 100']
['2', ' 1830', ' 1', ' 0', ' 59', ' 0']
['2', ' 1860', ' 1', ' 0', ' 52', ' 100']
['2', ' 1890', ' 1', ' 0', ' 56', ' 0']
['2', ' 1920', ' 1', ' 0', ' 52', ' 0']
['2', ' 1920', ' 1', ' 0', ' 52', ' 0']
['2', ' 1920', ' 1', ' 0', ' 50', ' 100']
['2', ' 2040', ' 1', ' 0', ' 64', ' 100']
['2', ' 2160', ' 1', ' 0', ' 64', ' 0']
['2', ' 2160', ' 1', ' 0', ' 64', ' 100']
['2', ' 2160', ' 1', ' 0', ' 57', ' 50']
['2', ' 2160', ' 1', ' 0', ' 62', ' 100']
['2', ' 2280', ' 1', ' 0', ' 62', ' 0']
['2', ' 2280', ' 1', ' 0', ' 50', ' 0']
['2', ' 2280', ' 1', ' 0', ' 64', ' 0']
