['2', ' 0', ' 3', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 7', ' 96']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 1', ' 0']
['2', ' 0', ' 2', ' 0', ' 64', ' 0']
['3', ' 0', ' 3', ' 1', ' 24']
['3', ' 0', ' 2', ' 1', ' 7', ' 96']
['3', ' 0', ' 2', ' 1', ' 10', ' 64']
['3', ' 0', ' 2', ' 1', ' 1', ' 0']
['3', ' 0', ' 2', ' 1', ' 64', ' 0']
['3', ' 24', ' 2', ' 1', ' 1', ' 15']
['3', ' 48', ' 2', ' 1', ' 1', ' 31']
['3', ' 72', ' 2', ' 1', ' 1', ' 47']
['3', ' 96', ' 2', ' 1', ' 1', ' 63']
['3', ' 120', ' 2', ' 1', ' 1', ' 79']
['3', ' 144', ' 2', ' 1', ' 1', ' 95']
['3', ' 168', ' 2', ' 1', ' 1', ' 111']
['3', ' 192', ' 2', ' 1', ' 1', ' 127']
['3', ' 576', ' 1', ' 1', ' 76', ' 79']
['3', ' 640', ' 0', ' 1', ' 76', ' 64']
['3', ' 672', ' 1', ' 1', ' 69', ' 79']
['3', ' 736', ' 0', ' 1', ' 69', ' 64']
['3', ' 768', ' 1', ' 1', ' 69', ' 79']
['3', ' 896', ' 0', ' 1', ' 69', ' 64']
['3', ' 960', ' 1', ' 1', ' 69', ' 79']
['3', ' 1024', ' 0', ' 1', ' 69', ' 64']
['3', ' 1056', ' 1', ' 1', ' 69', ' 79']
['3', ' 1120', ' 0', ' 1', ' 69', ' 64']
['3', ' 1152', ' 1', ' 1', ' 72', ' 79']
['3', ' 1216', ' 0', ' 1', ' 72', ' 64']
['3', ' 1248', ' 1', ' 1', ' 69', ' 79']
['3', ' 1312', ' 0', ' 1', ' 69', ' 64']
['3', ' 1344', ' 1', ' 1', ' 69', ' 79']
['3', ' 1472', ' 0', ' 1', ' 69', ' 64']
['3', ' 2016', ' 1', ' 1', ' 72', ' 79']
['3', ' 2080', ' 0', ' 1', ' 72', ' 64']
['3', ' 2112', ' 1', ' 1', ' 69', ' 79']
['3', ' 2176', ' 0', ' 1', ' 69', ' 64']
['3', ' 2208', ' 1', ' 1', ' 69', ' 79']
['3', ' 2272', ' 0', ' 1', ' 69', ' 64']
['3', ' 2304', ' 1', ' 1', ' 69', ' 79']
['3', ' 2368', ' 0', ' 1', ' 69', ' 64']
['3', ' 2400', ' 1', ' 1', ' 69', ' 79']
['3', ' 2464', ' 0', ' 1', ' 69', ' 64']
['3', ' 2496', ' 1', ' 1', ' 69', ' 79']
['3', ' 2560', ' 0', ' 1', ' 69', ' 64']
['3', ' 2592', ' 1', ' 1', ' 69', ' 79']
['3', ' 2656', ' 0', ' 1', ' 69', ' 64']
['3', ' 2784', ' 1', ' 1', ' 76', ' 79']
['3', ' 2976', ' 0', ' 1', ' 76', ' 64']
['3', ' 2976', ' 1', ' 1', ' 69', ' 79']
['3', ' 3040', ' 0', ' 1', ' 69', ' 64']
['3', ' 3744', ' 1', ' 1', ' 69', ' 79']
['3', ' 3808', ' 0', ' 1', ' 69', ' 64']
['3', ' 3840', ' 1', ' 1', ' 69', ' 79']
['3', ' 3968', ' 0', ' 1', ' 69', ' 64']
['3', ' 4032', ' 1', ' 1', ' 69', ' 79']
['3', ' 4096', ' 0', ' 1', ' 69', ' 64']
['3', ' 4128', ' 1', ' 1', ' 69', ' 79']
['3', ' 4192', ' 0', ' 1', ' 69', ' 64']
['3', ' 4224', ' 1', ' 1', ' 72', ' 79']
['3', ' 4288', ' 0', ' 1', ' 72', ' 64']
['3', ' 4320', ' 1', ' 1', ' 69', ' 79']
['3', ' 4384', ' 0', ' 1', ' 69', ' 64']
['3', ' 4416', ' 1', ' 1', ' 69', ' 79']
['3', ' 4512', ' 0', ' 1', ' 69', ' 64']
['3', ' 4512', ' 1', ' 1', ' 67', ' 79']
['3', ' 4608', ' 0', ' 1', ' 67', ' 64']
['3', ' 4608', ' 1', ' 1', ' 69', ' 79']
['3', ' 4672', ' 0', ' 1', ' 69', ' 64']
['3', ' 5184', ' 1', ' 1', ' 69', ' 79']
['3', ' 5248', ' 0', ' 1', ' 69', ' 64']
['3', ' 5280', ' 1', ' 1', ' 67', ' 79']
['3', ' 5344', ' 0', ' 1', ' 67', ' 64']
['3', ' 5376', ' 1', ' 1', ' 69', ' 79']
['3', ' 5440', ' 0', ' 1', ' 69', ' 64']
['3', ' 5472', ' 1', ' 1', ' 69', ' 79']
['3', ' 5536', ' 0', ' 1', ' 69', ' 64']
['3', ' 5568', ' 1', ' 1', ' 69', ' 79']
['3', ' 5632', ' 0', ' 1', ' 69', ' 64']
['3', ' 5664', ' 1', ' 1', ' 69', ' 79']
['3', ' 5728', ' 0', ' 1', ' 69', ' 64']
['3', ' 5856', ' 1', ' 1', ' 74', ' 79']
['3', ' 6048', ' 0', ' 1', ' 74', ' 64']
['3', ' 6048', ' 1', ' 1', ' 72', ' 79']
['3', ' 6144', ' 0', ' 1', ' 72', ' 64']
['3', ' 6144', ' 1', ' 1', ' 69', ' 79']
['3', ' 6208', ' 0', ' 1', ' 69', ' 64']
['3', ' 6816', ' 1', ' 1', ' 69', ' 79']
['3', ' 6880', ' 0', ' 1', ' 69', ' 64']
['3', ' 6912', ' 1', ' 1', ' 69', ' 79']
['3', ' 6976', ' 0', ' 1', ' 69', ' 64']
['3', ' 7008', ' 1', ' 1', ' 69', ' 79']
['3', ' 7072', ' 0', ' 1', ' 69', ' 64']
['3', ' 7104', ' 1', ' 1', ' 69', ' 79']
['3', ' 7168', ' 0', ' 1', ' 69', ' 64']
['3', ' 7200', ' 1', ' 1', ' 69', ' 79']
['3', ' 7264', ' 0', ' 1', ' 69', ' 64']
['3', ' 7296', ' 1', ' 1', ' 72', ' 79']
['3', ' 7360', ' 0', ' 1', ' 72', ' 64']
['3', ' 7392', ' 1', ' 1', ' 69', ' 79']
['3', ' 7456', ' 0', ' 1', ' 69', ' 64']
['3', ' 7488', ' 1', ' 1', ' 69', ' 79']
['3', ' 7616', ' 0', ' 1', ' 69', ' 64']
['3', ' 8160', ' 1', ' 1', ' 72', ' 79']
['3', ' 8224', ' 0', ' 1', ' 72', ' 64']
['3', ' 8256', ' 1', ' 1', ' 69', ' 79']
['3', ' 8320', ' 0', ' 1', ' 69', ' 64']
['3', ' 8352', ' 1', ' 1', ' 67', ' 79']
['3', ' 8416', ' 0', ' 1', ' 67', ' 64']
['3', ' 8448', ' 1', ' 1', ' 69', ' 79']
['3', ' 8512', ' 0', ' 1', ' 69', ' 64']
['3', ' 8544', ' 1', ' 1', ' 69', ' 79']
['3', ' 8608', ' 0', ' 1', ' 69', ' 64']
['3', ' 8640', ' 1', ' 1', ' 69', ' 79']
['3', ' 8704', ' 0', ' 1', ' 69', ' 64']
['3', ' 8736', ' 1', ' 1', ' 69', ' 79']
['3', ' 8800', ' 0', ' 1', ' 69', ' 64']
['3', ' 8832', ' 1', ' 1', ' 76', ' 79']
['3', ' 8928', ' 0', ' 1', ' 76', ' 64']
