['2', ' 0', ' 3', ' 1', ' 33']
['2', ' 0', ' 2', ' 1', ' 7', ' 127']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 91', ' 94']
['2', ' 0', ' 1', ' 1', ' 33', ' 90']
['2', ' 48', ' 1', ' 1', ' 33', ' 0']
['2', ' 96', ' 1', ' 1', ' 33', ' 90']
['2', ' 144', ' 1', ' 1', ' 33', ' 0']
['2', ' 192', ' 1', ' 1', ' 33', ' 90']
['2', ' 240', ' 1', ' 1', ' 33', ' 0']
['2', ' 288', ' 1', ' 1', ' 33', ' 90']
['2', ' 336', ' 1', ' 1', ' 33', ' 0']
['2', ' 384', ' 1', ' 1', ' 33', ' 90']
['2', ' 432', ' 1', ' 1', ' 33', ' 0']
['2', ' 480', ' 1', ' 1', ' 33', ' 90']
['2', ' 528', ' 1', ' 1', ' 33', ' 0']
['2', ' 576', ' 1', ' 1', ' 33', ' 90']
['2', ' 624', ' 1', ' 1', ' 33', ' 0']
['2', ' 672', ' 1', ' 1', ' 33', ' 90']
['2', ' 720', ' 1', ' 1', ' 33', ' 0']
['2', ' 768', ' 1', ' 1', ' 33', ' 90']
['2', ' 816', ' 1', ' 1', ' 33', ' 0']
['2', ' 864', ' 1', ' 1', ' 33', ' 90']
['2', ' 912', ' 1', ' 1', ' 33', ' 0']
['2', ' 960', ' 1', ' 1', ' 33', ' 90']
['2', ' 1008', ' 1', ' 1', ' 33', ' 0']
['2', ' 1056', ' 1', ' 1', ' 33', ' 90']
['2', ' 1104', ' 1', ' 1', ' 33', ' 0']
['2', ' 1152', ' 1', ' 1', ' 33', ' 90']
['2', ' 1200', ' 1', ' 1', ' 33', ' 0']
['2', ' 1248', ' 1', ' 1', ' 33', ' 90']
['2', ' 1296', ' 1', ' 1', ' 33', ' 0']
['2', ' 1344', ' 1', ' 1', ' 33', ' 90']
['2', ' 1392', ' 1', ' 1', ' 33', ' 0']
['2', ' 1440', ' 1', ' 1', ' 33', ' 90']
['2', ' 1488', ' 1', ' 1', ' 33', ' 0']
['2', ' 1536', ' 1', ' 1', ' 36', ' 90']
['2', ' 1584', ' 1', ' 1', ' 36', ' 0']
['2', ' 1632', ' 1', ' 1', ' 36', ' 90']
['2', ' 1680', ' 1', ' 1', ' 36', ' 0']
['2', ' 1728', ' 1', ' 1', ' 36', ' 90']
['2', ' 1776', ' 1', ' 1', ' 36', ' 0']
['2', ' 1824', ' 1', ' 1', ' 36', ' 90']
['2', ' 1872', ' 1', ' 1', ' 36', ' 0']
['2', ' 1920', ' 1', ' 1', ' 36', ' 90']
['2', ' 1968', ' 1', ' 1', ' 36', ' 0']
['2', ' 2016', ' 1', ' 1', ' 36', ' 90']
['2', ' 2064', ' 1', ' 1', ' 36', ' 0']
['2', ' 2064', ' 1', ' 1', ' 36', ' 90']
['2', ' 2112', ' 1', ' 1', ' 36', ' 0']
['2', ' 2160', ' 1', ' 1', ' 36', ' 90']
