['1', ' 80', ' 2', ' 0', ' 121', ' 0']
['1', ' 81', ' 2', ' 1', ' 121', ' 0']
['1', ' 82', ' 2', ' 2', ' 121', ' 0']
['1', ' 83', ' 2', ' 3', ' 121', ' 0']
['1', ' 84', ' 2', ' 4', ' 121', ' 0']
['1', ' 85', ' 2', ' 5', ' 121', ' 0']
['1', ' 86', ' 2', ' 6', ' 121', ' 0']
['1', ' 89', ' 2', ' 9', ' 121', ' 0']
['1', ' 96', ' 2', ' 0', ' 0', ' 0']
['1', ' 97', ' 2', ' 0', ' 32', ' 0']
['1', ' 98', ' 3', ' 0', ' 2']
['1', ' 99', ' 2', ' 0', ' 7', ' 110']
['1', ' 99', ' 2', ' 0', ' 10', ' 34']
['1', ' 99', ' 2', ' 0', ' 11', ' 90']
['1', ' 100', ' 2', ' 0', ' 91', ' 127']
['1', ' 100', ' 2', ' 0', ' 93', ' 0']
['1', ' 101', ' 2', ' 1', ' 0', ' 0']
['1', ' 102', ' 2', ' 1', ' 32', ' 0']
['1', ' 103', ' 3', ' 1', ' 33']
['1', ' 104', ' 2', ' 1', ' 7', ' 110']
['1', ' 104', ' 2', ' 1', ' 10', ' 64']
['1', ' 104', ' 2', ' 1', ' 11', ' 110']
['1', ' 105', ' 2', ' 1', ' 91', ' 0']
['1', ' 105', ' 2', ' 1', ' 93', ' 60']
['1', ' 106', ' 2', ' 2', ' 0', ' 0']
['1', ' 107', ' 2', ' 2', ' 32', ' 0']
['1', ' 108', ' 3', ' 2', ' 29']
['1', ' 109', ' 2', ' 2', ' 7', ' 110']
['1', ' 109', ' 2', ' 2', ' 10', ' 64']
['1', ' 109', ' 2', ' 2', ' 11', ' 80']
['1', ' 110', ' 2', ' 2', ' 91', ' 127']
['1', ' 110', ' 2', ' 2', ' 93', ' 127']
['1', ' 111', ' 2', ' 3', ' 0', ' 0']
['1', ' 112', ' 2', ' 3', ' 32', ' 0']
['1', ' 113', ' 3', ' 3', ' 83']
['1', ' 114', ' 2', ' 3', ' 7', ' 110']
['1', ' 114', ' 2', ' 3', ' 10', ' 64']
['1', ' 114', ' 2', ' 3', ' 11', ' 105']
['1', ' 115', ' 2', ' 3', ' 91', ' 127']
['1', ' 115', ' 2', ' 3', ' 93', ' 70']
['1', ' 116', ' 2', ' 4', ' 0', ' 0']
['1', ' 117', ' 2', ' 4', ' 32', ' 0']
['1', ' 118', ' 3', ' 4', ' 27']
['1', ' 119', ' 2', ' 4', ' 7', ' 110']
['1', ' 119', ' 2', ' 4', ' 10', ' 94']
['1', ' 119', ' 2', ' 4', ' 11', ' 100']
['1', ' 120', ' 2', ' 4', ' 91', ' 127']
['1', ' 120', ' 2', ' 4', ' 93', ' 100']
['1', ' 121', ' 2', ' 5', ' 0', ' 0']
['1', ' 122', ' 2', ' 5', ' 32', ' 0']
['1', ' 123', ' 3', ' 5', ' 61']
['1', ' 124', ' 2', ' 5', ' 7', ' 110']
['1', ' 124', ' 2', ' 5', ' 10', ' 64']
['1', ' 124', ' 2', ' 5', ' 11', ' 110']
['1', ' 125', ' 2', ' 5', ' 91', ' 127']
['1', ' 125', ' 2', ' 5', ' 93', ' 60']
['1', ' 126', ' 2', ' 6', ' 0', ' 0']
['1', ' 127', ' 2', ' 6', ' 32', ' 0']
['1', ' 128', ' 3', ' 6', ' 27']
['1', ' 129', ' 2', ' 6', ' 7', ' 110']
['1', ' 129', ' 2', ' 6', ' 10', ' 0']
['1', ' 129', ' 2', ' 6', ' 11', ' 127']
['1', ' 130', ' 2', ' 6', ' 91', ' 0']
['1', ' 130', ' 2', ' 6', ' 93', ' 0']
['1', ' 141', ' 2', ' 9', ' 0', ' 0']
['1', ' 142', ' 2', ' 9', ' 32', ' 0']
['1', ' 143', ' 3', ' 9', ' 0']
['1', ' 144', ' 2', ' 9', ' 7', ' 110']
['1', ' 144', ' 2', ' 9', ' 10', ' 64']
['1', ' 144', ' 2', ' 9', ' 11', ' 110']
['1', ' 145', ' 2', ' 9', ' 91', ' 127']
['1', ' 145', ' 2', ' 9', ' 93', ' 70']
['1', ' 816', ' 1', ' 2', ' 50', ' 99']
['1', ' 816', ' 1', ' 2', ' 57', ' 99']
['1', ' 816', ' 1', ' 2', ' 62', ' 99']
['1', ' 816', ' 1', ' 2', ' 66', ' 97']
['1', ' 857', ' 1', ' 2', ' 57', ' 0']
['1', ' 858', ' 1', ' 2', ' 66', ' 0']
['1', ' 860', ' 1', ' 2', ' 62', ' 0']
['1', ' 860', ' 1', ' 2', ' 50', ' 0']
['1', ' 864', ' 1', ' 2', ' 50', ' 99']
['1', ' 864', ' 1', ' 2', ' 57', ' 98']
['1', ' 864', ' 1', ' 2', ' 62', ' 99']
['1', ' 864', ' 1', ' 2', ' 66', ' 98']
['1', ' 897', ' 1', ' 2', ' 50', ' 0']
['1', ' 898', ' 1', ' 2', ' 57', ' 0']
['1', ' 900', ' 1', ' 2', ' 66', ' 0']
['1', ' 902', ' 1', ' 2', ' 62', ' 0']
['1', ' 912', ' 1', ' 2', ' 50', ' 99']
['1', ' 912', ' 1', ' 2', ' 57', ' 99']
['1', ' 912', ' 1', ' 2', ' 62', ' 99']
['1', ' 912', ' 1', ' 2', ' 66', ' 99']
['1', ' 946', ' 1', ' 2', ' 57', ' 0']
['1', ' 951', ' 1', ' 2', ' 66', ' 0']
['1', ' 951', ' 1', ' 2', ' 62', ' 0']
['1', ' 954', ' 1', ' 2', ' 50', ' 0']
['1', ' 960', ' 1', ' 2', ' 55', ' 99']
['1', ' 960', ' 1', ' 2', ' 59', ' 99']
['1', ' 960', ' 1', ' 2', ' 62', ' 98']
['1', ' 960', ' 1', ' 2', ' 67', ' 98']
['1', ' 991', ' 1', ' 2', ' 59', ' 0']
['1', ' 994', ' 1', ' 2', ' 62', ' 0']
['1', ' 997', ' 1', ' 2', ' 55', ' 0']
['1', ' 1000', ' 1', ' 2', ' 67', ' 0']
['1', ' 1008', ' 1', ' 2', ' 55', ' 99']
['1', ' 1008', ' 1', ' 2', ' 59', ' 96']
['1', ' 1008', ' 1', ' 2', ' 62', ' 98']
['1', ' 1008', ' 1', ' 2', ' 67', ' 94']
['1', ' 1046', ' 1', ' 2', ' 62', ' 0']
['1', ' 1047', ' 1', ' 2', ' 55', ' 0']
['1', ' 1047', ' 1', ' 2', ' 59', ' 0']
['1', ' 1048', ' 1', ' 2', ' 67', ' 0']
['1', ' 1056', ' 1', ' 2', ' 55', ' 97']
['1', ' 1056', ' 1', ' 2', ' 59', ' 96']
['1', ' 1056', ' 1', ' 2', ' 62', ' 97']
['1', ' 1056', ' 1', ' 2', ' 67', ' 97']
['1', ' 1082', ' 1', ' 2', ' 62', ' 0']
['1', ' 1085', ' 1', ' 2', ' 59', ' 0']
['1', ' 1090', ' 1', ' 2', ' 55', ' 0']
['1', ' 1090', ' 1', ' 2', ' 67', ' 0']
['1', ' 1104', ' 1', ' 2', ' 55', ' 98']
['1', ' 1104', ' 1', ' 2', ' 59', ' 99']
['1', ' 1104', ' 1', ' 2', ' 62', ' 99']
['1', ' 1104', ' 1', ' 2', ' 67', ' 99']
['1', ' 1135', ' 1', ' 2', ' 59', ' 0']
['1', ' 1146', ' 1', ' 2', ' 67', ' 0']
['1', ' 1146', ' 1', ' 2', ' 62', ' 0']
['1', ' 1152', ' 1', ' 2', ' 50', ' 99']
['1', ' 1152', ' 1', ' 2', ' 57', ' 99']
['1', ' 1152', ' 1', ' 2', ' 62', ' 97']
['1', ' 1152', ' 1', ' 2', ' 66', ' 97']
