['5', ' 0', ' 3', ' 1', ' 35']
['5', ' 0', ' 2', ' 1', ' 7', ' 125']
['5', ' 1536', ' 1', ' 1', ' 41', ' 127']
['5', ' 1780', ' 0', ' 1', ' 41', ' 64']
['5', ' 1824', ' 1', ' 1', ' 41', ' 127']
['5', ' 1888', ' 0', ' 1', ' 41', ' 64']
['5', ' 1920', ' 1', ' 1', ' 39', ' 127']
['5', ' 2112', ' 0', ' 1', ' 39', ' 64']
['5', ' 2112', ' 1', ' 1', ' 38', ' 127']
['5', ' 2304', ' 0', ' 1', ' 38', ' 64']
['5', ' 2304', ' 1', ' 1', ' 36', ' 127']
['5', ' 2560', ' 0', ' 1', ' 36', ' 64']
['5', ' 2592', ' 1', ' 1', ' 36', ' 127']
['5', ' 2689', ' 0', ' 1', ' 36', ' 64']
['5', ' 2689', ' 1', ' 1', ' 43', ' 127']
['5', ' 2934', ' 0', ' 1', ' 43', ' 64']
['5', ' 2976', ' 1', ' 1', ' 43', ' 127']
['5', ' 3072', ' 0', ' 1', ' 43', ' 64']
['5', ' 3072', ' 1', ' 1', ' 36', ' 127']
['5', ' 3328', ' 0', ' 1', ' 36', ' 64']
['5', ' 3360', ' 1', ' 1', ' 36', ' 127']
['5', ' 3457', ' 0', ' 1', ' 36', ' 64']
['5', ' 3457', ' 1', ' 1', ' 43', ' 127']
['5', ' 3702', ' 0', ' 1', ' 43', ' 64']
['5', ' 3744', ' 1', ' 1', ' 43', ' 127']
['5', ' 3840', ' 0', ' 1', ' 43', ' 64']
['5', ' 3840', ' 1', ' 1', ' 36', ' 127']
['5', ' 4094', ' 0', ' 1', ' 36', ' 64']
['5', ' 4128', ' 1', ' 1', ' 36', ' 127']
['5', ' 4224', ' 0', ' 1', ' 36', ' 64']
['5', ' 4224', ' 1', ' 1', ' 43', ' 127']
['5', ' 4484', ' 0', ' 1', ' 43', ' 64']
['5', ' 4512', ' 1', ' 1', ' 43', ' 127']
['5', ' 4579', ' 0', ' 1', ' 43', ' 64']
['5', ' 4608', ' 1', ' 1', ' 41', ' 127']
['5', ' 4859', ' 0', ' 1', ' 41', ' 64']
['5', ' 4896', ' 1', ' 1', ' 41', ' 127']
['5', ' 4971', ' 0', ' 1', ' 41', ' 64']
['5', ' 4992', ' 1', ' 1', ' 41', ' 127']
['5', ' 5166', ' 0', ' 1', ' 41', ' 64']
['5', ' 5184', ' 1', ' 1', ' 40', ' 127']
['5', ' 5358', ' 0', ' 1', ' 40', ' 64']
['5', ' 5376', ' 1', ' 1', ' 38', ' 127']
['5', ' 5617', ' 0', ' 1', ' 38', ' 64']
['5', ' 5664', ' 1', ' 1', ' 38', ' 127']
['5', ' 5726', ' 0', ' 1', ' 38', ' 64']
['5', ' 5760', ' 1', ' 1', ' 33', ' 127']
['5', ' 5947', ' 0', ' 1', ' 33', ' 64']
['5', ' 5952', ' 1', ' 1', ' 38', ' 127']
['5', ' 6083', ' 0', ' 1', ' 38', ' 64']
['5', ' 6144', ' 1', ' 1', ' 43', ' 127']
['5', ' 6318', ' 0', ' 1', ' 43', ' 64']
['5', ' 6336', ' 1', ' 1', ' 33', ' 127']
