['2', ' 480', ' 1', ' 1', ' 31', ' 106']
['2', ' 480', ' 2', ' 0', ' 0', ' 0']
['2', ' 480', ' 2', ' 0', ' 32', ' 3']
['2', ' 480', ' 2', ' 0', ' 0', ' 0']
['2', ' 480', ' 2', ' 0', ' 32', ' 3']
['2', ' 480', ' 2', ' 0', ' 0', ' 0']
['2', ' 480', ' 2', ' 0', ' 32', ' 3']
['2', ' 480', ' 2', ' 0', ' 0', ' 0']
['2', ' 480', ' 2', ' 0', ' 32', ' 3']
['2', ' 480', ' 2', ' 0', ' 0', ' 0']
['2', ' 480', ' 2', ' 0', ' 32', ' 3']
['2', ' 480', ' 3', ' 0', ' 25']
['2', ' 480', ' 1', ' 0', ' 62', ' 72']
['2', ' 480', ' 1', ' 0', ' 67', ' 69']
['2', ' 480', ' 1', ' 0', ' 71', ' 72']
['2', ' 480', ' 1', ' 0', ' 74', ' 72']
['2', ' 480', ' 2', ' 4', ' 0', ' 9']
['2', ' 480', ' 2', ' 4', ' 32', ' 2']
['2', ' 480', ' 2', ' 4', ' 0', ' 9']
['2', ' 480', ' 2', ' 4', ' 32', ' 2']
['2', ' 480', ' 2', ' 4', ' 0', ' 9']
['2', ' 480', ' 2', ' 4', ' 32', ' 2']
['2', ' 480', ' 2', ' 4', ' 0', ' 9']
['2', ' 480', ' 2', ' 4', ' 32', ' 2']
['2', ' 480', ' 2', ' 4', ' 0', ' 9']
['2', ' 480', ' 2', ' 4', ' 32', ' 2']
['2', ' 480', ' 3', ' 4', ' 27']
['2', ' 480', ' 1', ' 4', ' 55', ' 86']
['2', ' 480', ' 2', ' 6', ' 0', ' 32']
['2', ' 480', ' 2', ' 6', ' 32', ' 1']
['2', ' 480', ' 2', ' 6', ' 0', ' 32']
['2', ' 480', ' 2', ' 6', ' 32', ' 1']
['2', ' 480', ' 2', ' 6', ' 0', ' 32']
['2', ' 480', ' 2', ' 6', ' 32', ' 1']
['2', ' 480', ' 2', ' 6', ' 0', ' 32']
['2', ' 480', ' 2', ' 6', ' 32', ' 1']
['2', ' 480', ' 2', ' 6', ' 0', ' 32']
['2', ' 480', ' 2', ' 6', ' 32', ' 1']
['2', ' 480', ' 3', ' 6', ' 52']
['2', ' 480', ' 1', ' 6', ' 62', ' 59']
['2', ' 480', ' 1', ' 6', ' 67', ' 55']
['2', ' 480', ' 1', ' 6', ' 71', ' 51']
['2', ' 480', ' 1', ' 9', ' 36', ' 127']
['2', ' 480', ' 1', ' 9', ' 42', ' 127']
['2', ' 481', ' 1', ' 9', ' 42', ' 0']
['2', ' 481', ' 1', ' 9', ' 36', ' 0']
['2', ' 481', ' 1', ' 9', ' 54', ' 85']
['2', ' 481', ' 1', ' 9', ' 54', ' 0']
['2', ' 490', ' 1', ' 0', ' 67', ' 0']
['2', ' 490', ' 1', ' 0', ' 74', ' 0']
['2', ' 495', ' 1', ' 0', ' 62', ' 0']
['2', ' 506', ' 1', ' 0', ' 62', ' 69']
['2', ' 506', ' 1', ' 0', ' 67', ' 79']
['2', ' 506', ' 1', ' 0', ' 74', ' 79']
['2', ' 511', ' 1', ' 1', ' 31', ' 0']
['2', ' 511', ' 1', ' 9', ' 54', ' 75']
['2', ' 511', ' 1', ' 9', ' 54', ' 0']
['2', ' 525', ' 1', ' 0', ' 71', ' 0']
['2', ' 535', ' 1', ' 0', ' 74', ' 0']
['2', ' 535', ' 1', ' 0', ' 67', ' 0']
['2', ' 535', ' 1', ' 1', ' 31', ' 110']
['2', ' 535', ' 1', ' 0', ' 67', ' 82']
['2', ' 535', ' 1', ' 0', ' 71', ' 76']
['2', ' 536', ' 1', ' 0', ' 74', ' 79']
['2', ' 536', ' 1', ' 4', ' 67', ' 86']
['2', ' 540', ' 1', ' 9', ' 36', ' 86']
['2', ' 540', ' 1', ' 9', ' 53', ' 86']
['2', ' 540', ' 1', ' 9', ' 54', ' 72']
['2', ' 540', ' 1', ' 9', ' 42', ' 66']
['2', ' 541', ' 1', ' 9', ' 42', ' 0']
['2', ' 541', ' 1', ' 9', ' 54', ' 0']
['2', ' 541', ' 1', ' 9', ' 36', ' 0']
['2', ' 541', ' 1', ' 9', ' 53', ' 0']
['2', ' 541', ' 1', ' 9', ' 82', ' 53']
['2', ' 541', ' 1', ' 9', ' 82', ' 0']
['2', ' 550', ' 1', ' 4', ' 55', ' 0']
['2', ' 560', ' 1', ' 0', ' 62', ' 0']
['2', ' 561', ' 1', ' 0', ' 74', ' 0']
['2', ' 561', ' 1', ' 0', ' 67', ' 0']
['2', ' 566', ' 1', ' 0', ' 62', ' 72']
['2', ' 566', ' 1', ' 0', ' 67', ' 79']
['2', ' 566', ' 1', ' 0', ' 74', ' 79']
['2', ' 570', ' 1', ' 9', ' 54', ' 72']
['2', ' 570', ' 1', ' 9', ' 82', ' 75']
['2', ' 571', ' 1', ' 9', ' 82', ' 0']
['2', ' 571', ' 1', ' 9', ' 54', ' 0']
['2', ' 571', ' 1', ' 1', ' 31', ' 0']
['2', ' 590', ' 1', ' 0', ' 71', ' 0']
['2', ' 595', ' 1', ' 0', ' 62', ' 0']
['2', ' 596', ' 1', ' 0', ' 74', ' 0']
['2', ' 596', ' 1', ' 1', ' 31', ' 106']
['2', ' 596', ' 1', ' 0', ' 62', ' 82']
['2', ' 596', ' 1', ' 0', ' 71', ' 96']
['2', ' 596', ' 1', ' 0', ' 74', ' 96']
['2', ' 596', ' 1', ' 4', ' 62', ' 76']
['2', ' 600', ' 1', ' 9', ' 38', ' 114']
['2', ' 600', ' 1', ' 9', ' 38', ' 0']
['2', ' 600', ' 1', ' 9', ' 42', ' 123']
['2', ' 600', ' 1', ' 9', ' 42', ' 0']
['2', ' 600', ' 1', ' 9', ' 123', ' 99']
['2', ' 600', ' 1', ' 9', ' 123', ' 0']
['2', ' 600', ' 1', ' 9', ' 54', ' 85']
['2', ' 600', ' 1', ' 9', ' 54', ' 0']
['2', ' 626', ' 1', ' 4', ' 69', ' 90']
['2', ' 630', ' 1', ' 9', ' 54', ' 69']
['2', ' 631', ' 1', ' 9', ' 54', ' 0']
['2', ' 645', ' 1', ' 4', ' 62', ' 0']
['2', ' 650', ' 1', ' 0', ' 74', ' 0']
['2', ' 655', ' 1', ' 0', ' 62', ' 0']
['2', ' 655', ' 1', ' 0', ' 71', ' 0']
['2', ' 655', ' 1', ' 0', ' 67', ' 0']
['2', ' 660', ' 1', ' 9', ' 53', ' 82']
['2', ' 660', ' 1', ' 9', ' 42', ' 51']
['2', ' 661', ' 1', ' 9', ' 42', ' 0']
['2', ' 661', ' 1', ' 9', ' 53', ' 0']
['2', ' 661', ' 1', ' 1', ' 31', ' 0']
['2', ' 661', ' 1', ' 9', ' 54', ' 58']
['2', ' 661', ' 1', ' 9', ' 54', ' 0']
['2', ' 661', ' 1', ' 9', ' 82', ' 58']
['2', ' 661', ' 1', ' 9', ' 82', ' 0']
['2', ' 675', ' 1', ' 4', ' 69', ' 0']
['2', ' 680', ' 1', ' 4', ' 67', ' 0']
['2', ' 685', ' 1', ' 1', ' 31', ' 110']
['2', ' 685', ' 1', ' 0', ' 62', ' 76']
['2', ' 685', ' 1', ' 0', ' 67', ' 79']
['2', ' 686', ' 1', ' 0', ' 71', ' 74']
['2', ' 686', ' 1', ' 0', ' 74', ' 89']
['2', ' 686', ' 1', ' 4', ' 55', ' 90']
['2', ' 691', ' 1', ' 9', ' 36', ' 114']
['2', ' 691', ' 1', ' 9', ' 36', ' 0']
['2', ' 691', ' 1', ' 9', ' 54', ' 53']
['2', ' 691', ' 1', ' 9', ' 54', ' 0']
['2', ' 691', ' 1', ' 9', ' 82', ' 56']
['2', ' 691', ' 1', ' 9', ' 82', ' 0']
['2', ' 705', ' 1', ' 0', ' 67', ' 0']
['2', ' 711', ' 1', ' 0', ' 71', ' 0']
['2', ' 711', ' 1', ' 0', ' 62', ' 0']
['2', ' 715', ' 1', ' 1', ' 31', ' 0']
['2', ' 715', ' 1', ' 0', ' 74', ' 0']
['2', ' 715', ' 1', ' 4', ' 67', ' 76']
['2', ' 720', ' 1', ' 9', ' 42', ' 123']
['2', ' 721', ' 1', ' 9', ' 42', ' 0']
['2', ' 721', ' 1', ' 9', ' 54', ' 75']
['2', ' 721', ' 1', ' 9', ' 54', ' 0']
['2', ' 745', ' 1', ' 1', ' 31', ' 79']
['2', ' 745', ' 1', ' 0', ' 62', ' 62']
['2', ' 746', ' 1', ' 0', ' 67', ' 59']
['2', ' 746', ' 1', ' 0', ' 71', ' 64']
['2', ' 746', ' 1', ' 0', ' 74', ' 82']
['2', ' 746', ' 1', ' 4', ' 62', ' 51']
['2', ' 750', ' 1', ' 9', ' 36', ' 45']
['2', ' 750', ' 1', ' 9', ' 54', ' 58']
['2', ' 751', ' 1', ' 9', ' 54', ' 0']
['2', ' 751', ' 1', ' 9', ' 36', ' 0']
['2', ' 760', ' 1', ' 1', ' 31', ' 0']
['2', ' 776', ' 1', ' 0', ' 71', ' 0']
['2', ' 776', ' 1', ' 0', ' 67', ' 0']
['2', ' 776', ' 1', ' 0', ' 62', ' 0']
['2', ' 776', ' 1', ' 1', ' 31', ' 110']
['2', ' 776', ' 1', ' 0', ' 62', ' 74']
['2', ' 776', ' 1', ' 0', ' 67', ' 76']
['2', ' 776', ' 1', ' 0', ' 71', ' 76']
['2', ' 780', ' 1', ' 9', ' 36', ' 123']
['2', ' 780', ' 1', ' 9', ' 36', ' 0']
['2', ' 780', ' 1', ' 9', ' 53', ' 86']
['2', ' 780', ' 1', ' 9', ' 53', ' 0']
['2', ' 780', ' 1', ' 9', ' 42', ' 49']
['2', ' 780', ' 1', ' 9', ' 42', ' 0']
['2', ' 780', ' 1', ' 9', ' 54', ' 51']
['2', ' 780', ' 1', ' 9', ' 54', ' 0']
['2', ' 780', ' 1', ' 9', ' 82', ' 63']
['2', ' 780', ' 1', ' 9', ' 82', ' 0']
['2', ' 800', ' 1', ' 0', ' 62', ' 0']
['2', ' 801', ' 1', ' 0', ' 67', ' 0']
['2', ' 805', ' 1', ' 0', ' 74', ' 0']
['2', ' 805', ' 1', ' 0', ' 62', ' 79']
['2', ' 806', ' 1', ' 0', ' 67', ' 82']
['2', ' 806', ' 1', ' 0', ' 74', ' 79']
['2', ' 806', ' 1', ' 4', ' 69', ' 82']
['2', ' 810', ' 1', ' 1', ' 31', ' 0']
['2', ' 810', ' 1', ' 9', ' 54', ' 56']
['2', ' 810', ' 1', ' 9', ' 82', ' 51']
['2', ' 811', ' 1', ' 9', ' 82', ' 0']
['2', ' 811', ' 1', ' 9', ' 54', ' 0']
['2', ' 815', ' 1', ' 4', ' 62', ' 0']
['2', ' 830', ' 1', ' 0', ' 71', ' 0']
['2', ' 836', ' 1', ' 0', ' 74', ' 0']
['2', ' 836', ' 1', ' 0', ' 62', ' 0']
['2', ' 836', ' 1', ' 0', ' 67', ' 0']
['2', ' 836', ' 1', ' 1', ' 31', ' 110']
['2', ' 836', ' 1', ' 0', ' 62', ' 91']
['2', ' 836', ' 1', ' 0', ' 67', ' 91']
['2', ' 836', ' 1', ' 0', ' 71', ' 86']
['2', ' 836', ' 1', ' 0', ' 74', ' 82']
['2', ' 841', ' 1', ' 9', ' 38', ' 114']
['2', ' 841', ' 1', ' 9', ' 38', ' 0']
['2', ' 841', ' 1', ' 9', ' 42', ' 123']
['2', ' 841', ' 1', ' 9', ' 42', ' 0']
['2', ' 841', ' 1', ' 9', ' 123', ' 91']
['2', ' 841', ' 1', ' 9', ' 123', ' 0']
['2', ' 841', ' 1', ' 9', ' 54', ' 85']
['2', ' 841', ' 1', ' 9', ' 54', ' 0']
['2', ' 865', ' 1', ' 4', ' 62', ' 64']
