['2', ' 0', ' 3', ' 0', ' 35']
['2', ' 0', ' 2', ' 0', ' 7', ' 64']
['2', ' 0', ' 2', ' 0', ' 10', ' 125']
['2', ' 0', ' 2', ' 0', ' 93', ' 2']
['2', ' 6', ' 2', ' 0', ' 91', ' 2']
['2', ' 3033', ' 2', ' 0', ' 7', ' 64']
['2', ' 3072', ' 1', ' 0', ' 53', ' 98']
['2', ' 3072', ' 1', ' 0', ' 50', ' 98']
['2', ' 3089', ' 2', ' 0', ' 7', ' 63']
['2', ' 3146', ' 2', ' 0', ' 7', ' 62']
['2', ' 3202', ' 2', ' 0', ' 7', ' 61']
['2', ' 3258', ' 2', ' 0', ' 7', ' 60']
['2', ' 3314', ' 2', ' 0', ' 7', ' 59']
['2', ' 3370', ' 2', ' 0', ' 7', ' 58']
['2', ' 3427', ' 2', ' 0', ' 7', ' 57']
['2', ' 3483', ' 2', ' 0', ' 7', ' 56']
['2', ' 3539', ' 2', ' 0', ' 7', ' 55']
['2', ' 3595', ' 2', ' 0', ' 7', ' 54']
['2', ' 3652', ' 2', ' 0', ' 7', ' 53']
['2', ' 3708', ' 2', ' 0', ' 7', ' 52']
['2', ' 3764', ' 2', ' 0', ' 7', ' 51']
['2', ' 3820', ' 2', ' 0', ' 7', ' 50']
['2', ' 3876', ' 2', ' 0', ' 7', ' 49']
['2', ' 3933', ' 2', ' 0', ' 7', ' 48']
['2', ' 3989', ' 2', ' 0', ' 7', ' 47']
['2', ' 4045', ' 2', ' 0', ' 7', ' 46']
['2', ' 4101', ' 2', ' 0', ' 7', ' 45']
['2', ' 4158', ' 2', ' 0', ' 7', ' 44']
['2', ' 4214', ' 2', ' 0', ' 7', ' 43']
['2', ' 4270', ' 2', ' 0', ' 7', ' 42']
['2', ' 4326', ' 2', ' 0', ' 7', ' 41']
['2', ' 4382', ' 2', ' 0', ' 7', ' 40']
['2', ' 4439', ' 2', ' 0', ' 7', ' 39']
['2', ' 4495', ' 2', ' 0', ' 7', ' 38']
['2', ' 4551', ' 2', ' 0', ' 7', ' 37']
['2', ' 4607', ' 2', ' 0', ' 7', ' 36']
['2', ' 4608', ' 1', ' 0', ' 50', ' 0']
['2', ' 4608', ' 1', ' 0', ' 53', ' 0']
['2', ' 4608', ' 1', ' 0', ' 56', ' 100']
['2', ' 4608', ' 2', ' 0', ' 7', ' 36']
['2', ' 4658', ' 1', ' 0', ' 56', ' 0']
['2', ' 4704', ' 1', ' 0', ' 56', ' 100']
['2', ' 4753', ' 1', ' 0', ' 56', ' 0']
['2', ' 4799', ' 2', ' 0', ' 7', ' 36']
['2', ' 4800', ' 1', ' 0', ' 56', ' 100']
['2', ' 4812', ' 2', ' 0', ' 7', ' 58']
['2', ' 4849', ' 1', ' 0', ' 56', ' 0']
['2', ' 4896', ' 1', ' 0', ' 56', ' 100']
['2', ' 4944', ' 1', ' 0', ' 56', ' 0']
['2', ' 4992', ' 1', ' 0', ' 56', ' 100']
['2', ' 5039', ' 1', ' 0', ' 56', ' 0']
['2', ' 5088', ' 1', ' 0', ' 56', ' 100']
['2', ' 5119', ' 2', ' 0', ' 7', ' 58']
['2', ' 5134', ' 1', ' 0', ' 56', ' 0']
['2', ' 5184', ' 1', ' 0', ' 56', ' 100']
['2', ' 5230', ' 1', ' 0', ' 56', ' 0']
['2', ' 5280', ' 1', ' 0', ' 56', ' 100']
['2', ' 5324', ' 1', ' 0', ' 56', ' 0']
['2', ' 5376', ' 1', ' 0', ' 56', ' 100']
['2', ' 5420', ' 1', ' 0', ' 56', ' 0']
['2', ' 5472', ' 1', ' 0', ' 56', ' 100']
['2', ' 5515', ' 1', ' 0', ' 56', ' 0']
['2', ' 5568', ' 1', ' 0', ' 56', ' 100']
['2', ' 5610', ' 1', ' 0', ' 56', ' 0']
['2', ' 5664', ' 1', ' 0', ' 56', ' 100']
['2', ' 5705', ' 1', ' 0', ' 56', ' 0']
['2', ' 5760', ' 1', ' 0', ' 56', ' 100']
['2', ' 5800', ' 1', ' 0', ' 56', ' 0']
['2', ' 5856', ' 1', ' 0', ' 56', ' 100']
['2', ' 5896', ' 1', ' 0', ' 56', ' 0']
['2', ' 5952', ' 1', ' 0', ' 56', ' 100']
['2', ' 5991', ' 1', ' 0', ' 56', ' 0']
['2', ' 6048', ' 1', ' 0', ' 56', ' 100']
['2', ' 6086', ' 1', ' 0', ' 56', ' 0']
['2', ' 6144', ' 1', ' 0', ' 55', ' 100']
['2', ' 6181', ' 1', ' 0', ' 55', ' 0']
['2', ' 6240', ' 1', ' 0', ' 55', ' 100']
['2', ' 6277', ' 1', ' 0', ' 55', ' 0']
['2', ' 6336', ' 1', ' 0', ' 55', ' 100']
['2', ' 6372', ' 1', ' 0', ' 55', ' 0']
['2', ' 6432', ' 1', ' 0', ' 55', ' 100']
['2', ' 6467', ' 1', ' 0', ' 55', ' 0']
['2', ' 6528', ' 1', ' 0', ' 55', ' 100']
['2', ' 6562', ' 1', ' 0', ' 55', ' 0']
['2', ' 6624', ' 1', ' 0', ' 55', ' 100']
['2', ' 6658', ' 1', ' 0', ' 55', ' 0']
['2', ' 6720', ' 1', ' 0', ' 55', ' 100']
['2', ' 6752', ' 1', ' 0', ' 55', ' 0']
['2', ' 6816', ' 1', ' 0', ' 55', ' 100']
['2', ' 6848', ' 1', ' 0', ' 55', ' 0']
['2', ' 6912', ' 1', ' 0', ' 55', ' 100']
['2', ' 6943', ' 1', ' 0', ' 55', ' 0']
['2', ' 7008', ' 1', ' 0', ' 55', ' 100']
['2', ' 7038', ' 1', ' 0', ' 55', ' 0']
['2', ' 7104', ' 1', ' 0', ' 55', ' 100']
['2', ' 7133', ' 1', ' 0', ' 55', ' 0']
['2', ' 7200', ' 1', ' 0', ' 55', ' 100']
['2', ' 7228', ' 1', ' 0', ' 55', ' 0']
['2', ' 7296', ' 1', ' 0', ' 55', ' 100']
