['2', ' 0', ' 3', ' 0', ' 26']
['2', ' 0', ' 2', ' 0', ' 7', ' 97']
['2', ' 0', ' 2', ' 0', ' 10', ' 24']
['2', ' 0', ' 2', ' 0', ' 91', ' 127']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 1', ' 0', ' 50', ' 84']
['2', ' 3', ' 1', ' 0', ' 62', ' 84']
['2', ' 4', ' 2', ' 0', ' 1', ' 68']
['2', ' 6', ' 1', ' 0', ' 65', ' 84']
['2', ' 12', ' 1', ' 0', ' 69', ' 84']
['2', ' 48', ' 0', ' 0', ' 65', ' 0']
['2', ' 48', ' 1', ' 0', ' 65', ' 71']
['2', ' 72', ' 0', ' 0', ' 69', ' 0']
['2', ' 72', ' 0', ' 0', ' 65', ' 0']
['2', ' 72', ' 1', ' 0', ' 65', ' 79']
['2', ' 72', ' 1', ' 0', ' 69', ' 79']
['2', ' 120', ' 0', ' 0', ' 69', ' 0']
['2', ' 120', ' 1', ' 0', ' 69', ' 89']
['2', ' 144', ' 0', ' 0', ' 50', ' 0']
['2', ' 144', ' 0', ' 0', ' 65', ' 0']
['2', ' 144', ' 1', ' 0', ' 50', ' 127']
['2', ' 144', ' 1', ' 0', ' 65', ' 127']
['2', ' 168', ' 0', ' 0', ' 65', ' 0']
['2', ' 168', ' 1', ' 0', ' 64', ' 100']
['2', ' 180', ' 0', ' 0', ' 62', ' 0']
['2', ' 192', ' 0', ' 0', ' 64', ' 0']
['2', ' 192', ' 1', ' 0', ' 62', ' 100']
['2', ' 240', ' 0', ' 0', ' 62', ' 0']
['2', ' 240', ' 1', ' 0', ' 61', ' 100']
['2', ' 288', ' 0', ' 0', ' 69', ' 0']
['2', ' 288', ' 0', ' 0', ' 50', ' 0']
['2', ' 288', ' 0', ' 0', ' 61', ' 0']
['2', ' 288', ' 1', ' 0', ' 44', ' 100']
['2', ' 290', ' 1', ' 0', ' 63', ' 100']
['2', ' 292', ' 1', ' 0', ' 60', ' 100']
['2', ' 296', ' 1', ' 0', ' 68', ' 100']
['2', ' 336', ' 0', ' 0', ' 68', ' 0']
['2', ' 336', ' 1', ' 0', ' 68', ' 100']
['2', ' 360', ' 0', ' 0', ' 63', ' 0']
['2', ' 360', ' 1', ' 0', ' 63', ' 100']
['2', ' 408', ' 0', ' 0', ' 68', ' 0']
['2', ' 408', ' 1', ' 0', ' 68', ' 100']
['2', ' 432', ' 0', ' 0', ' 44', ' 0']
['2', ' 432', ' 0', ' 0', ' 60', ' 0']
['2', ' 432', ' 0', ' 0', ' 63', ' 0']
['2', ' 432', ' 0', ' 0', ' 68', ' 0']
['2', ' 432', ' 1', ' 0', ' 44', ' 127']
['2', ' 432', ' 1', ' 0', ' 61', ' 127']
['2', ' 432', ' 1', ' 0', ' 63', ' 127']
['2', ' 432', ' 1', ' 0', ' 68', ' 127']
['2', ' 456', ' 0', ' 0', ' 61', ' 0']
['2', ' 456', ' 1', ' 0', ' 60', ' 100']
['2', ' 480', ' 0', ' 0', ' 60', ' 0']
['2', ' 480', ' 1', ' 0', ' 56', ' 100']
['2', ' 528', ' 0', ' 0', ' 56', ' 0']
['2', ' 528', ' 1', ' 0', ' 55', ' 100']
['2', ' 576', ' 0', ' 0', ' 44', ' 0']
['2', ' 576', ' 0', ' 0', ' 63', ' 0']
['2', ' 576', ' 0', ' 0', ' 68', ' 0']
['2', ' 576', ' 0', ' 0', ' 55', ' 0']
['2', ' 576', ' 1', ' 0', ' 43', ' 100']
['2', ' 576', ' 1', ' 0', ' 54', ' 100']
['2', ' 576', ' 1', ' 0', ' 62', ' 100']
['2', ' 576', ' 1', ' 0', ' 66', ' 100']
['2', ' 600', ' 0', ' 0', ' 43', ' 0']
['2', ' 600', ' 1', ' 0', ' 45', ' 100']
['2', ' 648', ' 0', ' 0', ' 54', ' 0']
['2', ' 648', ' 1', ' 0', ' 54', ' 100']
['2', ' 696', ' 1', ' 0', ' 50', ' 100']
['2', ' 720', ' 0', ' 0', ' 62', ' 0']
['2', ' 720', ' 0', ' 0', ' 66', ' 0']
['2', ' 720', ' 0', ' 0', ' 45', ' 0']
['2', ' 720', ' 1', ' 0', ' 43', ' 100']
['2', ' 720', ' 1', ' 0', ' 62', ' 100']
['2', ' 720', ' 1', ' 0', ' 66', ' 100']
['2', ' 744', ' 0', ' 0', ' 43', ' 0']
['2', ' 744', ' 1', ' 0', ' 45', ' 100']
['2', ' 768', ' 0', ' 0', ' 50', ' 0']
['2', ' 792', ' 0', ' 0', ' 54', ' 0']
['2', ' 792', ' 1', ' 0', ' 54', ' 100']
['2', ' 840', ' 1', ' 0', ' 50', ' 100']
['2', ' 864', ' 0', ' 0', ' 62', ' 0']
['2', ' 864', ' 0', ' 0', ' 66', ' 0']
['2', ' 864', ' 0', ' 0', ' 45', ' 0']
['2', ' 864', ' 1', ' 0', ' 43', ' 100']
['2', ' 864', ' 1', ' 0', ' 62', ' 100']
['2', ' 864', ' 1', ' 0', ' 66', ' 100']
['2', ' 888', ' 0', ' 0', ' 43', ' 0']
['2', ' 888', ' 1', ' 0', ' 45', ' 100']
['2', ' 912', ' 0', ' 0', ' 50', ' 0']
['2', ' 936', ' 0', ' 0', ' 54', ' 0']
['2', ' 936', ' 1', ' 0', ' 54', ' 100']
['2', ' 984', ' 1', ' 0', ' 50', ' 100']
['2', ' 1008', ' 0', ' 0', ' 62', ' 0']
['2', ' 1008', ' 0', ' 0', ' 66', ' 0']
['2', ' 1008', ' 0', ' 0', ' 45', ' 0']
['2', ' 1008', ' 0', ' 0', ' 54', ' 0']
['2', ' 1008', ' 1', ' 0', ' 43', ' 100']
['2', ' 1008', ' 1', ' 0', ' 53', ' 100']
['2', ' 1008', ' 1', ' 0', ' 61', ' 100']
['2', ' 1008', ' 1', ' 0', ' 65', ' 100']
['2', ' 1032', ' 0', ' 0', ' 43', ' 0']
['2', ' 1032', ' 1', ' 0', ' 44', ' 100']
['2', ' 1056', ' 0', ' 0', ' 50', ' 0']
['2', ' 1080', ' 0', ' 0', ' 53', ' 0']
['2', ' 1080', ' 1', ' 0', ' 53', ' 100']
['2', ' 1128', ' 1', ' 0', ' 49', ' 100']
['2', ' 1152', ' 0', ' 0', ' 61', ' 0']
['2', ' 1152', ' 0', ' 0', ' 65', ' 0']
['2', ' 1152', ' 0', ' 0', ' 44', ' 0']
['2', ' 1152', ' 0', ' 0', ' 53', ' 0']
['2', ' 1152', ' 0', ' 0', ' 49', ' 0']
['2', ' 1152', ' 1', ' 0', ' 55', ' 100']
['2', ' 1152', ' 1', ' 0', ' 59', ' 100']
['2', ' 1152', ' 1', ' 0', ' 62', ' 100']
['2', ' 1152', ' 1', ' 0', ' 65', ' 100']
['2', ' 1152', ' 1', ' 0', ' 71', ' 100']
['2', ' 1152', ' 1', ' 0', ' 74', ' 100']
['2', ' 1155', ' 2', ' 0', ' 10', ' 2']
['2', ' 1197', ' 2', ' 0', ' 10', ' 29']
['2', ' 1224', ' 0', ' 0', ' 74', ' 0']
['2', ' 1224', ' 1', ' 0', ' 74', ' 100']
['2', ' 1253', ' 2', ' 0', ' 10', ' 52']
['2', ' 1272', ' 1', ' 0', ' 77', ' 100']
['2', ' 1296', ' 1', ' 0', ' 83', ' 100']
['2', ' 1297', ' 2', ' 0', ' 10', ' 79']
['2', ' 1339', ' 2', ' 0', ' 10', ' 103']
['2', ' 1340', ' 2', ' 0', ' 10', ' 103']
['2', ' 1372', ' 2', ' 0', ' 10', ' 113']
['2', ' 1373', ' 2', ' 0', ' 10', ' 113']
['2', ' 1416', ' 2', ' 0', ' 10', ' 127']
['2', ' 1440', ' 0', ' 0', ' 55', ' 0']
['2', ' 1440', ' 0', ' 0', ' 62', ' 0']
['2', ' 1440', ' 0', ' 0', ' 65', ' 0']
['2', ' 1440', ' 0', ' 0', ' 71', ' 0']
['2', ' 1440', ' 0', ' 0', ' 74', ' 0']
['2', ' 1440', ' 1', ' 0', ' 55', ' 100']
['2', ' 1440', ' 1', ' 0', ' 62', ' 100']
['2', ' 1440', ' 1', ' 0', ' 64', ' 100']
['2', ' 1440', ' 1', ' 0', ' 71', ' 100']
['2', ' 1440', ' 1', ' 0', ' 74', ' 100']
['2', ' 1491', ' 2', ' 0', ' 10', ' 89']
['2', ' 1492', ' 2', ' 0', ' 10', ' 89']
['2', ' 1512', ' 1', ' 0', ' 74', ' 100']
['2', ' 1513', ' 2', ' 0', ' 10', ' 47']
['2', ' 1551', ' 2', ' 0', ' 10', ' 18']
['2', ' 1560', ' 1', ' 0', ' 76', ' 100']
['2', ' 1584', ' 0', ' 0', ' 77', ' 0']
['2', ' 1584', ' 0', ' 0', ' 83', ' 0']
['2', ' 1584', ' 1', ' 0', ' 83', ' 100']
['2', ' 1699', ' 2', ' 0', ' 10', ' 2']
['2', ' 1728', ' 0', ' 0', ' 59', ' 0']
['2', ' 1728', ' 0', ' 0', ' 55', ' 0']
['2', ' 1728', ' 0', ' 0', ' 62', ' 0']
['2', ' 1728', ' 0', ' 0', ' 64', ' 0']
['2', ' 1728', ' 0', ' 0', ' 71', ' 0']
['2', ' 1728', ' 0', ' 0', ' 74', ' 0']
['2', ' 1728', ' 0', ' 0', ' 74', ' 0']
['2', ' 1728', ' 0', ' 0', ' 76', ' 0']
['2', ' 1728', ' 0', ' 0', ' 83', ' 0']
['2', ' 1728', ' 1', ' 0', ' 55', ' 100']
['2', ' 1728', ' 1', ' 0', ' 63', ' 100']
['2', ' 1728', ' 1', ' 0', ' 67', ' 100']
['2', ' 1728', ' 1', ' 0', ' 71', ' 100']
['2', ' 2016', ' 0', ' 0', ' 55', ' 0']
['2', ' 2016', ' 0', ' 0', ' 63', ' 0']
['2', ' 2016', ' 0', ' 0', ' 67', ' 0']
['2', ' 2016', ' 0', ' 0', ' 71', ' 0']
['2', ' 2016', ' 1', ' 0', ' 55', ' 100']
