['2', ' 60', ' 2', ' 0', ' 121', ' 0']
['2', ' 60', ' 2', ' 0', ' 123', ' 0']
['2', ' 60', ' 2', ' 0', ' 100', ' 0']
['2', ' 60', ' 2', ' 0', ' 38', ' 0']
['2', ' 60', ' 2', ' 0', ' 101', ' 0']
['2', ' 60', ' 2', ' 0', ' 6', ' 12']
['2', ' 120', ' 3', ' 0', ' 29']
['2', ' 120', ' 2', ' 0', ' 7', ' 104']
['2', ' 120', ' 2', ' 0', ' 10', ' 24']
['2', ' 1920', ' 1', ' 0', ' 60', ' 88']
['2', ' 4790', ' 0', ' 0', ' 60', ' 80']
['2', ' 4800', ' 1', ' 0', ' 60', ' 88']
['2', ' 5270', ' 0', ' 0', ' 60', ' 80']
['2', ' 5280', ' 1', ' 0', ' 58', ' 88']
['2', ' 5510', ' 0', ' 0', ' 58', ' 80']
['2', ' 5520', ' 1', ' 0', ' 58', ' 88']
['2', ' 5990', ' 0', ' 0', ' 58', ' 80']
['2', ' 6000', ' 1', ' 0', ' 60', ' 88']
['2', ' 6230', ' 0', ' 0', ' 60', ' 80']
['2', ' 6240', ' 1', ' 0', ' 56', ' 88']
['2', ' 7910', ' 0', ' 0', ' 56', ' 80']
['2', ' 7920', ' 1', ' 0', ' 58', ' 88']
['2', ' 8030', ' 0', ' 0', ' 58', ' 80']
['2', ' 8040', ' 1', ' 0', ' 56', ' 88']
['2', ' 8150', ' 0', ' 0', ' 56', ' 80']
['2', ' 8160', ' 1', ' 0', ' 58', ' 88']
['2', ' 8270', ' 0', ' 0', ' 58', ' 80']
['2', ' 8280', ' 1', ' 0', ' 56', ' 88']
['2', ' 8390', ' 0', ' 0', ' 56', ' 80']
['2', ' 8400', ' 1', ' 0', ' 58', ' 88']
['2', ' 8510', ' 0', ' 0', ' 58', ' 80']
['2', ' 8520', ' 1', ' 0', ' 56', ' 88']
['2', ' 8630', ' 0', ' 0', ' 56', ' 80']
['2', ' 8640', ' 1', ' 0', ' 58', ' 88']
['2', ' 8750', ' 0', ' 0', ' 58', ' 80']
['2', ' 8760', ' 1', ' 0', ' 56', ' 88']
['2', ' 8870', ' 0', ' 0', ' 56', ' 80']
['2', ' 8880', ' 1', ' 0', ' 58', ' 88']
['2', ' 8990', ' 0', ' 0', ' 58', ' 80']
['2', ' 9000', ' 1', ' 0', ' 56', ' 88']
['2', ' 9110', ' 0', ' 0', ' 56', ' 80']
['2', ' 9120', ' 1', ' 0', ' 58', ' 88']
['2', ' 9230', ' 0', ' 0', ' 58', ' 80']
['2', ' 9240', ' 1', ' 0', ' 56', ' 88']
['2', ' 9350', ' 0', ' 0', ' 56', ' 80']
['2', ' 9360', ' 1', ' 0', ' 58', ' 88']
['2', ' 9470', ' 0', ' 0', ' 58', ' 80']
['2', ' 9480', ' 1', ' 0', ' 56', ' 88']
['2', ' 9590', ' 0', ' 0', ' 56', ' 80']
['2', ' 9600', ' 1', ' 0', ' 60', ' 88']
['2', ' 12470', ' 0', ' 0', ' 60', ' 80']
['2', ' 12480', ' 1', ' 0', ' 60', ' 88']
['2', ' 12950', ' 0', ' 0', ' 60', ' 80']
['2', ' 12960', ' 1', ' 0', ' 58', ' 88']
['2', ' 13190', ' 0', ' 0', ' 58', ' 80']
['2', ' 13200', ' 1', ' 0', ' 60', ' 88']
['2', ' 17270', ' 0', ' 0', ' 60', ' 80']
['2', ' 17280', ' 1', ' 0', ' 60', ' 88']
['2', ' 20150', ' 0', ' 0', ' 60', ' 80']
['2', ' 20160', ' 1', ' 0', ' 60', ' 88']
['2', ' 20630', ' 0', ' 0', ' 60', ' 80']
['2', ' 20640', ' 1', ' 0', ' 58', ' 88']
['2', ' 20870', ' 0', ' 0', ' 58', ' 80']
['2', ' 20880', ' 1', ' 0', ' 58', ' 88']
['2', ' 21350', ' 0', ' 0', ' 58', ' 80']
['2', ' 21360', ' 1', ' 0', ' 60', ' 88']
['2', ' 21590', ' 0', ' 0', ' 60', ' 80']
['2', ' 21600', ' 1', ' 0', ' 56', ' 88']
['2', ' 24950', ' 0', ' 0', ' 56', ' 80']
['2', ' 24960', ' 1', ' 0', ' 60', ' 88']
['2', ' 27830', ' 0', ' 0', ' 60', ' 80']
['2', ' 27840', ' 1', ' 0', ' 60', ' 88']
['2', ' 28310', ' 0', ' 0', ' 60', ' 80']
['2', ' 28320', ' 1', ' 0', ' 58', ' 88']
['2', ' 28550', ' 0', ' 0', ' 58', ' 80']
['2', ' 28560', ' 1', ' 0', ' 60', ' 88']
['2', ' 32630', ' 0', ' 0', ' 60', ' 80']
['2', ' 32640', ' 3', ' 0', ' 27']
['2', ' 32640', ' 1', ' 0', ' 56', ' 88']
['2', ' 33120', ' 1', ' 0', ' 68', ' 88']
['2', ' 33120', ' 1', ' 0', ' 77', ' 88']
['2', ' 33590', ' 0', ' 0', ' 68', ' 80']
['2', ' 33590', ' 0', ' 0', ' 77', ' 80']
['2', ' 33600', ' 1', ' 0', ' 68', ' 88']
['2', ' 33600', ' 1', ' 0', ' 77', ' 88']
['2', ' 34550', ' 0', ' 0', ' 56', ' 80']
['2', ' 34550', ' 0', ' 0', ' 68', ' 80']
['2', ' 34550', ' 0', ' 0', ' 77', ' 80']
['2', ' 34560', ' 1', ' 0', ' 60', ' 88']
['2', ' 34790', ' 0', ' 0', ' 60', ' 80']
['2', ' 34800', ' 1', ' 0', ' 60', ' 88']
['2', ' 35030', ' 0', ' 0', ' 60', ' 80']
['2', ' 35040', ' 1', ' 0', ' 68', ' 88']
['2', ' 35040', ' 1', ' 0', ' 77', ' 88']
['2', ' 35270', ' 0', ' 0', ' 68', ' 80']
['2', ' 35270', ' 0', ' 0', ' 77', ' 80']
['2', ' 35280', ' 1', ' 0', ' 60', ' 88']
['2', ' 35510', ' 0', ' 0', ' 60', ' 80']
['2', ' 35520', ' 1', ' 0', ' 67', ' 88']
['2', ' 35520', ' 1', ' 0', ' 75', ' 88']
['2', ' 36470', ' 0', ' 0', ' 67', ' 80']
['2', ' 36470', ' 0', ' 0', ' 75', ' 80']
['2', ' 36480', ' 1', ' 0', ' 63', ' 88']
['2', ' 36710', ' 0', ' 0', ' 63', ' 80']
['2', ' 36720', ' 1', ' 0', ' 63', ' 88']
['2', ' 36950', ' 0', ' 0', ' 63', ' 80']
['2', ' 36960', ' 1', ' 0', ' 61', ' 88']
['2', ' 36960', ' 1', ' 0', ' 70', ' 88']
['2', ' 37430', ' 0', ' 0', ' 61', ' 80']
['2', ' 37430', ' 0', ' 0', ' 70', ' 80']
['2', ' 37440', ' 1', ' 0', ' 60', ' 88']
['2', ' 37440', ' 1', ' 0', ' 68', ' 88']
['2', ' 38390', ' 0', ' 0', ' 60', ' 80']
['2', ' 38390', ' 0', ' 0', ' 68', ' 80']
['2', ' 38400', ' 1', ' 0', ' 63', ' 88']
['2', ' 38400', ' 1', ' 0', ' 72', ' 43']
['2', ' 38630', ' 0', ' 0', ' 63', ' 80']
['2', ' 38630', ' 0', ' 0', ' 72', ' 80']
['2', ' 38640', ' 1', ' 0', ' 63', ' 88']
['2', ' 38640', ' 1', ' 0', ' 72', ' 88']
['2', ' 38870', ' 0', ' 0', ' 63', ' 80']
['2', ' 38870', ' 0', ' 0', ' 72', ' 80']
['2', ' 38880', ' 1', ' 0', ' 61', ' 88']
['2', ' 38880', ' 1', ' 0', ' 70', ' 88']
['2', ' 39350', ' 0', ' 0', ' 61', ' 80']
['2', ' 39350', ' 0', ' 0', ' 70', ' 80']
['2', ' 39360', ' 1', ' 0', ' 60', ' 88']
['2', ' 39360', ' 1', ' 0', ' 68', ' 88']
['2', ' 40310', ' 0', ' 0', ' 60', ' 80']
['2', ' 40310', ' 0', ' 0', ' 68', ' 80']
['2', ' 40320', ' 1', ' 0', ' 56', ' 88']
['2', ' 40800', ' 1', ' 0', ' 68', ' 88']
['2', ' 40800', ' 1', ' 0', ' 77', ' 88']
['2', ' 41270', ' 0', ' 0', ' 68', ' 80']
['2', ' 41270', ' 0', ' 0', ' 77', ' 80']
['2', ' 41280', ' 1', ' 0', ' 68', ' 88']
['2', ' 41280', ' 1', ' 0', ' 77', ' 88']
['2', ' 42230', ' 0', ' 0', ' 56', ' 80']
['2', ' 42230', ' 0', ' 0', ' 68', ' 80']
['2', ' 42230', ' 0', ' 0', ' 77', ' 80']
['2', ' 42240', ' 1', ' 0', ' 60', ' 88']
['2', ' 42470', ' 0', ' 0', ' 60', ' 80']
['2', ' 42480', ' 1', ' 0', ' 60', ' 88']
['2', ' 42710', ' 0', ' 0', ' 60', ' 80']
['2', ' 42720', ' 1', ' 0', ' 68', ' 88']
['2', ' 42720', ' 1', ' 0', ' 77', ' 88']
['2', ' 42950', ' 0', ' 0', ' 68', ' 80']
['2', ' 42950', ' 0', ' 0', ' 77', ' 80']
['2', ' 42960', ' 1', ' 0', ' 60', ' 88']
['2', ' 43190', ' 0', ' 0', ' 60', ' 80']
['2', ' 43200', ' 1', ' 0', ' 67', ' 88']
['2', ' 43200', ' 1', ' 0', ' 75', ' 88']
['2', ' 44150', ' 0', ' 0', ' 67', ' 80']
['2', ' 44150', ' 0', ' 0', ' 75', ' 80']
['2', ' 44160', ' 1', ' 0', ' 63', ' 88']
['2', ' 44390', ' 0', ' 0', ' 63', ' 80']
['2', ' 44400', ' 1', ' 0', ' 63', ' 88']
['2', ' 44630', ' 0', ' 0', ' 63', ' 80']
['2', ' 44640', ' 1', ' 0', ' 61', ' 88']
['2', ' 44640', ' 1', ' 0', ' 70', ' 88']
['2', ' 45110', ' 0', ' 0', ' 61', ' 80']
['2', ' 45110', ' 0', ' 0', ' 70', ' 80']
['2', ' 45120', ' 1', ' 0', ' 60', ' 88']
