['1', ' 0', ' 2', ' 0', ' 101', ' 0']
['1', ' 0', ' 2', ' 0', ' 100', ' 0']
['1', ' 0', ' 2', ' 0', ' 6', ' 12']
['1', ' 0', ' 2', ' 0', ' 38', ' 0']
['1', ' 0', ' 2', ' 1', ' 101', ' 0']
['1', ' 0', ' 2', ' 1', ' 100', ' 0']
['1', ' 0', ' 2', ' 1', ' 6', ' 12']
['1', ' 0', ' 2', ' 1', ' 38', ' 0']
['1', ' 0', ' 2', ' 2', ' 101', ' 0']
['1', ' 0', ' 2', ' 2', ' 100', ' 0']
['1', ' 0', ' 2', ' 2', ' 6', ' 12']
['1', ' 0', ' 2', ' 2', ' 38', ' 0']
['1', ' 0', ' 2', ' 3', ' 101', ' 0']
['1', ' 0', ' 2', ' 3', ' 100', ' 0']
['1', ' 0', ' 2', ' 3', ' 6', ' 12']
['1', ' 0', ' 2', ' 3', ' 38', ' 0']
['1', ' 0', ' 2', ' 4', ' 101', ' 0']
['1', ' 0', ' 2', ' 4', ' 100', ' 0']
['1', ' 0', ' 2', ' 4', ' 6', ' 12']
['1', ' 0', ' 2', ' 4', ' 38', ' 0']
['1', ' 0', ' 2', ' 5', ' 101', ' 0']
['1', ' 0', ' 2', ' 5', ' 100', ' 0']
['1', ' 0', ' 2', ' 5', ' 6', ' 12']
['1', ' 0', ' 2', ' 5', ' 38', ' 0']
['1', ' 0', ' 2', ' 6', ' 101', ' 0']
['1', ' 0', ' 2', ' 6', ' 100', ' 0']
['1', ' 0', ' 2', ' 6', ' 6', ' 12']
['1', ' 0', ' 2', ' 6', ' 38', ' 0']
['1', ' 0', ' 2', ' 7', ' 101', ' 0']
['1', ' 0', ' 2', ' 7', ' 100', ' 0']
['1', ' 0', ' 2', ' 7', ' 6', ' 12']
['1', ' 0', ' 2', ' 7', ' 38', ' 0']
['1', ' 0', ' 2', ' 8', ' 101', ' 0']
['1', ' 0', ' 2', ' 8', ' 100', ' 0']
['1', ' 0', ' 2', ' 8', ' 6', ' 12']
['1', ' 0', ' 2', ' 8', ' 38', ' 0']
['1', ' 0', ' 2', ' 9', ' 101', ' 0']
['1', ' 0', ' 2', ' 9', ' 100', ' 0']
['1', ' 0', ' 2', ' 9', ' 6', ' 12']
['1', ' 0', ' 2', ' 9', ' 38', ' 0']
['1', ' 0', ' 2', ' 10', ' 101', ' 0']
['1', ' 0', ' 2', ' 10', ' 100', ' 0']
['1', ' 0', ' 2', ' 10', ' 6', ' 12']
['1', ' 0', ' 2', ' 10', ' 38', ' 0']
['1', ' 0', ' 2', ' 11', ' 101', ' 0']
['1', ' 0', ' 2', ' 11', ' 100', ' 0']
['1', ' 0', ' 2', ' 11', ' 6', ' 12']
['1', ' 0', ' 2', ' 11', ' 38', ' 0']
['1', ' 0', ' 2', ' 12', ' 101', ' 0']
['1', ' 0', ' 2', ' 12', ' 100', ' 0']
['1', ' 0', ' 2', ' 12', ' 6', ' 12']
['1', ' 0', ' 2', ' 12', ' 38', ' 0']
['1', ' 0', ' 2', ' 13', ' 101', ' 0']
['1', ' 0', ' 2', ' 13', ' 100', ' 0']
['1', ' 0', ' 2', ' 13', ' 6', ' 12']
['1', ' 0', ' 2', ' 13', ' 38', ' 0']
['1', ' 0', ' 2', ' 14', ' 101', ' 0']
['1', ' 0', ' 2', ' 14', ' 100', ' 0']
['1', ' 0', ' 2', ' 14', ' 6', ' 12']
['1', ' 0', ' 2', ' 14', ' 38', ' 0']
['1', ' 0', ' 2', ' 15', ' 101', ' 0']
['1', ' 0', ' 2', ' 15', ' 100', ' 0']
['1', ' 0', ' 2', ' 15', ' 6', ' 12']
['1', ' 0', ' 2', ' 15', ' 38', ' 0']
['2', ' 0', ' 2', ' 6', ' 7', ' 87']
['2', ' 0', ' 2', ' 6', ' 10', ' 15']
['2', ' 0', ' 2', ' 6', ' 93', ' 0']
['2', ' 0', ' 2', ' 6', ' 91', ' 0']
['2', ' 0', ' 2', ' 6', ' 95', ' 0']
['2', ' 0', ' 2', ' 6', ' 92', ' 0']
['2', ' 0', ' 2', ' 6', ' 11', ' 127']
['2', ' 0', ' 3', ' 6', ' 26']
['2', ' 0', ' 2', ' 7', ' 7', ' 87']
['2', ' 0', ' 2', ' 7', ' 10', ' 15']
['2', ' 0', ' 2', ' 7', ' 93', ' 0']
['2', ' 0', ' 2', ' 7', ' 91', ' 0']
['2', ' 0', ' 2', ' 7', ' 95', ' 0']
['2', ' 0', ' 2', ' 7', ' 92', ' 0']
['2', ' 0', ' 2', ' 7', ' 11', ' 127']
['2', ' 0', ' 3', ' 7', ' 26']
['2', ' 76800', ' 1', ' 6', ' 47', ' 95']
['2', ' 77760', ' 0', ' 6', ' 47', ' 95']
['2', ' 77760', ' 1', ' 6', ' 57', ' 95']
['2', ' 79200', ' 0', ' 6', ' 57', ' 95']
['2', ' 79200', ' 1', ' 6', ' 57', ' 95']
['2', ' 80160', ' 0', ' 6', ' 57', ' 95']
['2', ' 80160', ' 1', ' 6', ' 59', ' 95']
['2', ' 81120', ' 0', ' 6', ' 59', ' 95']
['2', ' 81120', ' 1', ' 6', ' 57', ' 95']
['2', ' 81600', ' 0', ' 6', ' 57', ' 95']
['2', ' 81600', ' 1', ' 6', ' 47', ' 95']
['2', ' 82560', ' 0', ' 6', ' 47', ' 95']
['2', ' 82560', ' 1', ' 6', ' 64', ' 95']
['2', ' 83040', ' 0', ' 6', ' 64', ' 95']
['2', ' 83040', ' 1', ' 6', ' 66', ' 95']
['2', ' 84000', ' 0', ' 6', ' 66', ' 95']
['2', ' 84000', ' 1', ' 6', ' 59', ' 95']
['2', ' 85440', ' 0', ' 6', ' 59', ' 95']
['2', ' 85440', ' 1', ' 6', ' 47', ' 95']
['2', ' 86880', ' 0', ' 6', ' 47', ' 95']
['2', ' 86880', ' 1', ' 6', ' 57', ' 95']
['2', ' 87840', ' 0', ' 6', ' 57', ' 95']
['2', ' 87840', ' 1', ' 6', ' 59', ' 95']
['2', ' 88800', ' 0', ' 6', ' 59', ' 95']
['2', ' 88800', ' 1', ' 6', ' 57', ' 95']
['2', ' 89280', ' 0', ' 6', ' 57', ' 95']
['2', ' 89280', ' 1', ' 6', ' 47', ' 95']
['2', ' 90240', ' 0', ' 6', ' 47', ' 95']
['2', ' 90240', ' 1', ' 6', ' 66', ' 95']
['2', ' 90720', ' 0', ' 6', ' 66', ' 95']
['2', ' 90720', ' 1', ' 6', ' 64', ' 95']
['2', ' 91200', ' 0', ' 6', ' 64', ' 95']
['2', ' 91200', ' 1', ' 6', ' 59', ' 95']
['2', ' 92160', ' 0', ' 6', ' 59', ' 95']
['2', ' 92160', ' 1', ' 6', ' 64', ' 95']
['2', ' 92640', ' 0', ' 6', ' 64', ' 95']
['2', ' 92640', ' 1', ' 6', ' 66', ' 95']
['2', ' 93120', ' 0', ' 6', ' 66', ' 95']
['2', ' 93120', ' 1', ' 6', ' 47', ' 95']
['2', ' 93600', ' 0', ' 6', ' 47', ' 95']
['2', ' 93600', ' 1', ' 6', ' 59', ' 95']
['2', ' 94560', ' 0', ' 6', ' 59', ' 95']
['2', ' 94560', ' 1', ' 6', ' 57', ' 95']
['2', ' 95040', ' 0', ' 6', ' 57', ' 95']
['2', ' 95040', ' 1', ' 6', ' 47', ' 95']
['2', ' 95520', ' 0', ' 6', ' 47', ' 95']
['2', ' 95520', ' 1', ' 6', ' 59', ' 95']
['2', ' 96480', ' 0', ' 6', ' 59', ' 95']
['2', ' 96480', ' 1', ' 6', ' 57', ' 95']
['2', ' 96960', ' 0', ' 6', ' 57', ' 95']
['2', ' 96960', ' 1', ' 6', ' 47', ' 95']
['2', ' 97920', ' 0', ' 6', ' 47', ' 95']
['2', ' 97920', ' 1', ' 6', ' 66', ' 95']
['2', ' 98400', ' 0', ' 6', ' 66', ' 95']
['2', ' 98400', ' 1', ' 6', ' 64', ' 95']
['2', ' 99360', ' 0', ' 6', ' 64', ' 95']
['2', ' 99360', ' 1', ' 6', ' 66', ' 95']
['2', ' 100800', ' 0', ' 6', ' 66', ' 95']
['2', ' 100800', ' 1', ' 6', ' 47', ' 95']
['2', ' 102240', ' 0', ' 6', ' 47', ' 95']
['2', ' 102240', ' 1', ' 6', ' 57', ' 95']
['2', ' 103200', ' 0', ' 6', ' 57', ' 95']
['2', ' 103200', ' 1', ' 6', ' 59', ' 95']
['2', ' 104160', ' 0', ' 6', ' 59', ' 95']
['2', ' 104160', ' 1', ' 6', ' 57', ' 95']
['2', ' 105600', ' 0', ' 6', ' 57', ' 95']
['2', ' 105600', ' 1', ' 6', ' 64', ' 95']
['2', ' 106080', ' 0', ' 6', ' 64', ' 95']
['2', ' 106080', ' 1', ' 6', ' 66', ' 95']
['2', ' 107040', ' 0', ' 6', ' 66', ' 95']
['2', ' 107040', ' 1', ' 6', ' 59', ' 95']
['2', ' 107520', ' 0', ' 6', ' 59', ' 95']
['2', ' 107520', ' 1', ' 6', ' 47', ' 95']
['2', ' 108480', ' 0', ' 6', ' 47', ' 95']
['2', ' 108480', ' 1', ' 6', ' 57', ' 95']
['2', ' 108480', ' 1', ' 6', ' 50', ' 95']
['2', ' 108480', ' 1', ' 6', ' 47', ' 95']
['2', ' 109920', ' 0', ' 6', ' 57', ' 95']
['2', ' 109920', ' 0', ' 6', ' 50', ' 95']
['2', ' 109920', ' 0', ' 6', ' 47', ' 95']
['2', ' 109920', ' 1', ' 6', ' 57', ' 95']
['2', ' 109920', ' 1', ' 6', ' 50', ' 95']
['2', ' 109920', ' 1', ' 6', ' 47', ' 95']
['2', ' 110880', ' 0', ' 6', ' 57', ' 95']
['2', ' 110880', ' 0', ' 6', ' 50', ' 95']
['2', ' 110880', ' 0', ' 6', ' 47', ' 95']
['2', ' 110880', ' 1', ' 6', ' 57', ' 95']
['2', ' 110880', ' 1', ' 6', ' 50', ' 95']
['2', ' 110880', ' 1', ' 6', ' 47', ' 95']
['2', ' 112320', ' 0', ' 6', ' 57', ' 95']
['2', ' 112320', ' 0', ' 6', ' 50', ' 95']
['2', ' 112320', ' 0', ' 6', ' 47', ' 95']
['2', ' 112320', ' 1', ' 6', ' 57', ' 95']
['2', ' 112320', ' 1', ' 6', ' 50', ' 95']
['2', ' 112320', ' 1', ' 6', ' 47', ' 95']
['2', ' 113760', ' 0', ' 6', ' 57', ' 95']
['2', ' 113760', ' 0', ' 6', ' 50', ' 95']
['2', ' 113760', ' 0', ' 6', ' 47', ' 95']
['2', ' 113760', ' 1', ' 6', ' 64', ' 95']
['2', ' 113760', ' 1', ' 6', ' 59', ' 95']
['2', ' 113760', ' 1', ' 6', ' 57', ' 95']
['2', ' 113760', ' 1', ' 6', ' 50', ' 95']
['2', ' 113760', ' 1', ' 6', ' 47', ' 95']
['2', ' 114720', ' 0', ' 6', ' 64', ' 95']
['2', ' 114720', ' 0', ' 6', ' 59', ' 95']
['2', ' 114720', ' 0', ' 6', ' 57', ' 95']
['2', ' 114720', ' 0', ' 6', ' 50', ' 95']
['2', ' 114720', ' 0', ' 6', ' 47', ' 95']
['2', ' 114720', ' 1', ' 6', ' 66', ' 95']
['2', ' 114720', ' 1', ' 6', ' 59', ' 95']
['2', ' 114720', ' 1', ' 6', ' 57', ' 95']
['2', ' 114720', ' 1', ' 6', ' 50', ' 95']
['2', ' 114720', ' 1', ' 6', ' 47', ' 95']
['2', ' 116160', ' 0', ' 6', ' 66', ' 95']
['2', ' 116160', ' 0', ' 6', ' 59', ' 95']
['2', ' 116160', ' 0', ' 6', ' 57', ' 95']
['2', ' 116160', ' 0', ' 6', ' 50', ' 95']
['2', ' 116160', ' 0', ' 6', ' 47', ' 95']
['2', ' 116160', ' 1', ' 6', ' 57', ' 95']
['2', ' 116160', ' 1', ' 6', ' 50', ' 95']
['2', ' 116160', ' 1', ' 6', ' 47', ' 95']
['2', ' 117600', ' 0', ' 6', ' 57', ' 95']
['2', ' 117600', ' 0', ' 6', ' 50', ' 95']
['2', ' 117600', ' 0', ' 6', ' 47', ' 95']
['2', ' 117600', ' 1', ' 6', ' 57', ' 95']
['2', ' 117600', ' 1', ' 6', ' 50', ' 95']
['2', ' 117600', ' 1', ' 6', ' 47', ' 95']
['2', ' 118560', ' 0', ' 6', ' 57', ' 95']
['2', ' 118560', ' 0', ' 6', ' 50', ' 95']
['2', ' 118560', ' 0', ' 6', ' 47', ' 95']
['2', ' 118560', ' 1', ' 6', ' 67', ' 95']
['2', ' 118560', ' 1', ' 6', ' 59', ' 95']
['2', ' 118560', ' 1', ' 6', ' 57', ' 95']
['2', ' 118560', ' 1', ' 6', ' 50', ' 95']
['2', ' 118560', ' 1', ' 6', ' 47', ' 95']
['2', ' 119520', ' 0', ' 6', ' 67', ' 95']
['2', ' 119520', ' 0', ' 6', ' 59', ' 95']
['2', ' 119520', ' 0', ' 6', ' 57', ' 95']
['2', ' 119520', ' 0', ' 6', ' 50', ' 95']
['2', ' 119520', ' 0', ' 6', ' 47', ' 95']
['2', ' 119520', ' 1', ' 6', ' 59', ' 95']
['2', ' 119520', ' 1', ' 6', ' 57', ' 95']
['2', ' 119520', ' 1', ' 6', ' 50', ' 95']
['2', ' 119520', ' 1', ' 6', ' 47', ' 95']
['2', ' 120000', ' 0', ' 6', ' 59', ' 95']
['2', ' 120000', ' 0', ' 6', ' 57', ' 95']
['2', ' 120000', ' 0', ' 6', ' 50', ' 95']
['2', ' 120000', ' 0', ' 6', ' 47', ' 95']
['2', ' 120000', ' 1', ' 6', ' 47', ' 95']
['2', ' 120480', ' 0', ' 6', ' 47', ' 95']
['2', ' 120480', ' 1', ' 6', ' 66', ' 95']
['2', ' 120480', ' 1', ' 6', ' 59', ' 95']
['2', ' 120480', ' 1', ' 6', ' 57', ' 95']
['2', ' 120480', ' 1', ' 6', ' 50', ' 95']
['2', ' 120480', ' 1', ' 6', ' 47', ' 95']
['2', ' 121440', ' 0', ' 6', ' 66', ' 95']
['2', ' 121440', ' 0', ' 6', ' 59', ' 95']
['2', ' 121440', ' 0', ' 6', ' 57', ' 95']
['2', ' 121440', ' 0', ' 6', ' 50', ' 95']
['2', ' 121440', ' 0', ' 6', ' 47', ' 95']
['2', ' 121440', ' 1', ' 6', ' 59', ' 95']
['2', ' 121440', ' 1', ' 6', ' 57', ' 95']
['2', ' 121440', ' 1', ' 6', ' 50', ' 95']
['2', ' 121440', ' 1', ' 6', ' 47', ' 95']
['2', ' 121920', ' 0', ' 6', ' 59', ' 95']
['2', ' 121920', ' 0', ' 6', ' 57', ' 95']
['2', ' 121920', ' 0', ' 6', ' 50', ' 95']
['2', ' 121920', ' 0', ' 6', ' 47', ' 95']
['2', ' 121920', ' 1', ' 6', ' 47', ' 95']
['2', ' 122400', ' 0', ' 6', ' 47', ' 95']
['2', ' 122400', ' 1', ' 6', ' 59', ' 95']
['2', ' 122400', ' 1', ' 6', ' 57', ' 95']
['2', ' 122400', ' 1', ' 6', ' 50', ' 95']
['2', ' 122400', ' 1', ' 6', ' 47', ' 95']
['2', ' 122880', ' 0', ' 6', ' 59', ' 95']
['2', ' 122880', ' 0', ' 6', ' 57', ' 95']
['2', ' 122880', ' 0', ' 6', ' 50', ' 95']
['2', ' 122880', ' 0', ' 6', ' 47', ' 95']
['2', ' 122880', ' 1', ' 6', ' 43', ' 95']
['2', ' 123840', ' 0', ' 6', ' 43', ' 95']
['2', ' 123840', ' 1', ' 6', ' 59', ' 95']
['2', ' 123840', ' 1', ' 6', ' 43', ' 95']
['2', ' 125280', ' 0', ' 6', ' 59', ' 95']
['2', ' 125280', ' 0', ' 6', ' 43', ' 95']
['2', ' 125280', ' 1', ' 6', ' 59', ' 95']
['2', ' 125280', ' 1', ' 6', ' 43', ' 95']
['2', ' 126240', ' 0', ' 6', ' 59', ' 95']
['2', ' 126240', ' 0', ' 6', ' 43', ' 95']
['2', ' 126240', ' 1', ' 6', ' 57', ' 95']
['2', ' 126240', ' 1', ' 6', ' 42', ' 95']
['2', ' 127200', ' 0', ' 6', ' 57', ' 95']
['2', ' 127200', ' 0', ' 6', ' 42', ' 95']
['2', ' 127200', ' 1', ' 6', ' 57', ' 95']
['2', ' 127200', ' 1', ' 6', ' 42', ' 95']
['2', ' 128160', ' 0', ' 6', ' 57', ' 95']
['2', ' 128160', ' 0', ' 6', ' 42', ' 95']
['2', ' 128160', ' 1', ' 6', ' 55', ' 95']
['2', ' 128160', ' 1', ' 6', ' 40', ' 95']
['2', ' 129120', ' 0', ' 6', ' 55', ' 95']
['2', ' 129120', ' 0', ' 6', ' 40', ' 95']
['2', ' 129120', ' 1', ' 6', ' 40', ' 95']
['2', ' 129600', ' 0', ' 6', ' 40', ' 95']
['2', ' 129600', ' 1', ' 6', ' 55', ' 95']
['2', ' 129600', ' 1', ' 6', ' 40', ' 95']
['2', ' 130080', ' 0', ' 6', ' 55', ' 95']
['2', ' 130080', ' 0', ' 6', ' 40', ' 95']
['2', ' 130080', ' 1', ' 6', ' 40', ' 95']
