['2', ' 16', ' 2', ' 0', ' 121', ' 0']
['2', ' 16', ' 2', ' 0', ' 123', ' 0']
['2', ' 16', ' 2', ' 0', ' 100', ' 0']
['2', ' 16', ' 2', ' 0', ' 38', ' 0']
['2', ' 16', ' 2', ' 0', ' 101', ' 0']
['2', ' 16', ' 2', ' 0', ' 6', ' 12']
['2', ' 30', ' 3', ' 0', ' 1']
['2', ' 30', ' 2', ' 0', ' 7', ' 104']
['2', ' 30', ' 2', ' 0', ' 10', ' 30']
['2', ' 240', ' 1', ' 0', ' 67', ' 76']
['2', ' 240', ' 1', ' 0', ' 79', ' 76']
['2', ' 314', ' 1', ' 0', ' 60', ' 76']
['2', ' 321', ' 0', ' 0', ' 67', ' 80']
['2', ' 321', ' 0', ' 0', ' 79', ' 80']
['2', ' 360', ' 1', ' 0', ' 67', ' 76']
['2', ' 360', ' 1', ' 0', ' 79', ' 76']
['2', ' 441', ' 0', ' 0', ' 67', ' 80']
['2', ' 441', ' 0', ' 0', ' 79', ' 80']
['2', ' 480', ' 1', ' 0', ' 67', ' 76']
['2', ' 480', ' 1', ' 0', ' 79', ' 76']
['2', ' 515', ' 0', ' 0', ' 60', ' 80']
['2', ' 681', ' 0', ' 0', ' 67', ' 80']
['2', ' 681', ' 0', ' 0', ' 79', ' 80']
['2', ' 720', ' 1', ' 0', ' 67', ' 76']
['2', ' 720', ' 1', ' 0', ' 79', ' 76']
['2', ' 921', ' 0', ' 0', ' 67', ' 80']
['2', ' 921', ' 0', ' 0', ' 79', ' 80']
['2', ' 960', ' 1', ' 0', ' 67', ' 76']
['2', ' 960', ' 1', ' 0', ' 79', ' 76']
['2', ' 1161', ' 0', ' 0', ' 67', ' 80']
['2', ' 1161', ' 0', ' 0', ' 79', ' 80']
['2', ' 1200', ' 1', ' 0', ' 62', ' 76']
['2', ' 1200', ' 1', ' 0', ' 74', ' 76']
['2', ' 1401', ' 0', ' 0', ' 62', ' 80']
['2', ' 1401', ' 0', ' 0', ' 74', ' 80']
['2', ' 1440', ' 1', ' 0', ' 60', ' 76']
['2', ' 1440', ' 1', ' 0', ' 72', ' 76']
['2', ' 1641', ' 0', ' 0', ' 60', ' 80']
['2', ' 1641', ' 0', ' 0', ' 72', ' 80']
['2', ' 1680', ' 1', ' 0', ' 70', ' 76']
['2', ' 1881', ' 0', ' 0', ' 70', ' 80']
['2', ' 1994', ' 1', ' 0', ' 60', ' 76']
['2', ' 2160', ' 1', ' 0', ' 64', ' 76']
['2', ' 2160', ' 1', ' 0', ' 67', ' 76']
['2', ' 2195', ' 0', ' 0', ' 60', ' 80']
['2', ' 2361', ' 0', ' 0', ' 64', ' 80']
['2', ' 2361', ' 0', ' 0', ' 67', ' 80']
['2', ' 2400', ' 1', ' 0', ' 64', ' 76']
['2', ' 2400', ' 1', ' 0', ' 67', ' 76']
['2', ' 2601', ' 0', ' 0', ' 64', ' 80']
['2', ' 2601', ' 0', ' 0', ' 67', ' 80']
