['2', ' 0', ' 2', ' 7', ' 100', ' 0']
['2', ' 0', ' 2', ' 7', ' 101', ' 0']
['2', ' 0', ' 2', ' 7', ' 6', ' 12']
['2', ' 0', ' 2', ' 7', ' 101', ' 0']
['2', ' 0', ' 2', ' 7', ' 100', ' 1']
['2', ' 0', ' 2', ' 7', ' 6', ' 64']
['2', ' 0', ' 2', ' 7', ' 38', ' 0']
['2', ' 0', ' 2', ' 7', ' 101', ' 127']
['2', ' 0', ' 2', ' 7', ' 100', ' 127']
['2', ' 0', ' 2', ' 6', ' 100', ' 0']
['2', ' 0', ' 2', ' 6', ' 101', ' 0']
['2', ' 0', ' 2', ' 6', ' 6', ' 12']
['2', ' 0', ' 2', ' 6', ' 101', ' 0']
['2', ' 0', ' 2', ' 6', ' 100', ' 1']
['2', ' 0', ' 2', ' 6', ' 6', ' 64']
['2', ' 0', ' 2', ' 6', ' 38', ' 0']
['2', ' 0', ' 2', ' 6', ' 101', ' 127']
['2', ' 0', ' 2', ' 6', ' 100', ' 127']
['2', ' 0', ' 2', ' 7', ' 101', ' 0']
['2', ' 0', ' 2', ' 7', ' 100', ' 2']
['2', ' 0', ' 2', ' 7', ' 6', ' 64']
['2', ' 0', ' 2', ' 7', ' 101', ' 127']
['2', ' 0', ' 2', ' 7', ' 100', ' 127']
['2', ' 0', ' 2', ' 6', ' 101', ' 0']
['2', ' 0', ' 2', ' 6', ' 100', ' 2']
['2', ' 0', ' 2', ' 6', ' 6', ' 64']
['2', ' 0', ' 2', ' 6', ' 101', ' 127']
['2', ' 0', ' 2', ' 6', ' 100', ' 127']
['2', ' 0', ' 3', ' 7', ' 29']
['2', ' 0', ' 3', ' 6', ' 29']
['2', ' 0', ' 2', ' 7', ' 0', ' 0']
['2', ' 0', ' 2', ' 6', ' 0', ' 0']
['2', ' 0', ' 2', ' 7', ' 7', ' 127']
['2', ' 0', ' 2', ' 6', ' 7', ' 127']
['2', ' 0', ' 2', ' 7', ' 10', ' 64']
['2', ' 0', ' 2', ' 6', ' 10', ' 64']
['2', ' 0', ' 2', ' 7', ' 93', ' 0']
['2', ' 0', ' 2', ' 6', ' 93', ' 0']
['2', ' 0', ' 2', ' 7', ' 91', ' 0']
['2', ' 0', ' 2', ' 6', ' 91', ' 0']
['2', ' 0', ' 2', ' 7', ' 92', ' 0']
['2', ' 0', ' 2', ' 6', ' 92', ' 0']
['2', ' 0', ' 2', ' 7', ' 95', ' 0']
['2', ' 0', ' 2', ' 6', ' 95', ' 0']
['2', ' 17520', ' 1', ' 6', ' 64', ' 95']
['2', ' 17640', ' 0', ' 6', ' 64', ' 80']
['2', ' 17640', ' 1', ' 6', ' 64', ' 95']
['2', ' 17760', ' 0', ' 6', ' 64', ' 80']
['2', ' 17760', ' 1', ' 6', ' 68', ' 95']
