['2', ' 0', ' 2', ' 0', ' 0', ' 56']
['2', ' 0', ' 2', ' 0', ' 32', ' 1']
['2', ' 0', ' 3', ' 0', ' 4']
['2', ' 0', ' 2', ' 0', ' 7', ' 80']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 2']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 1', ' 0', ' 45', ' 80']
['2', ' 120', ' 1', ' 0', ' 60', ' 80']
['2', ' 120', ' 1', ' 0', ' 64', ' 80']
['2', ' 151', ' 1', ' 0', ' 64', ' 0']
['2', ' 151', ' 1', ' 0', ' 60', ' 0']
['2', ' 181', ' 1', ' 0', ' 55', ' 80']
['2', ' 196', ' 1', ' 0', ' 55', ' 0']
['2', ' 241', ' 1', ' 0', ' 60', ' 80']
['2', ' 241', ' 1', ' 0', ' 64', ' 80']
['2', ' 256', ' 1', ' 0', ' 64', ' 0']
['2', ' 256', ' 1', ' 0', ' 60', ' 0']
['2', ' 303', ' 1', ' 0', ' 66', ' 80']
['2', ' 303', ' 1', ' 0', ' 62', ' 80']
['2', ' 344', ' 1', ' 0', ' 62', ' 0']
['2', ' 345', ' 1', ' 0', ' 66', ' 0']
['2', ' 421', ' 1', ' 0', ' 67', ' 80']
['2', ' 421', ' 1', ' 0', ' 63', ' 80']
['2', ' 433', ' 1', ' 0', ' 63', ' 0']
['2', ' 437', ' 1', ' 0', ' 64', ' 80']
['2', ' 533', ' 1', ' 0', ' 45', ' 0']
['2', ' 602', ' 1', ' 0', ' 55', ' 80']
['2', ' 649', ' 1', ' 0', ' 55', ' 0']
['2', ' 721', ' 1', ' 0', ' 52', ' 80']
['2', ' 784', ' 1', ' 0', ' 54', ' 80']
['2', ' 789', ' 1', ' 0', ' 52', ' 0']
['2', ' 841', ' 1', ' 0', ' 54', ' 0']
['2', ' 903', ' 1', ' 0', ' 45', ' 80']
['2', ' 918', ' 1', ' 0', ' 45', ' 0']
['2', ' 960', ' 1', ' 0', ' 45', ' 80']
['2', ' 964', ' 1', ' 0', ' 67', ' 0']
['2', ' 973', ' 1', ' 0', ' 64', ' 0']
['2', ' 1080', ' 1', ' 0', ' 63', ' 80']
['2', ' 1080', ' 1', ' 0', ' 67', ' 80']
['2', ' 1080', ' 1', ' 0', ' 64', ' 80']
['2', ' 1089', ' 1', ' 0', ' 63', ' 0']
['2', ' 1154', ' 1', ' 0', ' 64', ' 0']
['2', ' 1162', ' 1', ' 0', ' 67', ' 0']
['2', ' 1201', ' 1', ' 0', ' 66', ' 80']
['2', ' 1201', ' 1', ' 0', ' 62', ' 80']
['2', ' 1266', ' 1', ' 0', ' 66', ' 0']
['2', ' 1270', ' 1', ' 0', ' 62', ' 0']
['2', ' 1323', ' 1', ' 0', ' 62', ' 80']
['2', ' 1323', ' 1', ' 0', ' 59', ' 80']
['2', ' 1337', ' 1', ' 0', ' 59', ' 0']
['2', ' 1337', ' 1', ' 0', ' 62', ' 0']
['2', ' 1381', ' 1', ' 0', ' 62', ' 80']
['2', ' 1381', ' 1', ' 0', ' 59', ' 80']
['2', ' 1444', ' 1', ' 0', ' 59', ' 0']
['2', ' 1446', ' 1', ' 0', ' 62', ' 0']
['2', ' 1501', ' 1', ' 0', ' 64', ' 80']
['2', ' 1501', ' 1', ' 0', ' 61', ' 80']
['2', ' 1514', ' 1', ' 0', ' 61', ' 0']
['2', ' 1514', ' 1', ' 0', ' 64', ' 0']
['2', ' 1562', ' 1', ' 0', ' 64', ' 80']
['2', ' 1562', ' 1', ' 0', ' 61', ' 80']
['2', ' 1591', ' 1', ' 0', ' 45', ' 0']
['2', ' 1681', ' 1', ' 0', ' 52', ' 80']
['2', ' 1744', ' 1', ' 0', ' 54', ' 80']
['2', ' 1745', ' 1', ' 0', ' 52', ' 0']
['2', ' 1809', ' 1', ' 0', ' 54', ' 0']
