['2', ' 0', ' 3', ' 0', ' 101']
['2', ' 0', ' 2', ' 0', ' 7', ' 55']
['2', ' 0', ' 2', ' 0', ' 10', ' 10']
['2', ' 0', ' 2', ' 0', ' 7', ' 80']
['2', ' 960', ' 1', ' 0', ' 48', ' 100']
['2', ' 15328', ' 1', ' 0', ' 48', ' 0']
['2', ' 106800', ' 1', ' 0', ' 48', ' 100']
['2', ' 120960', ' 1', ' 0', ' 48', ' 0']
['3', ' 0', ' 3', ' 1', ' 104']
['3', ' 0', ' 2', ' 1', ' 7', ' 110']
['3', ' 0', ' 2', ' 1', ' 10', ' 20']
['3', ' 0', ' 2', ' 1', ' 91', ' 100']
['3', ' 0', ' 2', ' 1', ' 93', ' 0']
['3', ' 0', ' 2', ' 1', ' 123', ' 0']
['3', ' 6720', ' 1', ' 1', ' 58', ' 100']
['3', ' 6776', ' 1', ' 1', ' 58', ' 100']
['3', ' 6780', ' 1', ' 1', ' 58', ' 0']
['3', ' 6836', ' 1', ' 1', ' 58', ' 0']
['3', ' 6840', ' 1', ' 1', ' 60', ' 100']
['3', ' 6900', ' 1', ' 1', ' 60', ' 0']
['3', ' 6902', ' 1', ' 1', ' 60', ' 100']
['3', ' 6954', ' 1', ' 1', ' 64', ' 100']
['3', ' 6962', ' 1', ' 1', ' 60', ' 0']
['3', ' 7008', ' 1', ' 1', ' 64', ' 100']
['3', ' 7014', ' 1', ' 1', ' 64', ' 0']
['3', ' 7068', ' 1', ' 1', ' 64', ' 0']
['3', ' 7072', ' 1', ' 1', ' 65', ' 100']
['3', ' 7132', ' 1', ' 1', ' 65', ' 0']
['3', ' 7140', ' 1', ' 1', ' 65', ' 100']
['3', ' 7194', ' 1', ' 1', ' 67', ' 100']
['3', ' 7200', ' 1', ' 1', ' 65', ' 0']
['3', ' 7254', ' 1', ' 1', ' 67', ' 0']
['3', ' 7254', ' 1', ' 1', ' 67', ' 100']
['3', ' 7314', ' 1', ' 1', ' 67', ' 0']
['3', ' 7320', ' 1', ' 1', ' 70', ' 100']
['3', ' 7380', ' 1', ' 1', ' 70', ' 0']
['3', ' 7380', ' 1', ' 1', ' 70', ' 100']
['3', ' 7432', ' 1', ' 1', ' 72', ' 100']
['3', ' 7440', ' 1', ' 1', ' 70', ' 0']
['3', ' 7492', ' 1', ' 1', ' 72', ' 0']
['3', ' 7502', ' 1', ' 1', ' 72', ' 100']
['3', ' 7560', ' 1', ' 1', ' 76', ' 100']
['3', ' 7562', ' 1', ' 1', ' 72', ' 0']
['3', ' 7618', ' 1', ' 1', ' 76', ' 100']
['3', ' 7620', ' 1', ' 1', ' 76', ' 0']
['3', ' 7678', ' 1', ' 1', ' 76', ' 0']
['3', ' 7680', ' 1', ' 1', ' 77', ' 100']
['3', ' 7740', ' 1', ' 1', ' 77', ' 0']
