['1', ' 0', ' 2', ' 0', ' 101', ' 0']
['1', ' 0', ' 2', ' 0', ' 100', ' 0']
['1', ' 0', ' 2', ' 0', ' 6', ' 12']
['1', ' 0', ' 2', ' 0', ' 38', ' 0']
['1', ' 0', ' 2', ' 1', ' 101', ' 0']
['1', ' 0', ' 2', ' 1', ' 100', ' 0']
['1', ' 0', ' 2', ' 1', ' 6', ' 12']
['1', ' 0', ' 2', ' 1', ' 38', ' 0']
['1', ' 0', ' 2', ' 2', ' 101', ' 0']
['1', ' 0', ' 2', ' 2', ' 100', ' 0']
['1', ' 0', ' 2', ' 2', ' 6', ' 12']
['1', ' 0', ' 2', ' 2', ' 38', ' 0']
['1', ' 0', ' 2', ' 3', ' 101', ' 0']
['1', ' 0', ' 2', ' 3', ' 100', ' 0']
['1', ' 0', ' 2', ' 3', ' 6', ' 12']
['1', ' 0', ' 2', ' 3', ' 38', ' 0']
['1', ' 0', ' 2', ' 4', ' 101', ' 0']
['1', ' 0', ' 2', ' 4', ' 100', ' 0']
['1', ' 0', ' 2', ' 4', ' 6', ' 12']
['1', ' 0', ' 2', ' 4', ' 38', ' 0']
['1', ' 0', ' 2', ' 5', ' 101', ' 0']
['1', ' 0', ' 2', ' 5', ' 100', ' 0']
['1', ' 0', ' 2', ' 5', ' 6', ' 12']
['1', ' 0', ' 2', ' 5', ' 38', ' 0']
['1', ' 0', ' 2', ' 6', ' 101', ' 0']
['1', ' 0', ' 2', ' 6', ' 100', ' 0']
['1', ' 0', ' 2', ' 6', ' 6', ' 12']
['1', ' 0', ' 2', ' 6', ' 38', ' 0']
['1', ' 0', ' 2', ' 7', ' 101', ' 0']
['1', ' 0', ' 2', ' 7', ' 100', ' 0']
['1', ' 0', ' 2', ' 7', ' 6', ' 12']
['1', ' 0', ' 2', ' 7', ' 38', ' 0']
['1', ' 0', ' 2', ' 8', ' 101', ' 0']
['1', ' 0', ' 2', ' 8', ' 100', ' 0']
['1', ' 0', ' 2', ' 8', ' 6', ' 12']
['1', ' 0', ' 2', ' 8', ' 38', ' 0']
['1', ' 0', ' 2', ' 9', ' 101', ' 0']
['1', ' 0', ' 2', ' 9', ' 100', ' 0']
['1', ' 0', ' 2', ' 9', ' 6', ' 12']
['1', ' 0', ' 2', ' 9', ' 38', ' 0']
['1', ' 0', ' 2', ' 10', ' 101', ' 0']
['1', ' 0', ' 2', ' 10', ' 100', ' 0']
['1', ' 0', ' 2', ' 10', ' 6', ' 12']
['1', ' 0', ' 2', ' 10', ' 38', ' 0']
['1', ' 0', ' 2', ' 11', ' 101', ' 0']
['1', ' 0', ' 2', ' 11', ' 100', ' 0']
['1', ' 0', ' 2', ' 11', ' 6', ' 12']
['1', ' 0', ' 2', ' 11', ' 38', ' 0']
['1', ' 0', ' 2', ' 12', ' 101', ' 0']
['1', ' 0', ' 2', ' 12', ' 100', ' 0']
['1', ' 0', ' 2', ' 12', ' 6', ' 12']
['1', ' 0', ' 2', ' 12', ' 38', ' 0']
['1', ' 0', ' 2', ' 13', ' 101', ' 0']
['1', ' 0', ' 2', ' 13', ' 100', ' 0']
['1', ' 0', ' 2', ' 13', ' 6', ' 12']
['1', ' 0', ' 2', ' 13', ' 38', ' 0']
['1', ' 0', ' 2', ' 14', ' 101', ' 0']
['1', ' 0', ' 2', ' 14', ' 100', ' 0']
['1', ' 0', ' 2', ' 14', ' 6', ' 12']
['1', ' 0', ' 2', ' 14', ' 38', ' 0']
['1', ' 0', ' 2', ' 15', ' 101', ' 0']
['1', ' 0', ' 2', ' 15', ' 100', ' 0']
['1', ' 0', ' 2', ' 15', ' 6', ' 12']
['1', ' 0', ' 2', ' 15', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 7', ' 127']
['2', ' 0', ' 2', ' 0', ' 10', ' 63']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 11', ' 127']
['2', ' 0', ' 3', ' 0', ' 30']
['2', ' 0', ' 2', ' 1', ' 7', ' 127']
['2', ' 0', ' 2', ' 1', ' 10', ' 63']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 11', ' 127']
['2', ' 0', ' 3', ' 1', ' 30']
['2', ' 89280', ' 1', ' 0', ' 47', ' 95']
['2', ' 89760', ' 0', ' 0', ' 47', ' 95']
['2', ' 89760', ' 1', ' 0', ' 46', ' 95']
['2', ' 90240', ' 0', ' 0', ' 46', ' 95']
['2', ' 90240', ' 1', ' 0', ' 47', ' 95']
['2', ' 90720', ' 0', ' 0', ' 47', ' 95']
['2', ' 90720', ' 1', ' 0', ' 49', ' 95']
['2', ' 91200', ' 0', ' 0', ' 49', ' 95']
['2', ' 91200', ' 1', ' 0', ' 47', ' 95']
['2', ' 91680', ' 0', ' 0', ' 47', ' 95']
['2', ' 91680', ' 1', ' 0', ' 46', ' 95']
['2', ' 92160', ' 0', ' 0', ' 46', ' 95']
['2', ' 92160', ' 1', ' 0', ' 44', ' 95']
['2', ' 93120', ' 0', ' 0', ' 44', ' 95']
['2', ' 93120', ' 1', ' 0', ' 59', ' 95']
['2', ' 93600', ' 0', ' 0', ' 59', ' 95']
['2', ' 93600', ' 1', ' 0', ' 54', ' 95']
['2', ' 94080', ' 0', ' 0', ' 54', ' 95']
['2', ' 94080', ' 1', ' 0', ' 56', ' 70']
['2', ' 94560', ' 0', ' 0', ' 56', ' 70']
['2', ' 94560', ' 1', ' 0', ' 59', ' 95']
['2', ' 95040', ' 0', ' 0', ' 59', ' 95']
['2', ' 95040', ' 1', ' 0', ' 66', ' 95']
['2', ' 95520', ' 0', ' 0', ' 66', ' 95']
['2', ' 95520', ' 1', ' 0', ' 68', ' 95']
['2', ' 95520', ' 1', ' 0', ' 63', ' 95']
['2', ' 96960', ' 0', ' 0', ' 68', ' 95']
['2', ' 96960', ' 0', ' 0', ' 63', ' 95']
['2', ' 96960', ' 1', ' 0', ' 63', ' 95']
['2', ' 96960', ' 1', ' 0', ' 59', ' 95']
['2', ' 97440', ' 0', ' 0', ' 63', ' 95']
['2', ' 97440', ' 0', ' 0', ' 59', ' 95']
['2', ' 97440', ' 1', ' 0', ' 54', ' 95']
['2', ' 97920', ' 0', ' 0', ' 54', ' 95']
['2', ' 97920', ' 1', ' 0', ' 56', ' 70']
['2', ' 98400', ' 0', ' 0', ' 56', ' 70']
['2', ' 98400', ' 1', ' 0', ' 59', ' 95']
['2', ' 98880', ' 0', ' 0', ' 59', ' 95']
['2', ' 98880', ' 1', ' 0', ' 68', ' 95']
['2', ' 99360', ' 0', ' 0', ' 68', ' 95']
['2', ' 99360', ' 1', ' 0', ' 66', ' 95']
['2', ' 99840', ' 0', ' 0', ' 66', ' 95']
['2', ' 99840', ' 1', ' 0', ' 68', ' 95']
['2', ' 100800', ' 0', ' 0', ' 68', ' 95']
['2', ' 100800', ' 1', ' 0', ' 66', ' 95']
['2', ' 101520', ' 0', ' 0', ' 66', ' 95']
['2', ' 101520', ' 1', ' 0', ' 63', ' 95']
['2', ' 101760', ' 0', ' 0', ' 63', ' 95']
['2', ' 101760', ' 1', ' 0', ' 66', ' 95']
['2', ' 102240', ' 0', ' 0', ' 66', ' 95']
['2', ' 102240', ' 1', ' 0', ' 63', ' 95']
['2', ' 102720', ' 0', ' 0', ' 63', ' 95']
['2', ' 102720', ' 1', ' 0', ' 61', ' 95']
['2', ' 103200', ' 0', ' 0', ' 61', ' 95']
['2', ' 103200', ' 1', ' 0', ' 59', ' 95']
['2', ' 103200', ' 1', ' 0', ' 54', ' 95']
['2', ' 103680', ' 0', ' 0', ' 59', ' 95']
['2', ' 103680', ' 0', ' 0', ' 54', ' 95']
['2', ' 103680', ' 1', ' 0', ' 47', ' 95']
['2', ' 104640', ' 0', ' 0', ' 47', ' 95']
['2', ' 104640', ' 1', ' 0', ' 59', ' 95']
['2', ' 104640', ' 1', ' 0', ' 54', ' 95']
['2', ' 104640', ' 1', ' 0', ' 47', ' 95']
['2', ' 105360', ' 0', ' 0', ' 59', ' 95']
['2', ' 105360', ' 0', ' 0', ' 54', ' 95']
['2', ' 105360', ' 0', ' 0', ' 47', ' 95']
['2', ' 105360', ' 1', ' 0', ' 59', ' 95']
['2', ' 105360', ' 1', ' 0', ' 54', ' 95']
['2', ' 105840', ' 0', ' 0', ' 59', ' 95']
['2', ' 105840', ' 0', ' 0', ' 54', ' 95']
['2', ' 105840', ' 1', ' 0', ' 56', ' 95']
['2', ' 106320', ' 0', ' 0', ' 56', ' 95']
['2', ' 106320', ' 1', ' 0', ' 59', ' 95']
['2', ' 106800', ' 0', ' 0', ' 59', ' 95']
['2', ' 106800', ' 1', ' 0', ' 56', ' 95']
['2', ' 107040', ' 0', ' 0', ' 56', ' 95']
['2', ' 107040', ' 1', ' 0', ' 54', ' 70']
['2', ' 107280', ' 0', ' 0', ' 54', ' 70']
['2', ' 107280', ' 1', ' 0', ' 56', ' 95']
['2', ' 107520', ' 0', ' 0', ' 56', ' 95']
['2', ' 107520', ' 1', ' 0', ' 44', ' 95']
['2', ' 108480', ' 0', ' 0', ' 44', ' 95']
['2', ' 108480', ' 1', ' 0', ' 59', ' 95']
['2', ' 108480', ' 1', ' 0', ' 56', ' 95']
['2', ' 108480', ' 1', ' 0', ' 51', ' 95']
['2', ' 109440', ' 0', ' 0', ' 59', ' 95']
['2', ' 109440', ' 0', ' 0', ' 56', ' 95']
['2', ' 109440', ' 0', ' 0', ' 51', ' 95']
['2', ' 109440', ' 1', ' 1', ' 46', ' 95']
['2', ' 109680', ' 0', ' 1', ' 46', ' 95']
['2', ' 109680', ' 1', ' 0', ' 47', ' 95']
['2', ' 109920', ' 0', ' 0', ' 47', ' 95']
['2', ' 109920', ' 1', ' 0', ' 49', ' 95']
['2', ' 110400', ' 0', ' 0', ' 49', ' 95']
['2', ' 110400', ' 1', ' 0', ' 51', ' 95']
['2', ' 110880', ' 0', ' 0', ' 51', ' 95']
['2', ' 110880', ' 1', ' 0', ' 54', ' 95']
['2', ' 111360', ' 0', ' 0', ' 54', ' 95']
['2', ' 111360', ' 1', ' 0', ' 56', ' 70']
['2', ' 112320', ' 0', ' 0', ' 56', ' 70']
['2', ' 112320', ' 1', ' 0', ' 59', ' 95']
['2', ' 113040', ' 0', ' 0', ' 59', ' 95']
['2', ' 113040', ' 1', ' 1', ' 61', ' 95']
['2', ' 113280', ' 0', ' 1', ' 61', ' 95']
['2', ' 113280', ' 1', ' 0', ' 63', ' 95']
['2', ' 113760', ' 0', ' 0', ' 63', ' 95']
['2', ' 113760', ' 1', ' 0', ' 66', ' 95']
['2', ' 114240', ' 0', ' 0', ' 66', ' 95']
['2', ' 114240', ' 1', ' 0', ' 68', ' 95']
['2', ' 114720', ' 0', ' 0', ' 68', ' 95']
['2', ' 114720', ' 1', ' 0', ' 63', ' 95']
['2', ' 115200', ' 0', ' 0', ' 63', ' 95']
['2', ' 115200', ' 1', ' 0', ' 56', ' 95']
['2', ' 116160', ' 0', ' 0', ' 56', ' 95']
['2', ' 116160', ' 1', ' 0', ' 54', ' 95']
['2', ' 116640', ' 0', ' 0', ' 54', ' 95']
['2', ' 116640', ' 1', ' 0', ' 51', ' 95']
['2', ' 117120', ' 0', ' 0', ' 51', ' 95']
['2', ' 117120', ' 1', ' 0', ' 54', ' 95']
['2', ' 117600', ' 0', ' 0', ' 54', ' 95']
['2', ' 117600', ' 1', ' 0', ' 51', ' 95']
['2', ' 118080', ' 0', ' 0', ' 51', ' 95']
['2', ' 118080', ' 1', ' 0', ' 49', ' 95']
['2', ' 118560', ' 0', ' 0', ' 49', ' 95']
['2', ' 118560', ' 1', ' 0', ' 47', ' 95']
['2', ' 119040', ' 0', ' 0', ' 47', ' 95']
['2', ' 119040', ' 1', ' 0', ' 54', ' 95']
['2', ' 120000', ' 0', ' 0', ' 54', ' 95']
['2', ' 120000', ' 1', ' 0', ' 66', ' 95']
['2', ' 120000', ' 1', ' 0', ' 61', ' 95']
['2', ' 120000', ' 1', ' 0', ' 58', ' 95']
['2', ' 120000', ' 1', ' 0', ' 54', ' 95']
['2', ' 120720', ' 0', ' 0', ' 66', ' 95']
['2', ' 120720', ' 0', ' 0', ' 61', ' 95']
['2', ' 120720', ' 0', ' 0', ' 58', ' 95']
['2', ' 120720', ' 0', ' 0', ' 54', ' 95']
['2', ' 120720', ' 1', ' 0', ' 66', ' 95']
['2', ' 120720', ' 1', ' 0', ' 61', ' 95']
['2', ' 120720', ' 1', ' 0', ' 58', ' 95']
['2', ' 120960', ' 0', ' 0', ' 66', ' 95']
['2', ' 120960', ' 0', ' 0', ' 61', ' 95']
['2', ' 120960', ' 0', ' 0', ' 58', ' 95']
['2', ' 120960', ' 1', ' 0', ' 66', ' 95']
['2', ' 120960', ' 1', ' 0', ' 61', ' 95']
['2', ' 120960', ' 1', ' 0', ' 58', ' 95']
['2', ' 121440', ' 0', ' 0', ' 66', ' 95']
['2', ' 121440', ' 0', ' 0', ' 61', ' 95']
['2', ' 121440', ' 0', ' 0', ' 58', ' 95']
['2', ' 121440', ' 1', ' 0', ' 66', ' 95']
['2', ' 121440', ' 1', ' 0', ' 61', ' 95']
['2', ' 121440', ' 1', ' 0', ' 58', ' 95']
['2', ' 121920', ' 0', ' 0', ' 66', ' 95']
['2', ' 121920', ' 0', ' 0', ' 61', ' 95']
['2', ' 121920', ' 0', ' 0', ' 58', ' 95']
['2', ' 121920', ' 1', ' 0', ' 61', ' 95']
['2', ' 121920', ' 1', ' 0', ' 58', ' 95']
['2', ' 122400', ' 0', ' 0', ' 61', ' 95']
['2', ' 122400', ' 0', ' 0', ' 58', ' 95']
['2', ' 122400', ' 1', ' 0', ' 66', ' 95']
['2', ' 122400', ' 1', ' 0', ' 61', ' 95']
['2', ' 122400', ' 1', ' 0', ' 58', ' 95']
['2', ' 122880', ' 0', ' 0', ' 66', ' 95']
['2', ' 122880', ' 0', ' 0', ' 61', ' 95']
['2', ' 122880', ' 0', ' 0', ' 58', ' 95']
['2', ' 123360', ' 1', ' 0', ' 40', ' 95']
['2', ' 123840', ' 0', ' 0', ' 40', ' 95']
['2', ' 123840', ' 1', ' 0', ' 40', ' 95']
['2', ' 124320', ' 0', ' 0', ' 40', ' 95']
['2', ' 124320', ' 1', ' 0', ' 39', ' 95']
['2', ' 124800', ' 0', ' 0', ' 39', ' 95']
['2', ' 124800', ' 1', ' 0', ' 40', ' 95']
['2', ' 125280', ' 0', ' 0', ' 40', ' 95']
['2', ' 125280', ' 1', ' 0', ' 39', ' 95']
['2', ' 125760', ' 0', ' 0', ' 39', ' 95']
['2', ' 125760', ' 1', ' 0', ' 40', ' 95']
['2', ' 126240', ' 0', ' 0', ' 40', ' 95']
['2', ' 126240', ' 1', ' 0', ' 39', ' 95']
['2', ' 126720', ' 0', ' 0', ' 39', ' 95']
['2', ' 126720', ' 1', ' 0', ' 47', ' 95']
['2', ' 127680', ' 0', ' 0', ' 47', ' 95']
['2', ' 127680', ' 1', ' 0', ' 66', ' 95']
['2', ' 127680', ' 1', ' 0', ' 63', ' 95']
['2', ' 127680', ' 1', ' 0', ' 59', ' 95']
['2', ' 128160', ' 0', ' 0', ' 66', ' 95']
['2', ' 128160', ' 0', ' 0', ' 63', ' 95']
['2', ' 128160', ' 0', ' 0', ' 59', ' 95']
['2', ' 128160', ' 1', ' 0', ' 47', ' 95']
['2', ' 128640', ' 0', ' 0', ' 47', ' 95']
['2', ' 128640', ' 1', ' 0', ' 64', ' 95']
['2', ' 128640', ' 1', ' 0', ' 59', ' 95']
['2', ' 129120', ' 0', ' 0', ' 64', ' 95']
['2', ' 129120', ' 0', ' 0', ' 59', ' 95']
['2', ' 129120', ' 1', ' 0', ' 63', ' 70']
['2', ' 129600', ' 0', ' 0', ' 63', ' 70']
['2', ' 129600', ' 1', ' 0', ' 59', ' 95']
['2', ' 130080', ' 0', ' 0', ' 59', ' 95']
['2', ' 130080', ' 1', ' 0', ' 54', ' 95']
['2', ' 131520', ' 0', ' 0', ' 54', ' 95']
['2', ' 131520', ' 1', ' 0', ' 66', ' 95']
['2', ' 131520', ' 1', ' 0', ' 63', ' 95']
['2', ' 132000', ' 0', ' 0', ' 66', ' 95']
['2', ' 132000', ' 0', ' 0', ' 63', ' 95']
['2', ' 132000', ' 1', ' 0', ' 54', ' 95']
['2', ' 132480', ' 0', ' 0', ' 54', ' 95']
['2', ' 132480', ' 1', ' 0', ' 64', ' 95']
['2', ' 132480', ' 1', ' 0', ' 59', ' 95']
['2', ' 132960', ' 0', ' 0', ' 64', ' 95']
