['2', ' 0', ' 2', ' 0', ' 0', ' 56']
['2', ' 0', ' 2', ' 0', ' 32', ' 0']
['2', ' 0', ' 3', ' 0', ' 33']
['2', ' 0', ' 2', ' 0', ' 7', ' 120']
['2', ' 0', ' 2', ' 0', ' 10', ' 75']
['2', ' 255', ' 2', ' 0', ' 93', ' 13']
['2', ' 280', ' 2', ' 0', ' 93', ' 17']
['2', ' 285', ' 2', ' 0', ' 93', ' 24']
['2', ' 290', ' 2', ' 0', ' 93', ' 37']
['2', ' 295', ' 2', ' 0', ' 93', ' 45']
['2', ' 305', ' 2', ' 0', ' 93', ' 47']
['2', ' 345', ' 2', ' 0', ' 93', ' 44']
['2', ' 350', ' 2', ' 0', ' 93', ' 35']
['2', ' 355', ' 2', ' 0', ' 93', ' 31']
['2', ' 360', ' 2', ' 0', ' 93', ' 15']
['2', ' 370', ' 2', ' 0', ' 93', ' 10']
['2', ' 375', ' 2', ' 0', ' 93', ' 2']
['2', ' 385', ' 2', ' 0', ' 93', ' 0']
['2', ' 945', ' 2', ' 0', ' 93', ' 8']
['2', ' 960', ' 1', ' 0', ' 39', ' 52']
['2', ' 990', ' 2', ' 0', ' 93', ' 12']
['2', ' 997', ' 2', ' 0', ' 93', ' 16']
['2', ' 1020', ' 1', ' 0', ' 39', ' 0']
['2', ' 1040', ' 2', ' 0', ' 93', ' 12']
['2', ' 1050', ' 2', ' 0', ' 93', ' 2']
['2', ' 1055', ' 2', ' 0', ' 93', ' 0']
['2', ' 1080', ' 1', ' 0', ' 39', ' 104']
['2', ' 1140', ' 1', ' 0', ' 39', ' 0']
['2', ' 1200', ' 1', ' 0', ' 37', ' 114']
['2', ' 1260', ' 1', ' 0', ' 37', ' 0']
['2', ' 1260', ' 1', ' 0', ' 39', ' 96']
['2', ' 1320', ' 1', ' 0', ' 39', ' 0']
['2', ' 1380', ' 1', ' 0', ' 34', ' 86']
['2', ' 1440', ' 1', ' 0', ' 34', ' 0']
['2', ' 1500', ' 1', ' 0', ' 34', ' 36']
['2', ' 1530', ' 1', ' 0', ' 34', ' 0']
['2', ' 1560', ' 1', ' 0', ' 39', ' 100']
['2', ' 1620', ' 1', ' 0', ' 39', ' 0']
['2', ' 1625', ' 2', ' 0', ' 10', ' 70']
['2', ' 1660', ' 2', ' 0', ' 10', ' 73']
['2', ' 1665', ' 2', ' 0', ' 10', ' 75']
['2', ' 1670', ' 2', ' 0', ' 10', ' 77']
['2', ' 1677', ' 2', ' 0', ' 10', ' 80']
['2', ' 1680', ' 2', ' 0', ' 10', ' 84']
['2', ' 1680', ' 1', ' 0', ' 37', ' 96']
['2', ' 1690', ' 2', ' 0', ' 10', ' 88']
['2', ' 1695', ' 2', ' 0', ' 10', ' 89']
['2', ' 1740', ' 1', ' 0', ' 37', ' 0']
['2', ' 1740', ' 1', ' 0', ' 39', ' 100']
['2', ' 1800', ' 1', ' 0', ' 39', ' 0']
['2', ' 1830', ' 2', ' 0', ' 10', ' 88']
['2', ' 1860', ' 1', ' 0', ' 41', ' 82']
