['1', ' 0', ' 2', ' 0', ' 101', ' 0']
['1', ' 0', ' 2', ' 0', ' 100', ' 0']
['1', ' 0', ' 2', ' 0', ' 6', ' 12']
['1', ' 0', ' 2', ' 0', ' 38', ' 0']
['1', ' 0', ' 2', ' 1', ' 101', ' 0']
['1', ' 0', ' 2', ' 1', ' 100', ' 0']
['1', ' 0', ' 2', ' 1', ' 6', ' 12']
['1', ' 0', ' 2', ' 1', ' 38', ' 0']
['1', ' 0', ' 2', ' 2', ' 101', ' 0']
['1', ' 0', ' 2', ' 2', ' 100', ' 0']
['1', ' 0', ' 2', ' 2', ' 6', ' 12']
['1', ' 0', ' 2', ' 2', ' 38', ' 0']
['1', ' 0', ' 2', ' 3', ' 101', ' 0']
['1', ' 0', ' 2', ' 3', ' 100', ' 0']
['1', ' 0', ' 2', ' 3', ' 6', ' 12']
['1', ' 0', ' 2', ' 3', ' 38', ' 0']
['1', ' 0', ' 2', ' 4', ' 101', ' 0']
['1', ' 0', ' 2', ' 4', ' 100', ' 0']
['1', ' 0', ' 2', ' 4', ' 6', ' 12']
['1', ' 0', ' 2', ' 4', ' 38', ' 0']
['1', ' 0', ' 2', ' 5', ' 101', ' 0']
['1', ' 0', ' 2', ' 5', ' 100', ' 0']
['1', ' 0', ' 2', ' 5', ' 6', ' 12']
['1', ' 0', ' 2', ' 5', ' 38', ' 0']
['1', ' 0', ' 2', ' 6', ' 101', ' 0']
['1', ' 0', ' 2', ' 6', ' 100', ' 0']
['1', ' 0', ' 2', ' 6', ' 6', ' 12']
['1', ' 0', ' 2', ' 6', ' 38', ' 0']
['1', ' 0', ' 2', ' 7', ' 101', ' 0']
['1', ' 0', ' 2', ' 7', ' 100', ' 0']
['1', ' 0', ' 2', ' 7', ' 6', ' 12']
['1', ' 0', ' 2', ' 7', ' 38', ' 0']
['1', ' 0', ' 2', ' 8', ' 101', ' 0']
['1', ' 0', ' 2', ' 8', ' 100', ' 0']
['1', ' 0', ' 2', ' 8', ' 6', ' 12']
['1', ' 0', ' 2', ' 8', ' 38', ' 0']
['1', ' 0', ' 2', ' 9', ' 101', ' 0']
['1', ' 0', ' 2', ' 9', ' 100', ' 0']
['1', ' 0', ' 2', ' 9', ' 6', ' 12']
['1', ' 0', ' 2', ' 9', ' 38', ' 0']
['1', ' 0', ' 2', ' 10', ' 101', ' 0']
['1', ' 0', ' 2', ' 10', ' 100', ' 0']
['1', ' 0', ' 2', ' 10', ' 6', ' 12']
['1', ' 0', ' 2', ' 10', ' 38', ' 0']
['1', ' 0', ' 2', ' 11', ' 101', ' 0']
['1', ' 0', ' 2', ' 11', ' 100', ' 0']
['1', ' 0', ' 2', ' 11', ' 6', ' 12']
['1', ' 0', ' 2', ' 11', ' 38', ' 0']
['1', ' 0', ' 2', ' 12', ' 101', ' 0']
['1', ' 0', ' 2', ' 12', ' 100', ' 0']
['1', ' 0', ' 2', ' 12', ' 6', ' 12']
['1', ' 0', ' 2', ' 12', ' 38', ' 0']
['1', ' 0', ' 2', ' 13', ' 101', ' 0']
['1', ' 0', ' 2', ' 13', ' 100', ' 0']
['1', ' 0', ' 2', ' 13', ' 6', ' 12']
['1', ' 0', ' 2', ' 13', ' 38', ' 0']
['1', ' 0', ' 2', ' 14', ' 101', ' 0']
['1', ' 0', ' 2', ' 14', ' 100', ' 0']
['1', ' 0', ' 2', ' 14', ' 6', ' 12']
['1', ' 0', ' 2', ' 14', ' 38', ' 0']
['1', ' 0', ' 2', ' 15', ' 101', ' 0']
['1', ' 0', ' 2', ' 15', ' 100', ' 0']
['1', ' 0', ' 2', ' 15', ' 6', ' 12']
['1', ' 0', ' 2', ' 15', ' 38', ' 0']
['2', ' 0', ' 2', ' 11', ' 7', ' 127']
['2', ' 0', ' 2', ' 11', ' 10', ' 63']
['2', ' 0', ' 2', ' 11', ' 93', ' 0']
['2', ' 0', ' 2', ' 11', ' 91', ' 0']
['2', ' 0', ' 2', ' 11', ' 95', ' 0']
['2', ' 0', ' 2', ' 11', ' 92', ' 0']
['2', ' 0', ' 2', ' 11', ' 11', ' 127']
['2', ' 0', ' 3', ' 11', ' 66']
['2', ' 0', ' 2', ' 12', ' 7', ' 127']
['2', ' 0', ' 2', ' 12', ' 10', ' 63']
['2', ' 0', ' 2', ' 12', ' 93', ' 0']
['2', ' 0', ' 2', ' 12', ' 91', ' 0']
['2', ' 0', ' 2', ' 12', ' 95', ' 0']
['2', ' 0', ' 2', ' 12', ' 92', ' 0']
['2', ' 0', ' 2', ' 12', ' 11', ' 127']
['2', ' 0', ' 3', ' 12', ' 66']
['2', ' 77760', ' 1', ' 11', ' 52', ' 95']
['2', ' 78240', ' 0', ' 11', ' 52', ' 95']
['2', ' 78240', ' 1', ' 11', ' 52', ' 95']
['2', ' 79200', ' 0', ' 11', ' 52', ' 95']
['2', ' 79200', ' 1', ' 11', ' 52', ' 95']
['2', ' 80160', ' 0', ' 11', ' 52', ' 95']
['2', ' 80160', ' 1', ' 11', ' 52', ' 95']
['2', ' 81120', ' 0', ' 11', ' 52', ' 95']
['2', ' 81120', ' 1', ' 11', ' 52', ' 95']
['2', ' 82080', ' 0', ' 11', ' 52', ' 95']
['2', ' 82080', ' 1', ' 11', ' 54', ' 95']
['2', ' 83040', ' 0', ' 11', ' 54', ' 95']
['2', ' 83040', ' 1', ' 11', ' 52', ' 95']
['2', ' 84480', ' 0', ' 11', ' 52', ' 95']
['2', ' 85440', ' 1', ' 11', ' 64', ' 95']
['2', ' 85920', ' 0', ' 11', ' 64', ' 95']
['2', ' 85920', ' 1', ' 11', ' 63', ' 95']
['2', ' 86880', ' 0', ' 11', ' 63', ' 95']
['2', ' 86880', ' 1', ' 11', ' 59', ' 95']
['2', ' 88320', ' 0', ' 11', ' 59', ' 95']
['2', ' 88320', ' 1', ' 11', ' 64', ' 95']
['2', ' 89280', ' 0', ' 11', ' 64', ' 95']
['2', ' 89280', ' 1', ' 11', ' 63', ' 95']
['2', ' 89760', ' 0', ' 11', ' 63', ' 95']
['2', ' 89760', ' 1', ' 11', ' 61', ' 95']
['2', ' 90720', ' 0', ' 11', ' 61', ' 95']
['2', ' 90720', ' 1', ' 11', ' 59', ' 95']
['2', ' 92160', ' 0', ' 11', ' 59', ' 95']
['2', ' 94080', ' 1', ' 11', ' 64', ' 95']
['2', ' 95040', ' 0', ' 11', ' 64', ' 95']
['2', ' 95040', ' 1', ' 11', ' 64', ' 95']
['2', ' 95520', ' 0', ' 11', ' 64', ' 95']
['2', ' 95520', ' 1', ' 11', ' 63', ' 95']
['2', ' 96960', ' 0', ' 11', ' 63', ' 95']
['2', ' 96960', ' 1', ' 11', ' 61', ' 95']
['2', ' 97440', ' 0', ' 11', ' 61', ' 95']
['2', ' 97440', ' 1', ' 11', ' 59', ' 95']
['2', ' 98400', ' 0', ' 11', ' 59', ' 95']
['2', ' 98400', ' 1', ' 11', ' 61', ' 95']
['2', ' 99360', ' 0', ' 11', ' 61', ' 95']
['2', ' 99360', ' 1', ' 11', ' 59', ' 95']
['2', ' 103680', ' 0', ' 11', ' 59', ' 95']
['2', ' 108480', ' 1', ' 11', ' 52', ' 95']
['2', ' 108960', ' 0', ' 11', ' 52', ' 95']
['2', ' 108960', ' 1', ' 11', ' 52', ' 95']
['2', ' 109920', ' 0', ' 11', ' 52', ' 95']
['2', ' 109920', ' 1', ' 11', ' 52', ' 95']
['2', ' 111360', ' 0', ' 11', ' 52', ' 95']
['2', ' 111360', ' 1', ' 11', ' 52', ' 95']
['2', ' 111840', ' 0', ' 11', ' 52', ' 95']
['2', ' 111840', ' 1', ' 11', ' 52', ' 95']
['2', ' 112800', ' 0', ' 11', ' 52', ' 95']
['2', ' 112800', ' 1', ' 11', ' 54', ' 95']
['2', ' 113760', ' 0', ' 11', ' 54', ' 95']
['2', ' 113760', ' 1', ' 11', ' 52', ' 95']
['2', ' 115200', ' 0', ' 11', ' 52', ' 95']
['2', ' 116160', ' 1', ' 11', ' 64', ' 95']
['2', ' 116640', ' 0', ' 11', ' 64', ' 95']
['2', ' 116640', ' 1', ' 11', ' 63', ' 95']
['2', ' 117600', ' 0', ' 11', ' 63', ' 95']
['2', ' 117600', ' 1', ' 11', ' 59', ' 95']
['2', ' 119040', ' 0', ' 11', ' 59', ' 95']
['2', ' 119040', ' 1', ' 11', ' 64', ' 95']
['2', ' 119520', ' 0', ' 11', ' 64', ' 95']
['2', ' 119520', ' 1', ' 11', ' 63', ' 95']
['2', ' 120480', ' 0', ' 11', ' 63', ' 95']
['2', ' 120480', ' 1', ' 11', ' 61', ' 95']
['2', ' 121440', ' 0', ' 11', ' 61', ' 95']
['2', ' 121440', ' 1', ' 11', ' 59', ' 95']
['2', ' 122880', ' 0', ' 11', ' 59', ' 95']
['2', ' 124800', ' 1', ' 11', ' 64', ' 95']
['2', ' 125760', ' 0', ' 11', ' 64', ' 95']
['2', ' 125760', ' 1', ' 11', ' 64', ' 95']
['2', ' 126240', ' 0', ' 11', ' 64', ' 95']
['2', ' 126240', ' 1', ' 11', ' 63', ' 95']
['2', ' 127680', ' 0', ' 11', ' 63', ' 95']
['2', ' 127680', ' 1', ' 11', ' 61', ' 95']
['2', ' 128160', ' 0', ' 11', ' 61', ' 95']
['2', ' 128160', ' 1', ' 11', ' 59', ' 95']
['2', ' 129120', ' 0', ' 11', ' 59', ' 95']
['2', ' 129120', ' 1', ' 11', ' 61', ' 95']
['2', ' 130080', ' 0', ' 11', ' 61', ' 95']
['2', ' 130080', ' 1', ' 11', ' 59', ' 95']
['2', ' 134400', ' 0', ' 11', ' 59', ' 95']
['2', ' 136320', ' 1', ' 11', ' 56', ' 95']
['2', ' 136800', ' 0', ' 11', ' 56', ' 95']
['2', ' 136800', ' 1', ' 11', ' 54', ' 95']
['2', ' 137280', ' 0', ' 11', ' 54', ' 95']
['2', ' 137280', ' 1', ' 11', ' 52', ' 95']
['2', ' 137760', ' 0', ' 11', ' 52', ' 95']
['2', ' 137760', ' 1', ' 11', ' 52', ' 95']
['2', ' 139200', ' 0', ' 11', ' 52', ' 95']
['2', ' 140160', ' 1', ' 11', ' 56', ' 95']
['2', ' 140640', ' 0', ' 11', ' 56', ' 95']
['2', ' 140640', ' 1', ' 11', ' 54', ' 95']
['2', ' 141600', ' 0', ' 11', ' 54', ' 95']
['2', ' 141600', ' 1', ' 11', ' 52', ' 95']
['2', ' 142080', ' 0', ' 11', ' 52', ' 95']
['2', ' 142080', ' 1', ' 11', ' 52', ' 95']
['2', ' 143040', ' 0', ' 11', ' 52', ' 95']
['2', ' 144000', ' 1', ' 11', ' 56', ' 95']
['2', ' 144480', ' 0', ' 11', ' 56', ' 95']
['2', ' 144480', ' 1', ' 11', ' 54', ' 95']
['2', ' 144960', ' 0', ' 11', ' 54', ' 95']
['2', ' 144960', ' 1', ' 11', ' 52', ' 95']
['2', ' 145920', ' 0', ' 11', ' 52', ' 95']
['2', ' 145920', ' 1', ' 11', ' 54', ' 95']
['2', ' 146880', ' 0', ' 11', ' 54', ' 95']
['2', ' 146880', ' 1', ' 11', ' 56', ' 95']
['2', ' 147360', ' 0', ' 11', ' 56', ' 95']
['2', ' 147360', ' 1', ' 11', ' 54', ' 95']
['2', ' 150720', ' 0', ' 11', ' 54', ' 95']
['2', ' 151680', ' 1', ' 11', ' 54', ' 95']
['2', ' 152160', ' 0', ' 11', ' 54', ' 95']
['2', ' 152160', ' 1', ' 11', ' 56', ' 95']
['2', ' 152640', ' 0', ' 11', ' 56', ' 95']
['2', ' 152640', ' 1', ' 11', ' 54', ' 95']
['2', ' 153120', ' 0', ' 11', ' 54', ' 95']
['2', ' 153120', ' 1', ' 11', ' 54', ' 95']
['2', ' 153600', ' 0', ' 11', ' 54', ' 95']
['2', ' 153600', ' 1', ' 11', ' 52', ' 95']
['2', ' 154560', ' 0', ' 11', ' 52', ' 95']
['2', ' 155520', ' 1', ' 11', ' 56', ' 95']
['2', ' 156000', ' 0', ' 11', ' 56', ' 95']
['2', ' 156000', ' 1', ' 11', ' 56', ' 95']
['2', ' 156480', ' 0', ' 11', ' 56', ' 95']
['2', ' 156480', ' 1', ' 11', ' 56', ' 95']
['2', ' 156960', ' 0', ' 11', ' 56', ' 95']
['2', ' 156960', ' 1', ' 11', ' 54', ' 95']
['2', ' 158400', ' 0', ' 11', ' 54', ' 95']
['2', ' 158400', ' 1', ' 11', ' 56', ' 95']
['2', ' 158880', ' 0', ' 11', ' 56', ' 95']
['2', ' 158880', ' 1', ' 11', ' 56', ' 95']
['2', ' 159840', ' 0', ' 11', ' 56', ' 95']
['2', ' 159840', ' 1', ' 11', ' 54', ' 95']
['2', ' 160800', ' 0', ' 11', ' 54', ' 95']
['2', ' 160800', ' 1', ' 11', ' 56', ' 95']
['2', ' 161040', ' 0', ' 11', ' 56', ' 95']
['2', ' 161040', ' 1', ' 11', ' 54', ' 95']
['2', ' 161280', ' 0', ' 11', ' 54', ' 95']
['2', ' 161280', ' 1', ' 11', ' 52', ' 95']
['2', ' 164160', ' 0', ' 11', ' 52', ' 95']
['2', ' 167040', ' 1', ' 11', ' 56', ' 95']
['2', ' 167520', ' 0', ' 11', ' 56', ' 95']
['2', ' 167520', ' 1', ' 11', ' 54', ' 95']
['2', ' 168000', ' 0', ' 11', ' 54', ' 95']
['2', ' 168000', ' 1', ' 11', ' 52', ' 95']
['2', ' 168480', ' 0', ' 11', ' 52', ' 95']
['2', ' 168480', ' 1', ' 11', ' 52', ' 95']
['2', ' 169920', ' 0', ' 11', ' 52', ' 95']
['2', ' 170880', ' 1', ' 11', ' 56', ' 95']
['2', ' 171360', ' 0', ' 11', ' 56', ' 95']
['2', ' 171360', ' 1', ' 11', ' 54', ' 95']
['2', ' 172320', ' 0', ' 11', ' 54', ' 95']
['2', ' 172320', ' 1', ' 11', ' 52', ' 95']
['2', ' 172800', ' 0', ' 11', ' 52', ' 95']
['2', ' 172800', ' 1', ' 11', ' 52', ' 95']
['2', ' 173760', ' 0', ' 11', ' 52', ' 95']
['2', ' 174720', ' 1', ' 11', ' 56', ' 95']
['2', ' 175200', ' 0', ' 11', ' 56', ' 95']
['2', ' 175200', ' 1', ' 11', ' 54', ' 95']
['2', ' 175680', ' 0', ' 11', ' 54', ' 95']
['2', ' 175680', ' 1', ' 11', ' 52', ' 95']
['2', ' 176640', ' 0', ' 11', ' 52', ' 95']
['2', ' 176640', ' 1', ' 11', ' 54', ' 95']
['2', ' 177600', ' 0', ' 11', ' 54', ' 95']
['2', ' 177600', ' 1', ' 11', ' 56', ' 95']
['2', ' 178080', ' 0', ' 11', ' 56', ' 95']
['2', ' 178080', ' 1', ' 11', ' 54', ' 95']
['2', ' 180960', ' 0', ' 11', ' 54', ' 95']
['2', ' 180960', ' 1', ' 11', ' 57', ' 95']
['2', ' 182400', ' 0', ' 11', ' 57', ' 95']
['2', ' 182400', ' 1', ' 11', ' 57', ' 95']
['2', ' 182880', ' 0', ' 11', ' 57', ' 95']
['2', ' 182880', ' 1', ' 11', ' 56', ' 95']
['2', ' 183360', ' 0', ' 11', ' 56', ' 95']
['2', ' 183360', ' 1', ' 11', ' 54', ' 95']
['2', ' 183840', ' 0', ' 11', ' 54', ' 95']
['2', ' 183840', ' 1', ' 11', ' 54', ' 95']
['2', ' 184320', ' 0', ' 11', ' 54', ' 95']
['2', ' 184320', ' 1', ' 11', ' 52', ' 95']
['2', ' 185280', ' 0', ' 11', ' 52', ' 95']
['2', ' 186240', ' 1', ' 11', ' 57', ' 95']
['2', ' 186720', ' 0', ' 11', ' 57', ' 95']
['2', ' 186720', ' 1', ' 11', ' 57', ' 95']
['2', ' 187200', ' 0', ' 11', ' 57', ' 95']
['2', ' 187200', ' 1', ' 11', ' 57', ' 95']
['2', ' 187680', ' 0', ' 11', ' 57', ' 95']
['2', ' 187680', ' 1', ' 11', ' 54', ' 95']
['2', ' 189120', ' 0', ' 11', ' 54', ' 95']
['2', ' 189120', ' 1', ' 11', ' 56', ' 95']
['2', ' 189600', ' 0', ' 11', ' 56', ' 95']
['2', ' 189600', ' 1', ' 11', ' 56', ' 95']
['2', ' 190560', ' 0', ' 11', ' 56', ' 95']
['2', ' 190560', ' 1', ' 11', ' 54', ' 95']
['2', ' 191520', ' 0', ' 11', ' 54', ' 95']
['2', ' 191520', ' 1', ' 11', ' 56', ' 95']
['2', ' 191760', ' 0', ' 11', ' 56', ' 95']
['2', ' 191760', ' 1', ' 11', ' 54', ' 95']
['2', ' 192000', ' 0', ' 11', ' 54', ' 95']
['2', ' 192000', ' 1', ' 11', ' 52', ' 95']
['2', ' 194880', ' 0', ' 11', ' 52', ' 95']
['2', ' 246720', ' 1', ' 11', ' 52', ' 95']
['2', ' 247200', ' 0', ' 11', ' 52', ' 95']
['2', ' 247200', ' 1', ' 11', ' 52', ' 95']
['2', ' 248160', ' 0', ' 11', ' 52', ' 95']
['2', ' 248160', ' 1', ' 11', ' 52', ' 95']
